Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev
HRP,GARCH,1,0,0.002204608928454401,
HRP,Historical,1,0,0.00320427694795726,
MVP,GARCH,1,0,-0.006896323668310724,
MVP,Historical,1,0,-0.013027220854630345,
ERC,GARCH,1,0,0.003957784294205418,
ERC,Historical,1,0,0.004782392122581802,
Naive,N/A,1,0,0.00693870547202375,
HRP,GARCH,2,0,-0.007558217434834916,
HRP,Historical,2,0,-0.006380461075831809,
MVP,GARCH,2,0,-0.018119233282435192,
MVP,Historical,2,0,-0.012791931939745215,
ERC,GARCH,2,0,-0.005503330782823501,
ERC,Historical,2,0,-0.004286539756507401,
Naive,N/A,2,0,-0.0012128256586283375,
HRP,GARCH,3,0,-0.005484747003772397,
HRP,Historical,3,0,-0.005099455533339689,
MVP,GARCH,3,0,-0.004562098903821197,
MVP,Historical,3,0,-0.010778560502233237,
ERC,GARCH,3,0,-0.005442264928600117,
ERC,Historical,3,0,-0.005214354143035938,
Naive,N/A,3,0,-0.005615619538399237,
HRP,GARCH,4,0,0.014183004811687518,
HRP,Historical,4,0,0.01538709318769496,
MVP,GARCH,4,0,0.005607303847591423,
MVP,Historical,4,0,-0.015910415289603408,
ERC,GARCH,4,0,0.017605778252038178,
ERC,Historical,4,0,0.018789696731177745,
Naive,N/A,4,0,0.023000908214507565,
HRP,GARCH,5,0,-0.0004944296316921503,
HRP,Historical,5,0,-0.0016908433807614925,
MVP,GARCH,5,0,-0.003947032095684535,
MVP,Historical,5,0,-0.01360687231072053,
ERC,GARCH,5,0,-0.002887809178472364,
ERC,Historical,5,0,-0.003733404269321372,
Naive,N/A,5,0,-0.006033475463327255,
HRP,GARCH,6,0,-0.006545359911036337,
HRP,Historical,6,0,-0.007402492052196478,
MVP,GARCH,6,0,-0.005428214154413017,
MVP,Historical,6,0,-0.007226537135199065,
ERC,GARCH,6,0,-0.00880380396582049,
ERC,Historical,6,0,-0.009538342975696792,
Naive,N/A,6,0,-0.012202798124155655,
HRP,GARCH,7,0,0.008802729138552007,
HRP,Historical,7,0,0.009929991383238471,
MVP,GARCH,7,0,-0.005539802344421642,
MVP,Historical,7,0,-0.007187501983630941,
ERC,GARCH,7,0,0.010734698125101794,
ERC,Historical,7,0,0.011372818300419588,
Naive,N/A,7,0,0.013897384258799878,
HRP,GARCH,8,0,-0.00307858237897749,
HRP,Historical,8,0,-0.0046099460687889435,
MVP,GARCH,8,0,-0.013001414416743469,
MVP,Historical,8,0,0.005915697795890567,
ERC,GARCH,8,0,-0.00589549385684468,
ERC,Historical,8,0,-0.006687818760306137,
Naive,N/A,8,0,-0.008470733107541704,
HRP,GARCH,9,0,-0.001704686015622626,
HRP,Historical,9,0,-0.0022177692093761424,
MVP,GARCH,9,0,-0.002182115671297627,
MVP,Historical,9,0,0.004801368159555593,
ERC,GARCH,9,0,-0.002081961732678763,
ERC,Historical,9,0,-0.0025975140112164154,
Naive,N/A,9,0,-0.003392993439938182,
HRP,GARCH,10,0,0.007531879940540503,
HRP,Historical,10,0,0.008105864248568701,
MVP,GARCH,10,0,0.004862052144761188,
MVP,Historical,10,0,-0.0047243824988428395,
ERC,GARCH,10,0,0.008756741380411794,
ERC,Historical,10,0,0.009332635366209811,
Naive,N/A,10,0,0.011469603480291388,
HRP,GARCH,11,0,0.010038347319891446,
HRP,Historical,11,0,0.010573014892671692,
MVP,GARCH,11,0,0.007825955760803808,
MVP,Historical,11,0,0.001464005329410273,
ERC,GARCH,11,0,0.011267134001293706,
ERC,Historical,11,0,0.011548294969015655,
Naive,N/A,11,0,0.01277248285752149,
HRP,GARCH,12,0,0.006814367718987559,
HRP,Historical,12,0,0.0072263518761784,
MVP,GARCH,12,0,-0.004986314505887187,
MVP,Historical,12,0,-0.0077598745966819625,
ERC,GARCH,12,0,0.008132338119404848,
ERC,Historical,12,0,0.008626049106595188,
Naive,N/A,12,0,0.010387380818294753,
HRP,GARCH,13,0,0.006471790928892536,
HRP,Historical,13,0,0.00750295238606564,
MVP,GARCH,13,0,0.011039647441354963,
MVP,Historical,13,0,0.0029724483770515635,
ERC,GARCH,13,0,0.008555919915523125,
ERC,Historical,13,0,0.009175643992657117,
Naive,N/A,13,0,0.011498404090731171,
HRP,GARCH,14,0,0.007250449672448651,
HRP,Historical,14,0,0.007777077084514717,
MVP,GARCH,14,0,0.003975559765916038,
MVP,Historical,14,0,-0.007449613040730087,
ERC,GARCH,14,0,0.008983849265593005,
ERC,Historical,14,0,0.009179513634591026,
Naive,N/A,14,0,0.01081595221219438,
HRP,GARCH,15,0,0.0003088480272513864,
HRP,Historical,15,0,0.0005315024295820083,
MVP,GARCH,15,0,0.004751125213976517,
MVP,Historical,15,0,0.007585129420085062,
ERC,GARCH,15,0,0.00015380124750863844,
ERC,Historical,15,0,0.00024075020992086256,
Naive,N/A,15,0,0.0001583423427417427,
HRP,GARCH,16,0,-0.00891935327379788,
HRP,Historical,16,0,-0.010000489041727206,
MVP,GARCH,16,0,-0.02179071696523083,
MVP,Historical,16,0,0.0471064428676545,
ERC,GARCH,16,0,-0.011762970382904775,
ERC,Historical,16,0,-0.012407992636473525,
Naive,N/A,16,0,-0.016426746860706467,
HRP,GARCH,17,0,-0.004427543339122043,
HRP,Historical,17,0,-0.004697301594151662,
MVP,GARCH,17,0,-0.008701074951510297,
MVP,Historical,17,0,-0.00284970252056188,
ERC,GARCH,17,0,-0.005519249065714766,
ERC,Historical,17,0,-0.005744136101703299,
Naive,N/A,17,0,-0.006654895788311597,
HRP,GARCH,18,0,0.009801105197489784,
HRP,Historical,18,0,0.010860316554072286,
MVP,GARCH,18,0,0.006203029288751599,
MVP,Historical,18,0,-5.704107723147715e-05,
ERC,GARCH,18,0,0.012883235499022769,
ERC,Historical,18,0,0.013607795283813387,
Naive,N/A,18,0,0.016926795895174363,
HRP,GARCH,19,0,0.01077325849674559,
HRP,Historical,19,0,0.010693830630148548,
MVP,GARCH,19,0,0.013599172169457807,
MVP,Historical,19,0,-0.0017766513098318917,
ERC,GARCH,19,0,0.01178796051455211,
ERC,Historical,19,0,0.01176657665749056,
Naive,N/A,19,0,0.01276330633371333,
HRP,GARCH,20,0,0.0003717602422372496,
HRP,Historical,20,0,0.0007574261538265646,
MVP,GARCH,20,0,0.00019003699527336696,
MVP,Historical,20,0,0.007267297586630332,
ERC,GARCH,20,0,0.0005611549359676338,
ERC,Historical,20,0,0.0006600126674284561,
Naive,N/A,20,0,0.0007608179087034202,
HRP,GARCH,21,0,0.006351462020928108,
HRP,Historical,21,0,0.007703254862349192,
MVP,GARCH,21,0,0.010714671071104345,
MVP,Historical,21,0,0.013550154298225195,
ERC,GARCH,21,0,0.007772135941364371,
