Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
HRP,GARCH,0,0.003297372577900177,0.005691053953275138
HRP,Historical,0,0.002867493769803005,0.005870448682360518
MVP,GARCH,0,0.0015155166833216022,0.003701941020630858
MVP,Historical,0,0.0011273060184098377,0.0038397169461556217
ERC,GARCH,0,0.003954566641893085,0.0063926807346344865
ERC,Historical,0,0.0035565579615315698,0.0065272469494122
Naive,N/A,0,0.0044657562481872325,0.007691602113502493
HRP,GARCH,1,0.005766387032225255,0.005456524944362793
HRP,Historical,1,0.005738916494943808,0.005842178600319816
MVP,GARCH,1,0.00320710795823977,0.0035520650897960374
MVP,Historical,1,0.002102450326093703,0.0038255164821329466
ERC,GARCH,1,0.007082432323476327,0.0061176429783404715
ERC,Historical,1,0.007088969979835263,0.0064861550162968965
Naive,N/A,1,0.00791028799929807,0.007646158626775876
HRP,GARCH,2,-0.0019226703895720695,0.005460188691511404
HRP,Historical,2,-0.002134912654792075,0.005832333075515633
MVP,GARCH,2,0.0005119175666514581,0.0035787989378540507
MVP,Historical,2,0.0012624075476869087,0.0038045969565985954
ERC,GARCH,2,-0.0018990235781471295,0.006133498928095079
ERC,Historical,2,-0.0020501006184875936,0.006498672774925905
Naive,N/A,2,-0.0025147077386185436,0.007651632039877192
HRP,GARCH,3,0.001487240745326189,0.0053632010187135305
HRP,Historical,3,0.001872978205953038,0.005755871471512943
MVP,GARCH,3,0.001138162682561951,0.003497751383075768
MVP,Historical,3,0.0026852158676869712,0.003752861831545938
ERC,GARCH,3,0.0016186504829794595,0.00604716588791437
ERC,Historical,3,0.0019235597705317593,0.006376378094459859
Naive,N/A,3,0.0018135255194180145,0.007490362367477752
HRP,GARCH,4,-0.010174751086997901,0.005351759283109099
HRP,Historical,4,-0.010644720999779856,0.005792410982850682
MVP,GARCH,4,-0.008257016811718674,0.0034526416633029636
MVP,Historical,4,-0.005503249489735574,0.0037521892495399447
ERC,GARCH,4,-0.011509709905673212,0.0059722535720264655
ERC,Historical,4,-0.011707983316134587,0.006372203016021838
Naive,N/A,4,-0.012174826481821235,0.007483554177402373
HRP,GARCH,5,0.004268589283547584,0.005594416558757528
HRP,Historical,5,0.004131344219857407,0.005809966019259527
MVP,GARCH,5,0.004739334089620221,0.003571356601941855
MVP,Historical,5,0.00438964434976567,0.0037603872628339404
ERC,GARCH,5,0.0054544866266111125,0.00631366961758161
ERC,Historical,5,0.00531714791028493,0.006380000409482309
Naive,N/A,5,0.005763963571296456,0.0074953831909802485
HRP,GARCH,6,-0.010259323778651632,0.005496345678389772
HRP,Historical,6,-0.010643609339023545,0.005834306196563218
MVP,GARCH,6,-0.008253209314206394,0.0034553675166268867
MVP,Historical,6,-0.008568971117504275,0.003765578903334318
ERC,GARCH,6,-0.010068035455115537,0.006138762542570146
ERC,Historical,6,-0.010265089192701086,0.006387175407428189
Naive,N/A,6,-0.010266357739154916,0.007500616427657698
HRP,GARCH,7,-0.0031618979947705614,0.005672707971463869
HRP,Historical,7,-0.0026282280097995646,0.005840475210389335
MVP,GARCH,7,-0.0011845574215854394,0.003548361775020429
MVP,Historical,7,0.0002770665148499143,0.0037965742847154193
ERC,GARCH,7,-0.003934496036488213,0.0063292539577166585
ERC,Historical,7,-0.0035477027889884195,0.006407189295119433
Naive,N/A,7,-0.00484148896028707,0.007493468808007243
HRP,GARCH,8,-0.0017269944807187473,0.00549391918192786
HRP,Historical,8,-0.002201961910577077,0.005813339060444061
MVP,GARCH,8,-0.0007660594865091808,0.003483815548969342
MVP,Historical,8,-0.000810869308537635,0.0037918542511140973
ERC,GARCH,8,-0.002762468988580378,0.006113098241663833
ERC,Historical,8,-0.0029762808530689453,0.006397590156219167
Naive,N/A,8,-0.0034338700952081503,0.00749007811265154
HRP,GARCH,9,0.010341560018774487,0.005454414538960552
HRP,Historical,9,0.010683165110870689,0.005846506028338458
MVP,GARCH,9,0.009158932085496459,0.003458524389819656
MVP,Historical,9,0.009896574343253368,0.0037887403371449357
ERC,GARCH,9,0.011385131264159715,0.006049127369194695
ERC,Historical,9,0.011545739644506236,0.006403170817726642
Naive,N/A,9,0.012113779722362508,0.007494752745806675
HRP,GARCH,10,0.00041469605874427603,0.005603006078386117
HRP,Historical,10,0.000100169580709948,0.005886738596853771
MVP,GARCH,10,0.002158649622981831,0.0035827250731320357
MVP,Historical,10,0.0019956350473429307,0.003777055346903966
ERC,GARCH,10,0.0006040668538017252,0.006215099759410973
ERC,Historical,10,0.0003826193098453072,0.006441742678029946
Naive,N/A,10,0.0002062306940150529,0.007523282070674451
HRP,GARCH,11,-0.001352429166422016,0.005465883097499646
HRP,Historical,11,-0.001090181827503032,0.005870709475960759
MVP,GARCH,11,-0.0009358818226129311,0.003503128094432677
MVP,Historical,11,-0.0003720338077782188,0.00378288009964472
ERC,GARCH,11,-0.0013258968940082962,0.006044580229306791
ERC,Historical,11,-0.0011914923257955036,0.006409583489494359
Naive,N/A,11,-0.001771318952592956,0.007481042104823738
HRP,GARCH,12,0.009978306378516724,0.005420094136075711
HRP,Historical,12,0.010304614306240386,0.005855151645377941
MVP,GARCH,12,0.005679605273208207,0.0034610874299949557
MVP,Historical,12,0.005179832503645924,0.0037897881973461634
ERC,GARCH,12,0.011162973462102693,0.005973320402870233
ERC,Historical,12,0.011379003502188397,0.006408265015805882
Naive,N/A,12,0.012715850520958439,0.007481477232062527
HRP,GARCH,13,0.0017066295705603655,0.005437105027281112
HRP,Historical,13,0.0017298259174157544,0.0057643138018437234
MVP,GARCH,13,0.0011691681114704324,0.0034513437132488232
MVP,Historical,13,0.0016862979511884234,0.003751778635799361
ERC,GARCH,13,0.0017673940023026755,0.006093478497964543
ERC,Historical,13,0.0016985213630250611,0.006315489808383353
Naive,N/A,13,0.0017980048770607948,0.007344921900579291
HRP,GARCH,14,0.0007536849120950091,0.005344188271804698
HRP,Historical,14,0.0004036367033562814,0.005779007415253618
MVP,GARCH,14,0.0030400010913180717,0.003386810871536207
MVP,Historical,14,0.002644119954780866,0.0037506375933985623
ERC,GARCH,14,0.00135037676641096,0.005920174718431449
ERC,Historical,14,0.001291469070258211,0.006315728954657523
Naive,N/A,14,0.0018856628655919045,0.00734333205309321
HRP,GARCH,15,0.0034157978874552546,0.005351832827954666
HRP,Historical,15,0.0028410549426325033,0.005799947669484865
MVP,GARCH,15,0.0008018034747201997,0.0033762876131565533
MVP,Historical,15,0.000777308853282457,0.003754225053687046
ERC,GARCH,15,0.0036058491993035736,0.005872423680982717
ERC,Historical,15,0.003308067143563424,0.006305149869708645
Naive,N/A,15,0.004591382024019057,0.007334248145176237
HRP,GARCH,16,-0.00012071857059130177,0.0052022748192963805
HRP,Historical,16,-3.820621934368256e-05,0.0057275577751500694
MVP,GARCH,16,-0.0007228624028854393,0.0033090630253993455
MVP,Historical,16,-0.0005168505944713503,0.0037243295381730606
ERC,GARCH,16,0.0005569191234602103,0.005799736483806548
ERC,Historical,16,0.00048786666491576296,0.0062737177771420545
Naive,N/A,16,0.0010640339097221533,0.007301725334003125
HRP,GARCH,17,-0.013337881986992706,0.005212784904030875
HRP,Historical,17,-0.013848287405877199,0.005746543994335509
MVP,GARCH,17,-0.009551745704803067,0.0033123678234022137
MVP,Historical,17,-0.009703378803361867,0.0037195034316836236
ERC,GARCH,17,-0.014184606376672026,0.0057826022921033185
ERC,Historical,17,-0.014474490490946252,0.00627386111070368
Naive,N/A,17,-0.015225973370090587,0.007301715737346463
HRP,GARCH,18,0.005113820018262424,0.005570550377357109
HRP,Historical,18,0.00534292709892733,0.005803043789054333
MVP,GARCH,18,0.0024623046135956576,0.0034615920675715606
MVP,Historical,18,0.0026358433762876457,0.0037650960281894914
ERC,GARCH,18,0.004901861170093695,0.006204670029678064
ERC,Historical,18,0.00501538796108945,0.006345313124717538
Naive,N/A,18,0.00574009862256683,0.007343864424831398
HRP,GARCH,19,0.014552494881671613,0.005378843365564713
HRP,Historical,19,0.014678615141947498,0.005776042476878462
MVP,GARCH,19,0.009304758075323495,0.003431756973410446
MVP,Historical,19,0.01017612019837243,0.0037594622732173752
ERC,GARCH,19,0.016291556375628,0.006005815269761772
ERC,Historical,19,0.01624325441228166,0.006347154261434468
Naive,N/A,19,0.017714712623486006,0.0073493830253912144
HRP,GARCH,20,0.0030629181140083258,0.005594071665635196
HRP,Historical,20,0.0037288253276585026,0.0058778157984565
MVP,GARCH,20,0.00249512482547928,0.003458204141050506
MVP,Historical,20,0.00469130984215901,0.0037899021804238204
ERC,GARCH,20,0.004608848242828486,0.006274171403427024
ERC,Historical,20,0.0050529564784829745,0.006425222433354252
Naive,N/A,20,0.004945492929901255,0.007420778228531077
HRP,GARCH,21,-0.0030273897843458614,0.005460984394075931
