Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
HRP,GARCH,0,0.002899991255014901,0.0055995147432001185
HRP,Historical,0,0.0026731825362121537,0.006116449784755517
MVP,GARCH,0,0.0006739263587196308,0.004693960911508167
MVP,Historical,0,0.0005158655529721556,0.004962358407382458
ERC,GARCH,0,0.0033477119585510395,0.005867794386459126
ERC,Historical,0,0.003217469420571821,0.006606107795592714
Naive,N/A,0,0.0037503621963611983,0.007253269840520757
HRP,GARCH,1,0.0012482183347609923,0.005570458137392697
HRP,Historical,1,0.0014444587216431882,0.006108491640121829
MVP,GARCH,1,-5.6712910085054655e-05,0.004668718277997095
MVP,Historical,1,0.00037670252331514943,0.004952479083340805
ERC,GARCH,1,0.0010174803230981906,0.005827724854335596
ERC,Historical,1,0.001146247339797807,0.006594322314496877
Naive,N/A,1,0.001187012202675003,0.007241428731737096
HRP,GARCH,2,-0.0021972495904789666,0.0054863642678536495
HRP,Historical,2,-0.0021538986679194936,0.006106464800983597
MVP,GARCH,2,-0.004121930889035833,0.004573432201454859
MVP,Historical,2,-0.003347031624154037,0.004950310531156178
ERC,GARCH,2,-0.0019633773312230716,0.005756250851325225
ERC,Historical,2,-0.001975106157916135,0.006592866370390367
Naive,N/A,2,-0.001424056798269617,0.00724057370486364
HRP,GARCH,3,-0.010165730715861925,0.005488227021659078
HRP,Historical,3,-0.009984838624304708,0.006014412361916579
MVP,GARCH,3,-0.011186854413073915,0.004636070135802285
MVP,Historical,3,-0.009795571433475956,0.004874889613574918
ERC,GARCH,3,-0.010508460322641208,0.005716052019301579
ERC,Historical,3,-0.010418784697975352,0.006484922402486045
Naive,N/A,3,-0.01038106716839677,0.007120861596161579
HRP,GARCH,4,0.004896808259661295,0.005692761550278421
HRP,Historical,4,0.00451084974179562,0.006058801067807476
MVP,GARCH,4,0.00416283355573264,0.00478606817504065
MVP,Historical,4,0.00292689010120987,0.004916165808603261
ERC,GARCH,4,0.005421872623986567,0.0059516685732675795
ERC,Historical,4,0.005201783642563567,0.0065267714793419244
Naive,N/A,4,0.005938768113067074,0.007147002787747362
HRP,GARCH,5,1.8932350293315777e-06,0.005729786435946507
HRP,Historical,5,1.3274479526702191e-06,0.006057332523320321
MVP,GARCH,5,1.775708992903263e-06,0.0047396887576673695
MVP,Historical,5,1.00375409497837e-23,0.004915335398176146
ERC,GARCH,5,2.171002761013297e-06,0.0060957188680693716
ERC,Historical,5,1.8241732167163217e-06,0.006520957285376762
Naive,N/A,5,2.1185446571481137e-06,0.007135107335264622
HRP,GARCH,6,0.00443795110989483,0.0054614318896645435
HRP,Historical,6,0.004780402090871193,0.006057062517481809
MVP,GARCH,6,0.0035320700267390545,0.004555915137478629
MVP,Historical,6,0.0034129809523894944,0.004913805364512949
ERC,GARCH,6,0.004578890859354585,0.005743868931193292
ERC,Historical,6,0.004785231482348954,0.0065209875562449535
Naive,N/A,6,0.005077463650507652,0.007134987836439853
HRP,GARCH,7,0.0066836184803105506,0.005486898694444839
