Model,Covariance Type,#Rolling Windows,Mean Return,Forecasted Std
HRP,GARCH,0,-0.006200435875621049,0.00644176998613107
HRP,Historical,0,-0.005999157104180244,0.006824711220574651
MVP,GARCH,0,-0.0041922900811665435,0.00534698628450216
MVP,Historical,0,-0.0034301431701414934,0.005633596327381775
ERC,GARCH,0,-0.007551987495697654,0.007542083747173511
ERC,Historical,0,-0.007588427806830084,0.00804190061426249
Naive,N/A,0,-0.008568711757807776,0.009264972916068245
HRP,GARCH,1,0.0005849698765185349,0.006787050032307708
HRP,Historical,1,0.000401908384425329,0.0068510179194511325
MVP,GARCH,1,0.0009620608133563072,0.005449864562233578
MVP,Historical,1,0.0009181890850423003,0.005642257508244984
ERC,GARCH,1,-0.00015807142532691014,0.008623556494043247
ERC,Historical,1,-0.00035816400881086925,0.008212228379037088
Naive,N/A,1,-0.0010604900704330373,0.00949948148441225
HRP,GARCH,2,0.004295880362946815,0.007384668377070559
HRP,Historical,2,0.004887007831342138,0.007210650454856562
MVP,GARCH,2,0.0013406533950696248,0.005582909994245156
MVP,Historical,2,0.0014651409094840928,0.0056000990111632586
ERC,GARCH,2,0.00631333875300062,0.008932158532214199
ERC,Historical,2,0.00678017570510959,0.008371010802159363
Naive,N/A,2,0.008486963014864013,0.009650780470105086
HRP,GARCH,3,0.0014991548671860527,0.007518097556918516
HRP,Historical,3,0.001612218017208681,0.007251152232533816
MVP,GARCH,3,0.0011501547073244015,0.005756102391787618
MVP,Historical,3,0.000976812497305454,0.005710995487594877
ERC,GARCH,3,0.0017962598255225996,0.009360083567830099
ERC,Historical,3,0.0019118620196589872,0.008562778876724774
Naive,N/A,3,0.002243206433776833,0.009902028827572646
HRP,GARCH,4,0.0022510254945589925,0.007452126079952965
HRP,Historical,4,0.0022916438562641376,0.007331339705423707
MVP,GARCH,4,0.0013087196075642223,0.005720576222845824
MVP,Historical,4,0.0012769578322917863,0.0056736785228980995
ERC,GARCH,4,0.0025703241920855707,0.008805854285305288
ERC,Historical,4,0.002531439413996912,0.008518444626582732
Naive,N/A,4,0.002384968375478261,0.009870886387763927
HRP,GARCH,5,-4.3778021956884966e-05,0.007040287419754387
HRP,Historical,5,-0.0001493022237791037,0.00712913628592878
MVP,GARCH,5,0.0011286008170280503,0.005544642383785047
MVP,Historical,5,0.0011670475222652836,0.005664685683699848
ERC,GARCH,5,-0.0009089211883716927,0.0086821805390652
ERC,Historical,5,-0.000987860349934843,0.008556027493654892
Naive,N/A,5,-0.0014866786629580055,0.00991843307707989
HRP,GARCH,6,0.00021432191774550246,0.006772033676117014
HRP,Historical,6,0.0004037189404965038,0.007117370165829579
MVP,GARCH,6,0.0016185937734033457,0.005419299567448709
MVP,Historical,6,0.0019372357249153812,0.005650291008117222
ERC,GARCH,6,-0.0004226417878807117,0.008143225962851799
ERC,Historical,6,-0.0003446703951713897,0.008555092796668164
