Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
HRP,GARCH,0,-0.0698924283003593,-0.0006834146222776642,0.00977809240424046,-0.00028300709544404443,-0.0009458641340911837,-0.004046947966827611,0.009777446388874528
HRP,Historical,0,-0.07091376862385187,-0.0007237002024959278,0.010205355272184913,-0.000323292675662308,-0.0005186012661467301,-0.004087233547045875,0.010204709256818982
MVP,GARCH,0,0.0043586802018765825,3.0369021028962914e-05,0.0069674808938466875,0.0004307765478625827,-0.0037564756444849554,-0.0033331643235209843,0.006966834878480758
MVP,Historical,0,0.2565070629606635,0.0017199664666781224,0.006705337649676675,0.002120373993511742,-0.004018618888654968,-0.0016435668778718249,0.006704691634310745
ERC,GARCH,0,-0.04307791619930649,-0.00046288195161488536,0.010745226149595818,-6.247442478126558e-05,2.1269611264175536e-05,-0.003826415296164833,0.010744580134229888
ERC,Historical,0,-0.0482506742074023,-0.0005300785328250258,0.010985930073153355,-0.00012967100599140598,0.00026197353482171164,-0.003893611877374973,0.010985284057787424
Naive,N/A,0,-0.04453144259573877,-0.0005226733249477755,0.011737174779911359,-0.0001222657981141557,0.001013218241579716,-0.0038862066694977226,0.011736528764545428
Real ERC,OOS,0,-0.03733766780967506,-0.0004004075268336198,0.010723956538331643,0.0,0.0,-0.003763940871383567,0.010723310522965712
Real MVP,OOS,0,5206.584118485923,0.0033635333445499473,6.4601536593018e-07,0.003763940871383567,-0.010723310522965712,0.0,0.0
HRP,GARCH,1,0.4527488006528202,0.0020947839681339122,0.004626812848788192,0.0004255460366957757,-0.002440698609043661,0.0003026266868088347,0.004626110715518026
HRP,Historical,1,0.3463150603317474,0.0017695416717606548,0.005109629566977389,0.00010030374032251829,-0.001957881890854464,-2.2615609564422727e-05,0.005108927433707223
MVP,GARCH,1,0.7841369058932982,0.0022737244521015476,0.002899652388521738,0.000604486520663411,-0.004167859069310114,0.00048156717077647,0.0028989502552515724
MVP,Historical,1,0.9771051929789908,0.0013976997734101888,0.0014304496419151069,-0.0002715381580279477,-0.005637061815916746,-0.0003944575079148887,0.0014297475086449411
ERC,GARCH,1,0.3779224064311925,0.00215179637577688,0.005693751783856333,0.00048255844433874365,-0.00137375967397552,0.00035963909445180264,0.005693049650586167
ERC,Historical,1,0.32221427320080737,0.0019421132662970947,0.006027396759940392,0.00027287533485895817,-0.0010401146978914607,0.00014995598497201715,0.006026694626670226
Naive,N/A,1,0.28431522434362344,0.0019911040437611675,0.007003156613782731,0.00032186611232303095,-6.435484404912137e-05,0.00019894676243608993,0.0070024544805125655
Real ERC,OOS,1,0.23618467991139555,0.0016692379314381365,0.007067511457831853,0.0,0.0,-0.00012291934988694101,0.007066809324561687
Real MVP,OOS,1,2552.446034785072,0.0017921572813250776,7.021332701656847e-07,0.00012291934988694101,-0.007066809324561687,0.0,0.0
