Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
HRP,GARCH,0,-0.0679664275782484,-0.000662368537150392,0.009745525265217452,-0.0002619610103167722,-0.000978431273114191,-0.00402590188170034,0.009744879249851521
HRP,Historical,0,-0.07091376862385187,-0.0007237002024959278,0.010205355272184913,-0.000323292675662308,-0.0005186012661467301,-0.004087233547045875,0.010204709256818982
MVP,GARCH,0,-0.0007356198904914229,-5.156438240440722e-06,0.007009650373912565,0.00039525108859317907,-0.003714306164419078,-0.003368689782790388,0.007009004358546635
MVP,Historical,0,0.2565070629606635,0.0017199664666781224,0.006705337649676675,0.002120373993511742,-0.004018618888654968,-0.0016435668778718249,0.006704691634310745
ERC,GARCH,0,-0.041585707719507606,-0.0004459317554143841,0.010723197460583318,-4.552422858076431e-05,-7.590777483246214e-07,-0.0038094650999643312,0.010722551445217388
ERC,Historical,0,-0.0482506742074023,-0.0005300785328250258,0.010985930073153355,-0.00012967100599140598,0.00026197353482171164,-0.003893611877374973,0.010985284057787424
Naive,N/A,0,-0.04453144259573877,-0.0005226733249477755,0.011737174779911359,-0.0001222657981141557,0.001013218241579716,-0.0038862066694977226,0.011736528764545428
Real ERC,OOS,0,-0.03733766780967506,-0.0004004075268336198,0.010723956538331643,0.0,0.0,-0.003763940871383567,0.010723310522965712
Real MVP,OOS,0,5206.584118485923,0.0033635333445499473,6.4601536593018e-07,0.003763940871383567,-0.010723310522965712,0.0,0.0
HRP,GARCH,1,0.46049275795672845,0.002111406895181752,0.004585103367423982,0.00044216896374361567,-0.0024824080904078706,0.00031924961385667466,0.004584401234153816
HRP,Historical,1,0.3463150603317474,0.0017695416717606548,0.005109629566977389,0.00010030374032251829,-0.001957881890854464,-2.2615609564422727e-05,0.005108927433707223
MVP,GARCH,1,0.9438633010799362,0.0023357910445674797,0.00247471327881373,0.0006665531131293432,-0.004592798179018123,0.0005436337632424022,0.002474011145543564
MVP,Historical,1,0.9771051929789908,0.0013976997734101888,0.0014304496419151069,-0.0002715381580279477,-0.005637061815916746,-0.0003944575079148887,0.0014297475086449411
ERC,GARCH,1,0.3810965244784189,0.002161206443460619,0.005671021131506031,0.0004919685120224825,-0.0013964903263258216,0.0003690491621355415,0.005670318998235865
ERC,Historical,1,0.32221427320080737,0.0019421132662970947,0.006027396759940392,0.00027287533485895817,-0.0010401146978914607,0.00014995598497201715,0.006026694626670226
Naive,N/A,1,0.28431522434362344,0.0019911040437611675,0.007003156613782731,0.00032186611232303095,-6.435484404912137e-05,0.00019894676243608993,0.0070024544805125655
Real ERC,OOS,1,0.23618467991139555,0.0016692379314381365,0.007067511457831853,0.0,0.0,-0.00012291934988694101,0.007066809324561687
Real MVP,OOS,1,2552.446034785072,0.0017921572813250776,7.021332701656847e-07,0.00012291934988694101,-0.007066809324561687,0.0,0.0
HRP,GARCH,2,-0.21937920588523502,-0.0018282918351567815,0.008333934056235144,0.0017053500622628299,-0.00033568837690674605,-0.0018314689612878956,0.008333051322417951
HRP,Historical,2,-0.24510347179443498,-0.002134880210956979,0.008710118201620067,0.0013987616864626325,4.0495768478176694e-05,-0.0021380573370880927,0.008709235467802874
MVP,GARCH,2,0.3424899595101499,0.0018912350697960294,0.005522016097934636,0.005424876967215641,-0.003147606335207254,0.0018880579436649154,0.005521133364117444
MVP,Historical,2,0.4195405342137554,0.002088480461241253,0.004978018310328924,0.005622122358660864,-0.0036916041228129666,0.002085303335110139,0.004977135576511731
ERC,GARCH,2,-0.3102108451780602,-0.0028973257818060262,0.009339859733604636,0.0006363161156135852,0.0006702373004627456,-0.00290050290793714,0.009338976999787443
