Model,Covariance Type,Window Index,Mean Return,Forecasted Std
HRP,GARCH,0,0.004128180546165686,0.00671864451422467
HRP,Historical,0,0.00429119825960665,0.007159925602906293
MVP,GARCH,0,0.002963361463739917,0.005586916059563557
MVP,Historical,0,0.0035294103969670835,0.005741547683218777
ERC,GARCH,0,0.004976632577835204,0.0075898202971399886
ERC,Historical,0,0.005106138965435075,0.008497446714414937
Naive,N/A,0,0.0059206080997066726,0.009823174288408362
HRP,GARCH,1,0.0012336145804702945,0.00640503309323981
HRP,Historical,1,0.0010874325455533774,0.007094946004555236
MVP,GARCH,1,0.0021401459094480928,0.005173153285231744
MVP,Historical,1,0.002001916979743093,0.005719170151765428
ERC,GARCH,1,0.0005701455755534709,0.007643382704867714
ERC,Historical,1,0.00045701975290674045,0.008508654087257537
Naive,N/A,1,-0.0002118270462953112,0.009864650352325156
HRP,GARCH,2,-0.0004466395390813682,0.006332550546903131
HRP,Historical,2,-0.0003499564052016444,0.007054702382642726
MVP,GARCH,2,0.0002399904830761729,0.005145701259527693
MVP,Historical,2,0.00020946606820556202,0.005630187469606089
ERC,GARCH,2,-0.0006944972143067131,0.0073319111064609295
ERC,Historical,2,-0.0006478510400357989,0.008491085364284461
Naive,N/A,2,-0.0008972666424705226,0.009854129727794942
HRP,GARCH,3,0.001829409839854184,0.006156834101085793
HRP,Historical,3,0.0015354506432661602,0.007039809291705056
MVP,GARCH,3,0.001478717529785361,0.005049271461152836
MVP,Historical,3,0.0009365775648183912,0.005612772902232336
ERC,GARCH,3,0.0019290164480236284,0.007088810768475357
ERC,Historical,3,0.001825653451296063,0.008480352055692652
Naive,N/A,3,0.0018790974941457288,0.009844935064985023
HRP,GARCH,4,-0.0008801665446418631,0.0064481402524969875
HRP,Historical,4,-0.0006578289970301231,0.007022754859914183
MVP,GARCH,4,0.0008071891940782845,0.0052870247176192
MVP,Historical,4,0.0007685273688080266,0.005594440035631532
ERC,GARCH,4,-0.0017118867293536184,0.007416088176118349
ERC,Historical,4,-0.0016258351906872429,0.008467449128386624
Naive,N/A,4,-0.002425104169564099,0.00982991994022713
HRP,GARCH,5,-0.00025328798874338175,0.006477640176186386
HRP,Historical,5,-0.0004473443141454831,0.007045059591922813
MVP,GARCH,5,-0.0015633448388208415,0.005329738862103676
MVP,Historical,5,-0.0014859825836864194,0.005620246917134223
ERC,GARCH,5,0.000477080792613955,0.007409384340693588
ERC,Historical,5,0.0003724972635890468,0.008477155015020048
Naive,N/A,5,0.0015406112994242522,0.009836268517481995
