Model,Covariance Type,Window Index,Mean Return,Forecasted Std
HRP,GARCH,0,0.0020892272690366458,0.006641360469850751
HRP,Historical,0,0.0022049481605923246,0.007159925602906293
MVP,GARCH,0,0.002241825462030773,0.0054420038443783935
MVP,Historical,0,0.0024432650359991516,0.005741547683218777
ERC,GARCH,0,0.00214207195109224,0.007633995661929202
ERC,Historical,0,0.002212323581536999,0.008497446714414937
Naive,N/A,0,0.0022012652609931177,0.009823174288408362
HRP,GARCH,1,0.0004573329855139527,0.006308618708772692
HRP,Historical,1,0.00037278518037636786,0.007154487046654196
MVP,GARCH,1,0.0005285538356294107,0.0050143219329221046
MVP,Historical,1,0.0002601847744498599,0.005630226866524297
ERC,GARCH,1,0.00041497794382019444,0.007374882970325472
ERC,Historical,1,0.00039084293429292636,0.008496289917848282
Naive,N/A,1,0.00029238821905233403,0.009859938222541402
HRP,GARCH,2,-0.00033272505092463736,0.006568162263527451
HRP,Historical,2,-0.00029812715790728157,0.00711811771493653
MVP,GARCH,2,5.221732539145234e-05,0.005281933246874652
MVP,Historical,2,-4.715645225285959e-05,0.005597035952583075
ERC,GARCH,2,-0.0004566725780067657,0.007556355634006956
ERC,Historical,2,-0.0004496732371645117,0.008469194211090434
Naive,N/A,2,-0.00042044017721653784,0.009833615005711041
HRP,GARCH,3,-0.0012346706805406323,0.006634101586616431
HRP,Historical,3,-0.0013288798420042294,0.00708934845725807
MVP,GARCH,3,-0.0003654822747956285,0.005323789440452346
MVP,Historical,3,-0.0005718896682289034,0.005647987505066157
ERC,GARCH,3,-0.0018369160783220555,0.00783704648520559
ERC,Historical,3,-0.0019388728826156647,0.008525506609318745
Naive,N/A,3,-0.002417467827825049,0.009906163191298594
HRP,GARCH,4,-0.008282877809823138,0.006704837590275497
HRP,Historical,4,-0.008142576477270383,0.007251772339010907
MVP,GARCH,4,-0.007866053848019972,0.00522210242022843
MVP,Historical,4,-0.007502202346450909,0.005679474659923934
ERC,GARCH,4,-0.008383357259526067,0.008011949827106676
ERC,Historical,4,-0.008336719255254952,0.008610772469895488
Naive,N/A,4,-0.008085997595686192,0.009990954865025976
HRP,GARCH,5,0.004156131992300364,0.01112130077723511
HRP,Historical,5,0.0045858301936686375,0.007648688908787984
MVP,GARCH,5,0.003233607381779494,0.009297940630617582
MVP,Historical,5,0.003956457106420848,0.006060700384910567
ERC,GARCH,5,0.004450140377911887,0.012200022156509198
ERC,Historical,5,0.00475173427397894,0.009026862776584918
Naive,N/A,5,0.0046594868941258645,0.010302583420634113
HRP,GARCH,6,-0.002661255786936994,0.011809714543206146
HRP,Historical,6,-0.0021828946907160333,0.008615400978587394
MVP,GARCH,6,-0.002528105493060314,0.009949900336422034
MVP,Historical,6,-0.0011766843291539663,0.006767639774470654
ERC,GARCH,6,-0.002877614793782299,0.012768377288469019
ERC,Historical,6,-0.0026985971414380124,0.009785038386320652
Naive,N/A,6,-0.0029141046940403805,0.010965328093176668
HRP,GARCH,7,-0.0022955694337475872,0.009634812727031766
HRP,Historical,7,-0.00245717927496315,0.008740172744724616
MVP,GARCH,7,-0.004354802109378203,0.0078094857265092925
MVP,Historical,7,-0.004537079189374756,0.006857676394746457
ERC,GARCH,7,-0.001709087528399089,0.01065100327703067
ERC,Historical,7,-0.0017413776634373848,0.009935290617959792
Naive,N/A,7,-0.0014953473334889393,0.011107878230400629
HRP,GARCH,8,0.0010679445457613358,0.01425978450871745
HRP,Historical,8,0.0016213575974564328,0.009654802124394783
MVP,GARCH,8,-0.000979308347190913,0.011192690513351708
MVP,Historical,8,0.0010576806834890697,0.007498442363832839
ERC,GARCH,8,0.0018036143576050916,0.015607958932680356
ERC,Historical,8,0.002014478016947944,0.010522814171245676
Naive,N/A,8,0.0024981348111286278,0.011639463040161077
HRP,GARCH,9,3.153604949577206e-05,0.011305498067606076
HRP,Historical,9,0.00018896001311656066,0.009695104196107753
MVP,GARCH,9,0.00047915209177335204,0.009899588074751829
MVP,Historical,9,0.000644800799492355,0.007592493969496507
ERC,GARCH,9,-2.695975523042558e-05,0.01180423113934159
ERC,Historical,9,4.295859289675651e-05,0.010710042380366488
Naive,N/A,9,-0.00020090587587891063,0.011837496698244522
HRP,GARCH,10,0.0010718723205511006,0.008805455022396234
HRP,Historical,10,0.0010422452253563586,0.009653514212856013
MVP,GARCH,10,0.0006592944449883,0.007206761218071102
MVP,Historical,10,0.00043950025226762156,0.007559678419176092
ERC,GARCH,10,0.0012403107112345826,0.009583366377017075
ERC,Historical,10,0.0012448383882214687,0.010651041409589957
Naive,N/A,10,0.0013788926182219405,0.011811413154482935
HRP,GARCH,11,-0.00361237917248448,0.008831134356966523
HRP,Historical,11,-0.0035432725621786323,0.009724962861009795
MVP,GARCH,11,-0.0028982891943123723,0.006826625757786282
MVP,Historical,11,-0.002461072202400059,0.0075852945569136266
ERC,GARCH,11,-0.003948052727422302,0.00969127561973094
ERC,Historical,11,-0.003942439915091677,0.01067140598819832
Naive,N/A,11,-0.00418193002761845,0.011830867244874336
HRP,GARCH,12,-0.0014948314856368192,0.009052116580318166
HRP,Historical,12,-0.0014444317420719253,0.009594933674747544
MVP,GARCH,12,-0.000644991993803741,0.007588762791087463
MVP,Historical,12,-0.00070073779558991,0.007480198163297168
ERC,GARCH,12,-0.0015747380656345746,0.009524441509337357
ERC,Historical,12,-0.0015804592540015093,0.010444244271764139
Naive,N/A,12,-0.0016867564810386687,0.011662171089245693
HRP,GARCH,13,0.0032076329696358115,0.00895612202333732
HRP,Historical,13,0.0032050229320370665,0.009634605868753367
MVP,GARCH,13,0.002381342222093378,0.0071662861780935555
MVP,Historical,13,0.0023859952665404856,0.007502844535386733
ERC,GARCH,13,0.0033580435530928127,0.00953424612758244
ERC,Historical,13,0.003367923071874404,0.010401828261053039
Naive,N/A,13,0.003681436228281589,0.011590587318455003
HRP,GARCH,14,0.003195457388986916,0.00935765873948504
HRP,Historical,14,0.003213839584277494,0.009679924324879142
MVP,GARCH,14,0.002884338775911482,0.0080180089985185
MVP,Historical,14,0.003118115652196835,0.0076723624251071945
ERC,GARCH,14,0.003356875213351607,0.009886692410603968
ERC,Historical,14,0.003346492368437743,0.010567229286713697
Naive,N/A,14,0.0035583524959334756,0.011733685962318446
HRP,GARCH,15,0.002655301669256861,0.008920584168373607
HRP,Historical,15,0.0026991408994037625,0.009903822822663255
MVP,GARCH,15,0.0031632699025589354,0.007499904659538518
MVP,Historical,15,0.003126611529689261,0.0077527276119481285
