Date,KO.N,WMT.OQ,AMGN.OQ,CAT.N,VZ.N,CRM.N,JNJ.N,MCD.N,MSFT.OQ,V.N,AXP.N,GS.N,BA.N,CVX.N,MMM.N,PG.N,CSCO.OQ,AMZN.OQ,JPM.N,NVDA.OQ,UNH.N,HD.N,TRV.N,NKE.N,SHW.N,MRK.N,DIS.N,IBM.N,HON.OQ,AAPL.OQ
1980-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128348
1980-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121652
1980-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112723
1980-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115518
1980-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118866
1980-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126116
1980-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132259
1980-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137839
1980-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145089
1980-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158482
1980-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.160714
1980-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156812
1980-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152348
1981-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154018
1981-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150669
1981-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143973
1981-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137839
1981-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135045
1981-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142303
1981-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141187
1981-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136161
1981-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136723
1981-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139509
1981-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138393
1981-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146768
1981-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142303
1981-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145089
1981-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146768
1981-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146205
1981-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143973
1981-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142857
1981-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138393
1981-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133375
1981-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126116
1981-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118866
1981-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12333
1981-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127795
1981-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127795
1981-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128348
1981-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121652
1981-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121652
1981-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11775
1981-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116634
1981-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113839
1981-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116634
1981-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121652
1981-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114402
1981-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108259
1981-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109937
1981-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106027
1981-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112723
1981-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.114402
1981-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118303
1981-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118866
1981-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117187
