Date,Academic & Educational Services,Telecommunications Services,Energy - Fossil Fuels,Renewable Energy,Banking & Investment Services,Insurance,Real Estate,Investment Holding Companies,Healthcare Services & Equipment,Pharmaceuticals & Medical Research,Industrial Goods,Industrial & Commercial Services,Consumer Goods Conglomerates,Transportation,Chemicals,Mineral Resources,Applied Resources,Food & Beverages,Personal & Household Products & Services,Food & Drug Retailing,Technology Equipment,Software & IT Services,Financial Technology (Fintech) & Infrastructure,Utilities,Automobiles & Auto Parts,Cyclical Consumer Products,Cyclical Consumer Services,Retailers
2006-06-01,,,236.903914,,152.037995,,216.842395,,185.107703,85.077139,182.488817,148.840714,,243.468062,,298.174613,134.506807,124.986503,,,87.081032,,,168.698535,,181.577279,105.336592,116.937917
2006-06-02,,,240.000703,,152.69795,,218.480813,,185.60564,85.360333,182.165933,148.960351,,244.68971,,302.675463,134.129705,124.882335,,,86.977675,,,170.566549,,180.185021,105.232067,116.043976
2006-06-05,,,232.664711,,149.880285,,219.278986,,182.780725,83.919964,177.535599,145.90941,,237.681416,,288.522668,131.599625,123.231591,,,84.795614,,,168.694983,,174.961993,104.00808,114.26097
2006-06-06,,,232.424619,,149.493568,,216.840617,,182.734536,84.017715,175.058432,145.247411,,237.324114,,285.113044,130.5492,123.729773,,,84.54585,,,168.522103,,172.40084,103.724796,113.715541
2006-06-07,,,224.537839,,150.280588,,217.573651,,183.840409,84.288012,173.846633,144.19153,,234.192291,,275.285725,129.070145,123.094316,,,83.068624,,,167.578142,,171.578501,103.967548,113.512402
2006-06-08,,,226.25776,,150.565935,,217.639135,,183.52611,84.557673,173.000905,143.300885,,233.818156,,275.477077,129.851076,122.603312,,,82.417769,,,168.499507,,171.324851,103.510944,113.844007
2006-06-09,,,224.005901,,150.224704,,218.771336,,182.357634,83.977012,172.865408,143.050626,,231.684507,,273.080458,130.027016,122.751483,,,81.915423,,,169.430865,,172.24125,103.074219,113.250307
2006-06-12,,,219.32877,,148.161132,,214.972296,,180.273919,83.19592,168.988332,140.415857,,228.197052,,264.485245,127.679388,122.156661,,,79.67492,,,169.228202,,169.063021,101.788491,111.485041
2006-06-13,,,212.980398,,145.035373,,213.597196,,179.236397,82.855473,167.890604,137.922747,,228.016702,,256.809674,126.572662,120.398438,,,79.548765,,,166.81149,,166.881924,100.584825,111.40613
2006-06-14,,,218.169782,,144.153706,,212.783653,,179.418557,83.173687,170.311654,138.950969,,229.923995,,263.326141,127.285149,120.632532,,,80.692768,,,166.16166,,168.552608,100.964144,112.225221
2006-06-15,,,226.387283,,147.823767,,216.971262,,182.036053,84.44608,175.705597,142.405625,,238.156681,,277.827533,129.664285,121.619884,,,83.462321,,,168.70743,,173.831517,102.661339,114.825296
2006-06-16,,,225.14152,,146.756106,,216.329506,,181.657705,84.227991,175.555103,141.946209,,237.854151,,275.216863,128.979067,121.996216,,,82.704937,,,168.612606,,172.728495,102.446586,114.000748
2006-06-19,,,217.826546,,145.485735,,214.320519,,179.703526,83.418966,173.336933,140.014627,,236.254214,,267.63538,127.125084,121.560068,,,82.083618,,,166.405027,,170.648426,101.985427,113.384205
2006-06-20,,,216.322697,,145.826138,,213.48675,,178.53934,83.297988,173.041128,139.651017,,236.259116,,268.778296,127.103082,122.17683,,,81.691415,,,166.587052,,169.031028,101.948236,113.328671
2006-06-21,,,220.676807,,147.313236,,216.499966,,180.086774,83.569428,175.702553,141.941058,,242.635122,,277.811465,129.491463,122.569974,,,83.098414,,,166.709426,,172.306938,102.699358,114.620998
2006-06-22,,,221.527476,,146.838723,,215.415893,,179.248499,83.056752,174.731123,140.991518,,241.879991,,276.24032,129.076604,122.715625,,,81.787416,,,165.864265,,172.30846,101.750886,113.860918
2006-06-23,,,225.691248,,145.995616,,214.87277,,177.927045,83.108414,175.114379,141.404156,,243.08633,,280.331799,128.965379,121.938723,,,81.071884,,,166.25788,,172.91493,101.578596,113.433497
2006-06-26,,,228.298787,,147.19173,,217.269261,,176.717424,83.276764,175.958799,142.269021,,243.417122,,281.269781,129.69691,122.452657,,,81.473146,,,167.174585,,174.537042,102.049868,113.932388
2006-06-27,,,229.319722,,145.539444,,216.023776,,174.40943,82.224786,173.773274,140.562701,,240.252908,,277.486911,128.204857,121.965245,,,79.839308,,,166.568756,,171.209816,101.06548,112.172138
2006-06-28,,,233.633532,,145.97707,,216.575569,,174.878276,82.452655,173.998244,141.014177,,242.145773,,280.569023,128.2926,122.324287,,,80.058988,,,167.504189,,170.471244,101.461172,112.340787
2006-06-29,,,240.099264,,149.541901,,220.784884,,177.737966,84.025834,178.919114,144.532572,,249.698655,,295.321724,131.689898,123.940122,,,82.672183,,,169.717873,,175.386377,103.623446,114.350709
2006-06-30,,,238.647356,,148.561992,,221.9352,,177.376456,84.707369,179.228913,145.107269,,251.439514,,297.344969,131.75341,123.932379,,,81.934322,,,170.498431,,174.184472,103.79843,113.621675
2006-07-03,,,241.616048,,150.242618,,224.254519,,178.095846,85.040574,179.651155,145.490004,,253.789952,,303.749632,132.18816,124.890847,,,82.804511,,,172.041217,,174.678521,104.06879,113.373163
2006-07-04,,,241.616048,,150.242618,,224.254519,,178.097098,85.040574,179.651155,145.491623,,253.789952,,303.749632,132.18816,124.886695,,,82.804511,,,172.041217,,174.678521,104.06879,113.373163
2006-07-05,,,242.321876,,149.176952,,224.014406,,176.791015,84.87031,177.46604,143.435007,,251.46416,,297.751088,131.167331,124.227968,,,81.011842,,,171.101605,,172.318411,103.231212,111.841893
2006-07-06,,,242.442734,,149.509281,,225.018883,,177.23287,85.365922,178.240578,143.293236,,249.010621,,298.364969,131.339186,126.371468,,,81.113768,,,170.488978,,172.956423,103.051763,111.598098
2006-07-07,,,239.235957,,148.56341,,224.040858,,177.03349,85.376525,175.684528,141.209708,,246.359856,,295.04042,130.022449,126.271997,,,79.853618,,,171.507891,,171.247208,102.124965,110.518674
2006-07-10,,,239.925117,,149.098004,,225.752971,,177.436942,85.447057,176.244152,140.727007,,247.620026,,294.473253,130.940632,126.784091,,,78.007171,,,172.42389,,171.043591,102.10979,110.790782
2006-07-11,,,243.818454,,149.279004,,225.168153,,178.138009,85.354751,177.217192,140.896072,,248.012895,,293.447832,130.074818,127.880292,,,79.136089,,,173.641483,,170.562247,102.501674,110.605987
2006-07-12,,,243.176783,,147.289021,,224.85057,,176.918982,84.623741,174.950267,139.276597,,244.062862,,291.591392,128.772966,126.960185,,,76.986764,,,172.418078,,166.72525,101.164113,108.068224
2006-07-13,,,241.083094,,145.080696,,221.580869,,175.521181,83.820887,171.185134,136.813348,,238.115386,,279.673304,126.52574,126.159013,,,75.754485,,,171.769758,,164.684134,98.970036,106.652667
2006-07-14,,,243.688677,,144.662098,,218.877709,,174.231023,83.087472,168.334039,136.178311,,235.229307,,279.802226,126.135389,125.882292,,,75.549607,,,171.720492,,161.478255,97.900677,104.974423
2006-07-17,,,236.909431,,144.470529,,218.613887,,175.007966,83.255793,166.739545,135.679942,,233.546266,,271.229239,125.870521,126.009574,,,75.644674,,,172.00685,,162.126493,98.752967,105.447898
2006-07-18,,,237.542087,,145.083067,,220.096139,,174.517325,83.347841,167.199002,136.051165,,235.159263,,272.381981,126.104664,127.215911,,,75.716894,,,172.602125,,161.068096,98.830276,104.15906
2006-07-19,,,239.745388,,148.83146,,225.175423,,178.486236,85.231536,172.031693,138.627742,,240.791918,,283.749014,129.562825,127.665464,,,77.216938,,,174.969523,,165.573342,100.325575,106.589919
2006-07-20,,,234.688248,,147.884554,,221.976264,,178.197139,85.216359,168.198735,135.619656,,230.96325,,271.421592,127.530451,127.94741,,,76.162948,,,175.678221,,161.669974,99.098978,105.381908
2006-07-21,,,231.090835,,146.726866,,218.023918,,177.673052,85.425948,165.789541,132.938241,,228.582681,,265.025196,125.370183,127.994481,,,73.639072,,,176.014278,,161.256585,98.049578,104.170006
2006-07-24,,,237.828359,,148.746999,,223.232014,,179.946378,87.529534,169.36947,134.433785,,233.756215,,269.60256,126.957878,128.391077,,,75.464406,,,177.633793,,166.560409,99.689762,106.554002
2006-07-25,,,242.096008,,149.090831,,225.661123,,182.853056,88.101795,171.367767,136.005208,,226.406668,,275.990005,128.736152,129.297617,,,75.988334,,,178.570691,,168.425458,100.190485,107.50383
2006-07-26,,,246.107961,,148.778968,,227.461212,,183.626236,88.635093,169.77935,133.861628,,218.929716,,274.445158,128.987785,129.584493,,,76.042856,,,179.225928,,167.020739,99.335058,105.230468
2006-07-27,,,244.62105,,148.13501,,224.399076,,182.063958,88.695375,169.211306,133.601486,,217.798421,,269.691746,128.10209,128.939863,,,75.912729,,,178.195173,,163.700645,99.180349,104.071468
2006-07-28,,,244.827757,,150.79999,,227.965565,,183.450636,89.660241,170.846436,135.998773,,223.120199,,276.530132,129.712737,130.192713,,,77.780727,,,179.293447,,166.525165,99.901511,105.639671
2006-07-31,,,248.310986,,149.928186,,225.352065,,182.537653,88.913402,170.439914,135.608828,,221.563723,,279.343053,129.544209,130.119745,,,77.580349,,,178.912093,,165.528516,99.907164,105.779528
2006-08-01,,,249.258347,,149.495146,,224.568419,,182.400519,88.853988,169.357942,134.515922,,217.901013,,277.215665,128.283114,129.768649,,,76.036962,,,180.756989,,162.917223,98.913216,104.686031
2006-08-02,,,249.814384,,150.143765,,225.345852,,184.344734,88.989806,170.751904,136.343023,,219.255709,,282.347995,128.491082,129.868761,,,76.74604,,,180.610554,,163.521186,100.008602,104.948864
2006-08-03,,,248.221018,,150.9462,,229.122613,,179.866212,89.203549,172.578355,138.177572,,224.193065,,281.745292,130.161596,129.493524,,,77.444152,,,179.608027,,167.374409,99.579305,106.959137
2006-08-04,,,246.550267,,151.530116,,231.004375,,179.272208,89.109264,172.609283,137.916414,,220.778292,,279.369463,129.321191,129.306298,,,77.176754,,,179.807916,,167.134318,99.440324,107.394344
2006-08-07,,,248.23274,,150.951795,,228.955041,,179.001023,88.543839,172.109214,136.541324,,217.427558,,280.986526,129.858769,128.656901,,,76.815169,,,177.846037,,167.451721,98.770286,107.036931
2006-08-08,,,247.460276,,150.44543,,224.493285,,179.130636,88.284835,169.875505,135.423672,,215.977113,,276.328065,129.506221,129.633551,,,76.175695,,,179.056487,,164.845151,97.973886,106.09635
2006-08-09,,,248.729216,,148.713713,,220.895258,,178.862297,88.231637,166.552387,134.737568,,210.544706,,275.578928,129.137105,129.177674,,,77.364019,,,179.091389,,161.07994,96.765281,104.516859
2006-08-10,,,247.409029,,149.361673,,220.360716,,180.215641,88.041078,167.486618,135.854635,,212.989297,,275.975407,129.533414,129.775608,,,77.940674,,,179.066468,,162.098455,97.969091,106.655534
2006-08-11,,,247.103552,,148.571155,,218.099871,,179.536219,87.42328,166.459768,134.680739,,209.837517,,271.07654,128.424901,129.843684,,,77.06113,,,178.55385,,161.271224,97.914761,106.359988
2006-08-14,,,243.13901,,148.388974,,218.575811,,179.240763,87.773167,166.604543,135.044964,,210.883567,,268.604605,128.022179,130.15828,,,78.231132,,,179.269891,,160.824229,98.250492,106.842829
2006-08-15,,,243.671997,,151.096951,,221.915688,,180.982357,88.717731,169.948078,137.822892,,216.838003,,274.513052,129.543953,130.660049,,,80.795644,,,180.780735,,164.010686,99.274837,108.531918
