Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
Naive,N/A,0,0.002607259533234002,0.012725471642886592,
MVP,Historical,0,0.001576860046579798,0.008354269042661636,
HRP,Historical,0,0.002869953855698602,0.010372440936753248,
ERC,Historical,0,0.0022991035420416124,0.011413088624910262,0.1741448614177265
MVP,GARCH,0,-0.0005407275499719993,0.004954876044881899,
HRP,GARCH,0,0.0018849756720049349,0.006362660003295156,
ERC,GARCH,0,0.001671274453101426,0.007104376229132753,0.23976587758961052
MVP,DCC,0,6.967751160331069e-05,0.004434191850808122,
HRP,DCC,0,0.0006228959815328792,0.0054866734542122,
ERC,DCC,0,0.0016506870864659903,0.006272690991242612,0.22996955155977286
Naive,N/A,1,-0.008006360533288676,0.012719871224236724,
MVP,Historical,1,-0.0062893617519192615,0.008345977442722585,
HRP,Historical,1,-0.00676770230242222,0.010279717916328403,
ERC,Historical,1,-0.007151126005392542,0.01140633902149789,0.0721924602742586
MVP,GARCH,1,-0.004571513537637975,0.004937914833165596,
HRP,GARCH,1,-0.0059054287610594575,0.006185427595420512,
ERC,GARCH,1,-0.006799758833293888,0.00705341532746626,0.07528119031671422
MVP,DCC,1,-0.004934137001507676,0.0043588920417716465,
HRP,DCC,1,-0.005211192301217217,0.005424467294945661,
ERC,DCC,1,-0.0064856184416259436,0.006175563628774937,0.08024823243350641
Naive,N/A,2,-0.004370534139477383,0.012722734155493192,
MVP,Historical,2,-0.005016871216126827,0.008348619122322149,
HRP,Historical,2,-0.004444343095600497,0.010282495303594446,
ERC,Historical,2,-0.003908948034783089,0.011409027747635176,0.09743275750812498
MVP,GARCH,2,-0.004364634072334516,0.005034151486773845,
HRP,GARCH,2,-0.004335584575507376,0.006305944427183021,
ERC,GARCH,2,-0.0037347141432952707,0.007280401254069387,0.0974471604594928
MVP,DCC,2,-0.004357070280623532,0.0045177220883886,
HRP,DCC,2,-0.0030338390465624743,0.005619157278050716,
ERC,DCC,2,-0.003674893936989793,0.006411833240094078,0.10075705372664594
Naive,N/A,3,-0.003147075391552129,0.01271564794360617,
MVP,Historical,3,0.0010764613450416423,0.008334185886163935,
HRP,Historical,3,-0.0019330143272952701,0.01026951729210534,
ERC,Historical,3,-0.0025464613057453287,0.0113985613305629,0.1817052013614946
MVP,GARCH,3,0.0016532110422530241,0.005209835979850427,
HRP,GARCH,3,-0.0008612664830593907,0.006448230919015148,
ERC,GARCH,3,-0.0018112149170296903,0.0073032112732929364,0.21487775607305262
MVP,DCC,3,0.001704613112437487,0.004644755226718919,
HRP,DCC,3,-0.00041279669910187085,0.00582432600577636,
ERC,DCC,3,-0.0015031184380210187,0.006432472072444978,0.24453271457867454
Naive,N/A,4,0.006594696106785286,0.012709173908563937,
MVP,Historical,4,0.005442727992572593,0.00832083909236486,
HRP,Historical,4,0.005875210711167341,0.010341295516417178,
ERC,Historical,4,0.006298215828500268,0.011387809950515554,0.04626203173765701
MVP,GARCH,4,0.004261159769824195,0.005036777283727545,
HRP,GARCH,4,0.005491087866255054,0.0063979154677590525,
ERC,GARCH,4,0.0060569612843567175,0.007170823018348296,0.04893264125840296
MVP,DCC,4,0.004712463388647969,0.004498091788683451,
HRP,DCC,4,0.005339437385052908,0.005722956796330441,
ERC,DCC,4,0.005758767171408736,0.006287161977138038,0.05110570831547185
Naive,N/A,5,0.004733092196616829,0.012710469568534008,
MVP,Historical,5,0.0022779882255738147,0.008320463813738342,
HRP,Historical,5,0.0037865702204063264,0.010342679088353943,
ERC,Historical,5,0.00529944227031777,0.011389270246948642,0.13308822907064494
MVP,GARCH,5,0.002254826334420839,0.00501528307613326,
HRP,GARCH,5,0.004416639505612394,0.0063711207358624735,
ERC,GARCH,5,0.006113080471641741,0.007121065504860433,0.11311417453009384
MVP,DCC,5,0.004330523347774177,0.004497889351596878,
HRP,DCC,5,0.005756377886427922,0.005735793115678509,
ERC,DCC,5,0.005755484284870275,0.006272386747990884,0.11398383223221836
Naive,N/A,6,0.003716379665890457,0.01271047126907241,
MVP,Historical,6,0.002528353926920411,0.008319776561072174,
HRP,Historical,6,0.0035649502656420265,0.010341984114389096,
ERC,Historical,6,0.003576617723862395,0.011389230571954843,0.059178503618459145
MVP,GARCH,6,0.001493159657235634,0.005041480883304067,
HRP,GARCH,6,0.00297942008059814,0.0064899897051610865,
ERC,GARCH,6,0.0032522182986662656,0.007359241948301209,0.05588961177878672
MVP,DCC,6,0.0014576971122559701,0.0045276376870692515,
HRP,DCC,6,0.0024566333695346405,0.005709002598935937,
ERC,DCC,6,0.0030257091549507013,0.0064018676581625,0.057659240072585966
Naive,N/A,7,0.008688673590164758,0.012709066615107557,
MVP,Historical,7,0.00402375384938882,0.008316428433397027,
HRP,Historical,7,0.007046032525649134,0.010339204086121368,
ERC,Historical,7,0.008112296943214414,0.01138713996406424,0.042475596476829074
MVP,GARCH,7,0.0018104728666651728,0.004898001237871546,
HRP,GARCH,7,0.0059076404176435175,0.006301471424195524,
ERC,GARCH,7,0.007599842748789283,0.007127265208257681,0.03983325410184022
MVP,DCC,7,0.0019796038777702067,0.004399076937175757,
HRP,DCC,7,0.005728675463423781,0.00555295266390967,
ERC,DCC,7,0.0069529986655774536,0.006213391133135408,0.03854736339228651
Naive,N/A,8,-0.004951262122172323,0.012698065456517653,
MVP,Historical,8,0.0007966917375900999,0.008312800283986952,
HRP,Historical,8,-0.002882821522013319,0.010330249647456725,
ERC,Historical,8,-0.0047974533269128546,0.01137711283750242,0.0970570627494551
MVP,GARCH,8,-8.913196475292262e-05,0.004753426823796875,
HRP,GARCH,8,-0.0022732832248106806,0.0061938909991496975,
ERC,GARCH,8,-0.004383660031995111,0.007084152737286816,0.09193867742314855
MVP,DCC,8,-0.0006103331538008342,0.004277642186871792,
HRP,DCC,8,-0.003474134206583752,0.005296610560902708,
ERC,DCC,8,-0.004020432591151083,0.006193779482363944,0.09605897881494603
