Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.12781762898047577,0.13560779727652916,0.13322029810664554,1.017921436926769,-160.3610859314203,0.000340397270728722,0.4334165532134032,0.03988584646179378,0.6968077002233943,0.9962011835259009,-0.2199987283997339,0.5809925807763459,-0.01821760925971313,0.06382223674542117,2.269539084616961
ERC,GARCH,0.1307745314213975,0.1418993159004376,0.13684914312885804,1.0369032107627032,-153.58430373047227,0.0003392293230680339,0.534527834890886,0.03450324644946758,0.6957224228818653,0.9983754133928849,-0.22515360112125282,0.5808236278262812,-0.01901499878163714,0.09043112967274786,2.2389099411479907
ERC,Historical,0.1331279525547857,0.15566924993663522,0.1542759526492425,1.009031201969373,-149.46033824335933,0.00035021132912275115,0.38266868080804883,0.009577402178872372,0.6727784676290528,0.9730173858583206,-0.24203308918344657,0.5500402982250195,-0.02091608424897759,0.13625060388037427,2.3762571946919073
HRP,DCC,0.1189858019923804,0.11885687740531761,0.1163554681320476,1.021497995009837,-160.3610859314203,0.000340397270728722,,0.16793950626773904,0.6952406857218199,0.9791731376267806,-0.18988346976055603,0.6266253831490549,-0.015996048906533434,0.02494264323491961,2.4153152487646827
HRP,GARCH,0.11845491365630023,0.12341998818418676,0.11994167446282976,1.0290000430370425,-153.58430373047227,0.0003392293230680339,,0.08417332701060266,0.6784138557475778,0.9602270643426613,-0.2075564834077135,0.5707117007933372,-0.01654116120779415,0.05134060269450102,2.2896078489845917
HRP,Historical,0.12623144741006076,0.14232595171986134,0.13911206935341663,1.0231028291174347,-149.46033824335933,0.00035021132912275115,,0.033503725013958034,0.6710706706984647,0.9627566267871606,-0.22954210212218817,0.549927208311729,-0.019141854175146505,0.09930763173325927,2.3076254832551855
MVP,DCC,0.09563444831814327,0.09371423133172896,0.09034878210561907,1.0372495250923872,-160.3610859314203,0.000340397270728722,,0.13031392102322228,0.617144757971857,0.8434487099602767,-0.18670105582314833,0.512233034229504,-0.012812661616845683,-0.1984527855288199,3.237085151790969
MVP,GARCH,0.09591369704953734,0.09952368595760269,0.09392952959805578,1.0595569506574287,-153.58430373047227,0.0003392293230680339,,0.1325541160765058,0.6035715483731571,0.8299742849025449,-0.18185570605112733,0.5274164838279638,-0.013530171731061386,-0.08364196298362869,3.1195244392226162
MVP,Historical,0.12322954385388951,0.11766006349314359,0.11000012117263464,1.0696357625687285,-149.46033824335933,0.00035021132912275115,,0.00821134031406016,0.7278497412632089,1.0231897730615607,-0.17809278003219942,0.6919401439609705,-0.016149616085230724,-0.02557390523244085,2.343910306696419
Naive,N/A,0.13672482899892713,0.17166557592435533,0.17545640055833,0.9783944921820368,-149.46033824335933,0.00035021132912275115,,0.010085164472862286,0.6531779335986238,0.952479409433689,-0.2838186806250371,0.481733015944638,-0.02307664324126202,0.1979388649140412,2.6088298568812296
