Date,Historical,GARCH,DCC
2004-11-02,-164.4971775709156,-166.40499415132138,-173.22124321760452
2004-11-03,-157.390917063561,-155.84859650484395,-161.82586498363833
2004-11-04,-163.73487085055447,-166.5265300958777,-167.61508566562506
2004-11-05,-130.79449911444175,-132.66326950953822,-139.0283618375032
2004-11-08,-167.00035075111992,-170.73357658426391,-173.8974520012997
2004-11-09,-158.71532746596478,-161.31239704718308,-161.79205037919598
2004-11-10,-170.42130438508292,-173.14524247256728,-171.88309650624257
2004-11-11,-155.83720579038808,-153.6085666591806,-163.4055678106987
2004-11-12,-143.78732532474302,-144.48753318084675,-144.96600714748533
2004-11-15,-158.34374614526385,-161.36359908045296,-169.25580802456355
2004-11-16,-160.87094765044003,-161.40210318627638,-162.59419881607994
2004-11-17,-153.27208117217873,-157.01569478627448,-157.51558758003472
2004-11-18,-155.52741574777085,-157.93418222468344,-164.2720320146117
2004-11-19,-149.29782094175147,-140.2762460186169,-148.20625833817547
2004-11-22,-155.1223146143361,-158.87572728214383,-161.69125931287712
2004-11-23,-150.07680804124882,-147.7177510402474,-148.3278016356282
2004-11-24,-124.88332574483991,-126.05716222398733,-153.03591712401135
2004-11-25,-160.42819430906783,-159.70565201981742,-166.7651496413743
2004-11-26,-141.19194121783025,-143.18284796087428,-155.95303877207056
2004-11-29,-151.5933305084276,-152.55129470393553,-164.21126854203328
2004-11-30,-155.50011913551785,-153.25582334043568,-162.72701204724572
2004-12-01,-150.89842851348283,-155.37530799958785,-149.72386862462304
2004-12-02,-156.6887481506557,-159.8390312643256,-161.31930526374805
2004-12-03,-134.6989297432168,-138.84345511224862,-160.51591312639073
2004-12-06,-151.6863612841346,-147.81998430179885,-151.62783954143032
2004-12-07,-159.69389051893825,-157.66070894795695,-162.80447192811508
2004-12-08,-150.52925118988577,-151.40561718102447,-157.04724073339867
2004-12-09,-150.9090596297204,-154.69329259116427,-158.5653263221145
2004-12-10,-137.87858059164273,-140.0919722229094,-153.7468531178784
2004-12-13,-137.77761620132569,-136.9279688542292,-153.74024138886833
2004-12-14,-163.42298108548155,-163.37815081226853,-163.63888259810793
2004-12-15,-167.8023449119046,-166.57536279742718,-168.6757046562234
2004-12-16,-145.96710685543925,-148.12471267217057,-158.37124988090508
2004-12-17,-165.56609743261575,-165.6788960451925,-167.73636758757792
2004-12-20,-147.57668492181753,-150.97777857687024,-157.5065698188642
2004-12-21,-161.28339466497502,-161.68532524420073,-165.3642230394159
2004-12-22,-155.15042746882278,-158.3918673173678,-153.64410509932551
2004-12-23,-151.46138565999001,-154.2888954705363,-151.32173505542735
2004-12-24,-164.90584915039176,-166.3639167392798,-167.55650589883012
2004-12-27,-155.88802224171164,-157.25647155537195,-160.32127661859704
2004-12-28,-146.1912136649787,-151.56883748993556,-161.48100176010897
2004-12-29,-151.01336736408933,-160.69766848142365,-163.62995586408397
2004-12-30,-160.0480251616519,-159.35396478942528,-167.53409446637528
2004-12-31,-159.84062212847212,-156.97405483028652,-160.40754163209814
2005-01-03,-130.29339831344274,-134.82876855471153,-144.97849266314333
2005-01-04,-159.86738920905563,-161.88772083041525,-163.47314155804082
2005-01-05,-151.14643678864815,-153.49253915718842,-160.60115555913208
2005-01-06,-131.00850616026253,-136.1335553153702,-138.35237838388844
2005-01-07,-134.8111078809126,-139.61309508505042,-156.0662281144684
2005-01-10,-153.87379298184266,-155.03904908084306,-158.44545727038206
2005-01-11,-135.95717165435414,-143.28135485272986,-157.319056004155
2005-01-12,-142.5777054595216,-155.32376917430534,-160.26503062494578
2005-01-13,-156.3323917537599,-155.88241385324002,-154.95272129009956
2005-01-14,-154.1818714688561,-163.06529126291255,-166.09956831764504
2005-01-17,-149.12432438157617,-152.40160930126726,-155.6751434072507
2005-01-18,-164.40763212930696,-163.1148475833328,-166.5596949763402
2005-01-19,-157.0838364574382,-158.05285708872825,-161.2475630209964
2005-01-20,-151.58887514903685,-162.41619516684992,-166.0372976116071
2005-01-21,-151.89181447953192,-152.73006908467747,-159.9104270665326
2005-01-24,-151.0360867612619,-157.59283857757458,-156.82701086254468
2005-01-25,-146.2372912123367,-151.48088700627724,-166.9572525697007
2005-01-26,-154.46539693604586,-158.81519830962415,-165.84046629100555
2005-01-27,-157.32332448270913,-158.04677736967702,-162.55034447539182
2005-01-28,-163.16536111503655,-164.83704766984602,-171.4305145062583
2005-01-31,-155.60463972507623,-163.33579961755547,-168.63472473065252
2005-02-01,-155.4074509262495,-158.81317053088145,-163.42640534651258
2005-02-02,-150.86999154361996,-158.3987816985062,-155.60626098591416
2005-02-03,-156.7723851198007,-155.83762707841385,-158.71900127801197
2005-02-04,-145.44920880386175,-151.15792125473683,-157.1125550933962
2005-02-07,-136.83003443019473,-139.24394060217125,-148.99876496351374
2005-02-08,-137.23277238272738,-144.59164138271356,-152.5949505314896
