Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg L1 Dist,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.0869806368238865,0.1200881635232782,0.1189117551858424,1.0097067162653854,-162.36699053672638,0.0002390742043512,0.4772360518579696,0.5848951951985226,0.0400402708923673,0.6472762468286378,0.7546570671808855,0.9425327554863396,-0.3284528727135255,0.2648192299409435,-0.0157969408779146,-0.0202256832166909,0.3079538357518014
ERC,GARCH,0.0862880379268999,0.1257800251701953,0.1252925758578541,1.0036921511099677,-157.11645810975696,0.000239789184604,0.5287345575269139,0.5727654012560183,0.0337561301135659,0.618469867775833,0.7209977146554809,0.899815148372492,-0.334808321717055,0.2577236954098817,-0.0165473627986255,-0.0147758140513558,0.2960747868074245
ERC,Historical,0.08598805108687,0.1350427704530198,0.1361878648549359,0.9913354033878404,-154.36570390486273,0.0002458676589695,0.4564177625926076,0.5637524920385695,0.0092066676443798,0.5829416624747423,0.6784393118280295,0.8466674871638967,-0.3523805933061938,0.2440203936320422,-0.0178792838747595,-0.0120564244762635,0.3617184232668355
HRP,DCC,0.086224886219143,0.1085340929743314,0.1077846820761535,1.006756572687492,-162.36699053672638,0.0002390742043512,,1.6224443967382274,0.1700318205312251,0.697623771041579,0.8164176273234199,1.0192373732517344,-0.3002136985697892,0.2872116982999653,-0.0141392151186143,-0.0149372709157009,0.2824484903421309
HRP,GARCH,0.086420592265588,0.112389891276641,0.1136687842455076,0.9885395990990798,-157.11645810975696,0.000239789184604,,1.6231233193986245,0.0752843980112784,0.6790503892491647,0.7937983481838754,0.99190650705385,-0.3142574043445578,0.2749993828970689,-0.0146777723560557,-0.0076183797912546,0.2924201233216723
HRP,Historical,0.0841261153824177,0.127687493005778,0.1277587973878433,0.99923370928,-154.36570390486273,0.0002458676589695,,1.6376789370911182,0.0231479348358715,0.5955007817173739,0.696512833315215,0.8648210812848087,-0.3387401236737304,0.2483500167327293,-0.0168947792740398,-0.0134999594240018,0.3501840267272418
MVP,DCC,0.0819099642896417,0.0886967335366538,0.0879348752756147,1.0084944587119828,-162.36699053672638,0.0002390742043512,,1.2660716319777723,0.1487582203242126,0.7868008362567362,0.9320738172669546,1.1573193131320687,-0.2173674912743464,0.3768271134263611,-0.011390712474169,-0.0023890613440539,0.254599118907751
MVP,GARCH,0.0855900198325239,0.0946138369357493,0.095475480086158,0.9907447725669346,-157.11645810975696,0.000239789184604,,1.2698798497395392,0.1594484387688115,0.7791719667660286,0.915410598982687,1.1484853335242158,-0.2340610123219099,0.3656739710020985,-0.0121396442647542,0.0077218957626658,0.2713348005715392
MVP,Historical,0.0726016349438694,0.1154945028764222,0.1110805720857063,1.039403920477871,-154.36570390486273,0.0002458676589695,,1.229841321412264,0.0096479062391176,0.5529713403437713,0.6646471652969922,0.8034859588256343,-0.2818290140152101,0.2576088029742429,-0.0152583407977484,0.0108725700139868,0.418852845017188
Naive,,0.087779809709614,0.1486161615102653,0.1511469758377115,0.9828804048692492,-154.36570390486273,0.0002458676589695,,,0.0095836483373103,0.5537482040144379,0.640516325687965,0.8044850433377266,-0.3697388387156592,0.2374103029439098,-0.01970736241439,0.0003307445404129,0.4467599968659339
