Date,Historical,GARCH,DCC
1985-05-17,-126.23903574145868,-127.34612246190702,-127.72359035482111
1985-05-20,-131.2965510757678,-131.4282107267228,-131.2576596730077
1985-05-21,-129.52919931836786,-128.86748408480858,-129.04861757558012
1985-05-22,-134.477754752721,-136.48797634922514,-136.38054897821934
1985-05-23,-121.73195994273178,-121.4987368931636,-121.97690976387368
1985-05-24,-125.0013493614869,-124.99120734436868,-124.4020522024538
1985-05-28,-125.75581066027114,-126.61141940951127,-126.18481860851358
1985-05-29,-134.1871886003732,-136.2595438556259,-136.22966586498376
1985-05-30,-122.44044263533814,-123.06323347273636,-122.94841252171874
1985-05-31,-128.84735287388526,-129.72149276555817,-129.6327201209973
1985-06-03,-122.56827954567657,-123.8482233849723,-124.03931219947665
1985-06-04,-124.55499568504669,-125.20483712459239,-125.30681013550657
1985-06-05,-125.90745341288466,-124.66607828148375,-124.6352274882021
1985-06-06,-117.72405033571822,-113.76660119932157,-113.64781185259122
1985-06-07,-132.5876771271101,-134.73671156108142,-134.63471319799692
1985-06-10,-129.19026876381247,-129.19973567672488,-129.48243697752454
1985-06-11,-136.87034154355743,-139.48705625665792,-139.45312369436573
1985-06-12,-113.36040957649556,-105.7661722035287,-106.49563419150309
1985-06-13,-132.2765577844722,-134.67627793937277,-134.3546929054269
1985-06-14,-133.59244342256136,-134.99968859904763,-134.82883016429508
1985-06-17,-130.15367601849192,-131.34395746097258,-131.1578519071096
1985-06-18,-133.61177804096997,-135.1225862577184,-135.1928060598861
1985-06-19,-136.17489728289945,-139.5091075948723,-139.40667629507664
1985-06-20,-136.10307692487117,-139.48462830092794,-139.35407358573664
1985-06-21,-129.2606342547511,-130.89882111720726,-131.00293293412787
1985-06-24,-128.60694265927026,-130.86399960746863,-130.78321232806965
1985-06-25,-132.02839267575644,-134.04083380939426,-133.98330561174103
1985-06-26,-131.7024314463803,-132.44502393946303,-132.17224280263542
1985-06-27,-135.29459372851656,-138.58491619425874,-138.6143933504081
1985-06-28,-136.00998247315695,-140.04269136929963,-139.99030822137962
1985-07-01,-133.12249172634836,-136.09712247466132,-136.17113763736924
1985-07-02,-127.4391746666375,-127.23276162863361,-126.97838661461714
1985-07-03,-133.80690267742284,-136.8457404344178,-136.87081277426898
1985-07-05,-132.84562199531155,-135.24095524996102,-135.3400726946606
1985-07-08,-131.13715353387707,-132.4374116916043,-132.8424985658366
1985-07-09,-119.47070024374034,-115.50518782750225,-116.85823204130278
1985-07-10,-120.02971539537522,-119.11380298121338,-119.84974141536702
1985-07-11,-124.54792607334443,-123.95344548907109,-123.13738385216588
1985-07-12,-127.89094097880066,-127.11893224162883,-127.40072622180293
1985-07-15,-129.98535215907134,-130.58636587533238,-131.0591083735269
1985-07-16,-120.22133682841155,-117.50468462634467,-117.30834522625379
1985-07-17,-136.3167530666911,-138.71897869468813,-138.39870657892695
