Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
Naive,N/A,0,0.0045109705516964025,0.010079438322008654,
MVP,Historical,0,0.004014246453787874,0.009092886408971589,
HRP,Historical,0,0.004418188446903881,0.009517399664168135,
ERC,Historical,0,0.004418265609732184,0.009708320435041735,0.031139535246959643
MVP,GARCH,0,0.0024062166022589663,0.008883651397448112,
HRP,GARCH,0,0.003717993410447054,0.009336276837031292,
ERC,GARCH,0,0.004213105352087184,0.009630246017733959,0.02838476658985767
MVP,DCC,0,0.002336771087722786,0.00877296089613904,
HRP,DCC,0,0.0037129749801529167,0.009244255903394656,
ERC,DCC,0,0.004185233188382202,0.009543194145676347,0.028152890335123876
Naive,N/A,1,0.0008973847477981408,0.010103182381589887,
MVP,Historical,1,0.0014114908341930647,0.009123667476476504,
HRP,Historical,1,0.0011911352986753102,0.009527170876879059,
ERC,Historical,1,0.0010443917390079408,0.009739059955270857,0.026284287442957344
MVP,GARCH,1,0.0008914878149860995,0.009223210701098822,
HRP,GARCH,1,0.0011098534516587133,0.009684969503512005,
ERC,GARCH,1,0.0010179543877462474,0.009946322125529585,0.026936362896059
MVP,DCC,1,0.000864327262471375,0.009145838402132749,
HRP,DCC,1,0.0010978865062706389,0.009628864044088806,
ERC,DCC,1,0.0010048490318800831,0.009882028510741126,0.02641400225012884
Naive,N/A,2,0.002189721394164453,0.010113656206887272,
MVP,Historical,2,0.003093222617625833,0.009141758164376915,
HRP,Historical,2,0.0023396597421927257,0.009544296898866211,
ERC,Historical,2,0.0023161903532214097,0.00975437660019208,0.030561330286120306
MVP,GARCH,2,0.0007988942067262379,0.00899421138018465,
HRP,GARCH,2,0.0016940406965411706,0.009347599264426127,
ERC,GARCH,2,0.0020424359633321788,0.00956595233112095,0.0331990121851065
MVP,DCC,2,0.0009026510796699529,0.008885424858219493,
HRP,DCC,2,0.00170917593434839,0.009259824094985672,
ERC,DCC,2,0.0020361066904490974,0.009476186622965314,0.03319997457619673
Naive,N/A,3,-0.008137717088993787,0.010107855788457664,
MVP,Historical,3,-0.008185167303387208,0.009142932503460604,
HRP,Historical,3,-0.008510791623529737,0.009540600637043968,
ERC,Historical,3,-0.008297025397924646,0.009751894467110145,0.018092543012217167
MVP,GARCH,3,-0.009272612822236178,0.008636691989933257,
HRP,GARCH,3,-0.008749896054274032,0.008995738540818518,
ERC,GARCH,3,-0.008375677885578636,0.00924726361796288,0.015740497676221606
MVP,DCC,3,-0.009207215708387059,0.008478998870880224,
HRP,DCC,3,-0.0087308831439524,0.00886276981065979,
ERC,DCC,3,-0.00839193876489822,0.009117945136165638,0.01567053164622824
Naive,N/A,4,0.0001667346761551761,0.010201717034671256,
MVP,Historical,4,0.0016045913431456463,0.009234446281337377,
HRP,Historical,4,0.0009534237768904736,0.009639275980834978,
ERC,Historical,4,0.0005425994825544005,0.009852556417234842,0.024050742494875224
MVP,GARCH,4,0.001771525091960825,0.009533666825029787,
HRP,GARCH,4,0.0009426145296913147,0.010112677868138147,
ERC,GARCH,4,0.0005052419457071994,0.010496002457074766,0.024056578141990338
MVP,DCC,4,0.0017974562652168604,0.009427133807614143,
HRP,DCC,4,0.0009283143723987258,0.010048272141187293,
ERC,DCC,4,0.0005220672129481873,0.010425731383895917,0.024255645093770532
Naive,N/A,5,0.0034992387453630937,0.010243110300018532,
MVP,Historical,5,0.003099493040121483,0.009244653613295132,
HRP,Historical,5,0.0032318116591286963,0.009657849828488514,
ERC,Historical,5,0.0032971881382964515,0.009868162943788563,0.031798529893740095
MVP,GARCH,5,0.005480221741758834,0.009503668529310599,
HRP,GARCH,5,0.004230416739165655,0.010103904861646203,
ERC,GARCH,5,0.003713182096411543,0.010418576299653586,0.02841174068018382
MVP,DCC,5,0.005417822615967935,0.0093677702477779,
HRP,DCC,5,0.004255853375215026,0.009967815944904696,
ERC,DCC,5,0.0037269875441392243,0.010294734452693664,0.02919234831996976
Naive,N/A,6,0.0026463315897214683,0.010194923578789976,
MVP,Historical,6,0.0019291950702739328,0.009228631891567191,
HRP,Historical,6,0.0023890227984810935,0.009635569879130905,
ERC,Historical,6,0.002474294184431992,0.009848150640082558,0.0273879402488895
MVP,GARCH,6,0.003817768454303902,0.009279372610928465,
HRP,GARCH,6,0.0029720327868582993,0.009864681204525482,
ERC,GARCH,6,0.002776093127320148,0.010055253736549767,0.028882211003607255
MVP,DCC,6,0.003847137153145895,0.009183100649714677,
HRP,DCC,6,0.0029114525460845232,0.009780635407555778,
ERC,DCC,6,0.0027903808222806336,0.00996569026180131,0.029837827852619948
Naive,N/A,7,-0.0031905896403390402,0.01016534663223589,
MVP,Historical,7,-0.0030318533621499855,0.009215753313636603,
HRP,Historical,7,-0.0032805979221253887,0.009612978496339387,
ERC,Historical,7,-0.003113205874979973,0.009824515676059025,0.03194017502326889
MVP,GARCH,7,-0.0024395036576156013,0.009041326284611085,
HRP,GARCH,7,-0.003346407333519745,0.009566476980955885,
ERC,GARCH,7,-0.003152398422558821,0.009721405528189044,0.030745474896124576
MVP,DCC,7,-0.0024105654618768652,0.008975970258071194,
HRP,DCC,7,-0.003306575195263864,0.009544673379389997,
ERC,DCC,7,-0.0031561999064045844,0.009698330895953802,0.030946192815442943
Naive,N/A,8,-0.0054344565821363286,0.010144196652014851,
MVP,Historical,8,-0.004817633234702556,0.009218062191025151,
HRP,Historical,8,-0.00525661225796693,0.009602647187162151,
ERC,Historical,8,-0.005477778518900309,0.009806572509252832,0.014669687701677382
MVP,GARCH,8,-0.00596086593774188,0.009180996287905748,
HRP,GARCH,8,-0.005429110002212029,0.009677993365753161,
ERC,GARCH,8,-0.005540076732101305,0.009787862267811325,0.012345780624205787
MVP,DCC,8,-0.005863475909631087,0.009045189432272715,
HRP,DCC,8,-0.005432371038702783,0.009572578565417503,
ERC,DCC,8,-0.005527797297858234,0.009674896774285012,0.012705687284009616
Naive,N/A,9,-0.00027848246806656037,0.010216839827998188,
MVP,Historical,9,0.00019625473915058973,0.009312844229634309,
HRP,Historical,9,0.00026533209837990395,0.009688852004390668,
ERC,Historical,9,-4.2653355999845366e-05,0.009891321203196938,0.021419410278927287
MVP,GARCH,9,-0.0010464941717213158,0.010079517844328367,
HRP,GARCH,9,8.787348153590016e-05,0.010654823705671774,
ERC,GARCH,9,-0.00016568512016050754,0.010840312937199247,0.018278294713587696
MVP,DCC,9,-0.0011264820729124058,0.009930140791553028,
HRP,DCC,9,7.94901796938096e-05,0.010413539758160758,
ERC,DCC,9,-0.00021257038995634616,0.010595285534604182,0.01839979441123414
Naive,N/A,10,0.0004296632826223303,0.01021218656668777,
MVP,Historical,10,0.0008950687795535432,0.009316848808075468,
HRP,Historical,10,0.0006156828925994112,0.009689229553313776,
ERC,Historical,10,0.0005165443947624958,0.009890905508546242,0.031198495257681456
MVP,GARCH,10,-0.00020119307208554555,0.009615820360095145,
HRP,GARCH,10,0.00015652767901035006,0.010042323195271468,
ERC,GARCH,10,0.00031735980605166375,0.010242167189811571,0.027402393653683008
MVP,DCC,10,-0.00027579784681018994,0.009522084590373799,
HRP,DCC,10,0.00016361960267727223,0.009973652335209708,
ERC,DCC,10,0.0003074831487480164,0.010170938077081271,0.027269765734214194
Naive,N/A,11,0.0037837208042546026,0.010218559455913698,
MVP,Historical,11,0.0035743982492804464,0.009343814101067174,
HRP,Historical,11,0.0034450726991648688,0.00970689269186534,
ERC,Historical,11,0.0036063440268238878,0.009905939089792414,0.018036578136713555
MVP,GARCH,11,0.0028297114474691355,0.00913935104063111,
HRP,GARCH,11,0.0034149061720564005,0.009576486659896351,
ERC,GARCH,11,0.003619027969839675,0.009816020369294671,0.016152153788577994
MVP,DCC,11,0.002935326984424753,0.009019241044761346,
HRP,DCC,11,0.003425324161789401,0.009470431195507627,
ERC,DCC,11,0.0036137890178882213,0.009710987551627063,0.016004719532474586
Naive,N/A,12,-0.0038863133535311303,0.010196322888744492,
MVP,Historical,12,-0.0039086508484598255,0.009310160825114619,
HRP,Historical,12,-0.0038832018391305283,0.009683653589343847,
ERC,Historical,12,-0.0038132972657675666,0.009883122533417868,0.02132625145545065
MVP,GARCH,12,-0.00394348461825543,0.009059724585180937,
HRP,GARCH,12,-0.003995408230348553,0.009532450649639425,
ERC,GARCH,12,-0.0038828519616692036,0.00976658340503216,0.02342637078154855
MVP,DCC,12,-0.003810602607477449,0.00893373316106469,
HRP,DCC,12,-0.0039561064852003495,0.00941461792151323,
ERC,DCC,12,-0.003862571486865378,0.009635421873758016,0.023360363964973107
Naive,N/A,13,0.008187847482786479,0.010200729866899953,
MVP,Historical,13,0.007529094280956043,0.009315501378449085,
HRP,Historical,13,0.007674587162940981,0.009691167667449568,
ERC,Historical,13,0.00783548217946543,0.009889171125916089,0.02614480475014279
MVP,GARCH,13,0.007441874425763227,0.00911160581119407,
HRP,GARCH,13,0.007751672298063557,0.0095871266513779,
ERC,GARCH,13,0.007931319498226152,0.009787999982249648,0.023847951959167734
MVP,DCC,13,0.007397604404264689,0.008986015866845748,
HRP,DCC,13,0.007758182444079524,0.00947601159104895,
ERC,DCC,13,0.007917279286055314,0.009669192956276395,0.02383216578105397
Naive,N/A,14,-0.000825490141357175,0.010245375878159036,
MVP,Historical,14,-0.0006058976563470266,0.009361521452665396,
HRP,Historical,14,-0.0007029889354184684,0.009769399011346463,
ERC,Historical,14,-0.0007265788613359185,0.009935703675041124,0.028067890688476177
MVP,GARCH,14,-0.0007961307921353543,0.009336837728322904,
HRP,GARCH,14,-0.000806573179248068,0.009767863485203402,
ERC,GARCH,14,-0.0007842372956849917,0.00991230504130297,0.02868009196927108
MVP,DCC,14,-0.0006969734728882208,0.009171565816070405,
HRP,DCC,14,-0.0008234231776285385,0.009625975023800203,
ERC,DCC,14,-0.0007672377088892656,0.009784735168689496,0.028568199594706762
Naive,N/A,15,0.002073236131032926,0.01023392247896488,
MVP,Historical,15,0.003238668425865661,0.00935506496989154,
HRP,Historical,15,0.002381379644436511,0.009761843365247764,
ERC,Historical,15,0.002143910984519534,0.009927330934986022,0.021374648143895395
MVP,GARCH,15,0.0019202917619477624,0.008913516930289203,
HRP,GARCH,15,0.002083523855667895,0.009318898156268919,
ERC,GARCH,15,0.0020408606918913856,0.009449088276086476,0.022187118843164592
MVP,DCC,15,0.001982146505426226,0.008776322002800135,
HRP,DCC,15,0.0020764144114862183,0.009211494199037391,
ERC,DCC,15,0.0020439652123700855,0.009341373691283012,0.02248756598692503
Naive,N/A,16,0.006743856230166059,0.01023979242590289,
MVP,Historical,16,0.005808689217910766,0.009374738967854762,
HRP,Historical,16,0.006131226520833701,0.00978063541698202,
ERC,Historical,16,0.006386829287670382,0.0099398304499681,0.03530892327898882
MVP,GARCH,16,0.006566055623773828,0.009051920788207154,
HRP,GARCH,16,0.0063192990127783665,0.00977789605948245,
ERC,GARCH,16,0.006513308827700429,0.00991605372163632,0.038702677005085416
MVP,DCC,16,0.006648683251815152,0.00903231227766358,
HRP,DCC,16,0.006328164764133619,0.00989961127707339,
ERC,DCC,16,0.006501235504816789,0.010041455380203918,0.038550157613460694
Naive,N/A,17,0.003453043382174984,0.010238579957544267,
MVP,Historical,17,0.004047450179875553,0.00937313433001601,
HRP,Historical,17,0.003454117880951823,0.00977486806601629,
ERC,Historical,17,0.0034749335337574106,0.009935311793060347,0.03328660554846348
MVP,GARCH,17,0.0030902205895844055,0.009284175466312794,
HRP,GARCH,17,0.0033061815165782624,0.00971959602785699,
ERC,GARCH,17,0.00339198417118982,0.009943385475462132,0.03277826015195151
MVP,DCC,17,0.0032419567226424717,0.009148018930424889,
HRP,DCC,17,0.003419276604095861,0.009607580558725114,
ERC,DCC,17,0.0034062278417509168,0.009849601002393685,0.03303312074175698
Naive,N/A,18,0.004571967099094156,0.010207915574937193,
MVP,Historical,18,0.002662186932673746,0.009358198734307691,
HRP,Historical,18,0.0038015266358972745,0.009742106019694274,
ERC,Historical,18,0.004100031280992051,0.009905732736746834,0.025356948067442365
MVP,GARCH,18,0.002437895013619706,0.009328646548371662,
HRP,GARCH,18,0.0035617717807975417,0.009777439579752769,
ERC,GARCH,18,0.003991488586141331,0.010093905298154078,0.024640589349187853
MVP,DCC,18,0.0023008304617910787,0.009222557974702004,
HRP,DCC,18,0.0035163390894827834,0.009662329050471067,
ERC,DCC,18,0.00395211525768187,0.009977000882559733,0.024814823040706473
Naive,N/A,19,0.00028809722354785434,0.010238065402566035,
MVP,Historical,19,0.0007847886461774381,0.009386949954500477,
HRP,Historical,19,0.00045982825985842624,0.009769689762675048,
ERC,Historical,19,0.0002542696891869086,0.009933160793791466,0.045539488093782034
MVP,GARCH,19,0.0002267851625516128,0.009577468386629585,
HRP,GARCH,19,0.000399347771010613,0.009887733209451941,
ERC,GARCH,19,0.0002788676010548576,0.010109872442600972,0.04891903189892485
MVP,DCC,19,0.00010919255870741676,0.009573771811458371,
HRP,DCC,19,0.00037825395451674657,0.009928637919724696,
ERC,DCC,19,0.00026848879136545813,0.010163694352176409,0.049728189396426904
Naive,N/A,20,0.002972667563710588,0.010211375433506791,
MVP,Historical,20,0.003392923176453093,0.009364677540966015,
HRP,Historical,20,0.002993139825250326,0.009743131041227635,
ERC,Historical,20,0.0030341805149285625,0.009907620986541988,0.027916793248400157
MVP,GARCH,20,0.003132602133549621,0.00938786939959218,
HRP,GARCH,20,0.002892485758418911,0.009694805283675365,
ERC,GARCH,20,0.0029859239468939215,0.009869581003414151,0.028071833696822743
MVP,DCC,20,0.003204141052624139,0.009278810799593497,
HRP,DCC,20,0.002887676627286736,0.009596345478101027,
ERC,DCC,20,0.00300032795032462,0.00976551362528187,0.028018870125319607
Naive,N/A,21,0.0005235921405656761,0.010212826722114616,
MVP,Historical,21,0.0003977032307042416,0.009374131140818646,
HRP,Historical,21,0.0005443933886837941,0.009753820934914295,
ERC,Historical,21,0.0006098192312685585,0.00991450238451282,0.022231918126787917
MVP,GARCH,21,0.001184521634853559,0.009307292977229323,
HRP,GARCH,21,0.0007899576688324271,0.00972242821345752,
ERC,GARCH,21,0.0007170546259060171,0.009893490473468243,0.0221750464084261
MVP,DCC,21,0.001116997924868009,0.009266326319226107,
HRP,DCC,21,0.0007775823965861436,0.009703379909318587,
ERC,DCC,21,0.0007009092786661667,0.009877062850280043,0.022390331171002757
Naive,N/A,22,-0.0033699651036182138,0.010244045922144653,
MVP,Historical,22,-0.0024055488915614223,0.009400072805664076,
HRP,Historical,22,-0.003324990297952927,0.009788196848160487,
