Model,Covariance Type,Window Index,Mean Return,Forecasted Std
Naive,N/A,0,-0.005801482095998881,0.009791009092785068
MVP,Historical,0,-0.0052777800680512505,0.007975125888091697
HRP,Historical,0,-0.005747622588803919,0.008619385224104392
ERC,Historical,0,-0.005725987666816098,0.009067174772578398
MVP,GARCH,0,-0.0038849011642804777,0.007453910316529838
HRP,GARCH,0,-0.00517081656505323,0.008312951527317867
ERC,GARCH,0,-0.005510807652197868,0.0087889865170112
MVP,DCC,0,-0.0038242099190212986,0.007447048119074115
HRP,DCC,0,-0.005333177838041407,0.00849655129534947
ERC,DCC,0,-0.005511678956676537,0.008769878460227207
Naive,N/A,1,-0.0030453611343619924,0.009737998824122067
MVP,Historical,1,-0.0011938979126149315,0.007855966209145509
HRP,Historical,1,-0.0021595173248052093,0.008616021524202218
ERC,Historical,1,-0.0024333486829598984,0.009002548233094352
MVP,GARCH,1,-0.0019849420243203504,0.0069771447570813735
HRP,GARCH,1,-0.002068010535592136,0.007994522131572871
ERC,GARCH,1,-0.0024282237892346774,0.00853609561309336
MVP,DCC,1,-0.0019857025562667425,0.0069514878746072505
HRP,DCC,1,-0.002457124293662194,0.007990832462145114
ERC,DCC,1,-0.0024316159855180285,0.008486278639801503
Naive,N/A,2,0.0004441379104654069,0.009760620666526162
MVP,Historical,2,-0.0006440534470011836,0.007920946538045563
HRP,Historical,2,0.00039326196603317425,0.008612987912761789
ERC,Historical,2,0.00019939369578207065,0.00904778213841983
MVP,GARCH,2,-0.0016106678598070876,0.006965801983298875
HRP,GARCH,2,2.959099210579387e-05,0.007969274011946303
ERC,GARCH,2,6.763641291275373e-05,0.008588399752928957
MVP,DCC,2,-0.001602144364130589,0.006943948013650392
HRP,DCC,2,3.275454825745136e-05,0.007940584987791719
ERC,DCC,2,7.95071504991307e-05,0.008545139195743815
Naive,N/A,3,-0.0052524341734675765,0.009760877584909317
MVP,Historical,3,-0.0027035095248472,0.007875622111972172
HRP,Historical,3,-0.004462788069825769,0.008603397723124167
ERC,Historical,3,-0.0048240638317474625,0.00903424469756082
MVP,GARCH,3,-0.00034200550656717855,0.006349125363919185
HRP,GARCH,3,-0.0032238128011136207,0.007484943175932404
ERC,GARCH,3,-0.004375714776290661,0.008503620159881787
MVP,DCC,3,-0.0003236704715307692,0.006355556106240937
HRP,DCC,3,-0.0032253431714937045,0.0074923516155450875
ERC,DCC,3,-0.004403241012254325,0.00850254595570871
Naive,N/A,4,0.004631447234709545,0.00976458384190803
MVP,Historical,4,0.005114675176235525,0.00784663478222425
HRP,Historical,4,0.004695730565732873,0.008555168140105115
ERC,Historical,4,0.004791787040200214,0.009034341636664537
MVP,GARCH,4,0.0036076224880599744,0.00659104625916542
HRP,GARCH,4,0.004152165301241449,0.00761007368704093
ERC,GARCH,4,0.004668467731545022,0.008467538386246542
MVP,DCC,4,0.0036074642776763024,0.006551352979441141
HRP,DCC,4,0.003959426129784127,0.007609056319548224
ERC,DCC,4,0.004659681733829217,0.008422127089588874
Naive,N/A,5,-0.005789735706252924,0.00987536748554302
MVP,Historical,5,-0.0025028874424019875,0.007982185078980452
HRP,Historical,5,-0.003804758941201524,0.008682750862577531
ERC,Historical,5,-0.004662138691822223,0.009167606436422645
MVP,GARCH,5,-0.001974335653023858,0.006340055663651292
HRP,GARCH,5,-0.0034289847655799197,0.007497071591376
ERC,GARCH,5,-0.004563497518047943,0.008571348280438151
MVP,DCC,5,-0.0019535357269623984,0.006364666528255716
HRP,DCC,5,-0.003877496328420187,0.00782271031859093
ERC,DCC,5,-0.004586818545230941,0.008606395740879647
Naive,N/A,6,0.00637821572293879,0.009831055334934575
MVP,Historical,6,0.005770445048092903,0.007948506889425664
HRP,Historical,6,0.00542898892457302,0.008767766989693391
ERC,Historical,6,0.005845277822822261,0.00912715192763546
MVP,GARCH,6,0.008261092506820987,0.005582773786794954
HRP,GARCH,6,0.0068343604587228195,0.007256049396208139
ERC,GARCH,6,0.006382683537087759,0.00839325141419262
MVP,DCC,6,0.008471212825745192,0.005573388610117189
HRP,DCC,6,0.007099886745813741,0.006937342618805279
ERC,DCC,6,0.006334517350828175,0.00832759580061886
Naive,N/A,7,0.006616135707625688,0.009884063269849211
MVP,Historical,7,0.006004999148315244,0.008003194668269214
HRP,Historical,7,0.0053469101822456715,0.008808035747479003
ERC,Historical,7,0.006156998029646626,0.009172282990927965
MVP,GARCH,7,0.005918806864921805,0.007109253542154931
HRP,GARCH,7,0.005564258556976407,0.008316346143826977
ERC,GARCH,7,0.006238006029385816,0.008865041905657886
MVP,DCC,7,0.005680514513316219,0.00709629239990051
HRP,DCC,7,0.005548480683865779,0.008252785369075992
ERC,DCC,7,0.006203382213654263,0.008845716415683286
Naive,N/A,8,-0.0033696101085043508,0.009840921376212043
MVP,Historical,8,-0.003189571804066911,0.007971191982480546
HRP,Historical,8,-0.0028192111957794147,0.008759496464303742
ERC,Historical,8,-0.0031697034651565607,0.00913432325770474
MVP,GARCH,8,-0.003986173448569823,0.007106467929215024
HRP,GARCH,8,-0.003159207448180935,0.008315141920130185
ERC,GARCH,8,-0.0033425344438044987,0.008924468044338885
MVP,DCC,8,-0.0039200625995448705,0.006959259298377162
HRP,DCC,8,-0.0031503510305880473,0.008124704249796817
ERC,DCC,8,-0.003307065535007532,0.008761621118260845
Naive,N/A,9,-0.0002078973753162485,0.00973150605019387
MVP,Historical,9,0.0005657716114443312,0.007952632571422138
HRP,Historical,9,0.00018896373533931494,0.008698796919040663
ERC,Historical,9,9.267289802112854e-05,0.009065171746055296
MVP,GARCH,9,0.000907817180724835,0.006890138034980161
HRP,GARCH,9,0.0005094076713002837,0.008071026145504317
ERC,GARCH,9,0.0002313628433134058,0.00869173415832062
MVP,DCC,9,0.0008052414611978102,0.006854108523965179
HRP,DCC,9,0.0005349474953221316,0.007986080194523574
ERC,DCC,9,0.00023258400450142623,0.00866214213549842
Naive,N/A,10,-0.007333098374195592,0.009882460090945204
MVP,Historical,10,-0.007615884604822489,0.008064389331421772
HRP,Historical,10,-0.007575062041943562,0.008827495010875413
ERC,Historical,10,-0.007588359741900141,0.009201489094066368
MVP,GARCH,10,-0.007732859002873645,0.006740653221083537
HRP,GARCH,10,-0.007864818864408938,0.008023596379452023
ERC,GARCH,10,-0.007742370664037122,0.008694943882189407
MVP,DCC,10,-0.007624652654759341,0.006708083706949917
HRP,DCC,10,-0.007872696804740753,0.008004330004962767
ERC,DCC,10,-0.007752673652074225,0.008694621984446326
Naive,N/A,11,0.013406245705321923,0.009893367419665896
MVP,Historical,11,0.011472937483355674,0.008100909931953316
HRP,Historical,11,0.012680190177854309,0.008854472162164269
ERC,Historical,11,0.012942751135614269,0.009228428873415191
MVP,GARCH,11,0.011215146597186799,0.008366843136938652
HRP,GARCH,11,0.012661245033966675,0.009027448306926403
ERC,GARCH,11,0.012919289763092284,0.009299328540953231
MVP,DCC,11,0.01103909259341525,0.008400308204536038
HRP,DCC,11,0.012364912824638332,0.008977587391007362
ERC,DCC,11,0.012880671698810497,0.009298213842139774
Naive,N/A,12,0.013328695375696847,0.01029525196546607
MVP,Historical,12,0.011078937847047119,0.008456794982636535
HRP,Historical,12,0.012287997162477377,0.00920292953047934
ERC,Historical,12,0.012737508745605173,0.00963714971131402
MVP,GARCH,12,0.011160504202377597,0.009371221924833466
HRP,GARCH,12,0.01212302459567229,0.010214306187869006
ERC,GARCH,12,0.012604319238593967,0.01063574019063968
MVP,DCC,12,0.011526698991371606,0.009699895322551309
HRP,DCC,12,0.012101197403687512,0.010657184949432574
ERC,DCC,12,0.012648837402936713,0.01110679089214296
Naive,N/A,13,0.007674797714388018,0.01058014530277442
MVP,Historical,13,0.005720892290087773,0.008792725753515227
HRP,Historical,13,0.006188417610489996,0.009582809770159548
ERC,Historical,13,0.006910018057403192,0.010006920298466788
MVP,GARCH,13,0.004891083546823851,0.010165634214239376
HRP,GARCH,13,0.00640002144874012,0.010958043565203562
ERC,GARCH,13,0.007138580502886518,0.01139147904816416
MVP,DCC,13,0.004821623054192167,0.010202458086531252
HRP,DCC,13,0.006418828821132353,0.01094743607464986
ERC,DCC,13,0.007132408491383767,0.011372359645345503
Naive,N/A,14,0.0029574275309481963,0.01070782170148495
MVP,Historical,14,0.001486943784793002,0.008857665810238854
HRP,Historical,14,0.002386639631394066,0.009683181166885423
ERC,Historical,14,0.002691358256446673,0.010100590475602442
MVP,GARCH,14,0.0009412239216555445,0.009556918192845687
HRP,GARCH,14,0.002007925218361044,0.010392080854405501
ERC,GARCH,14,0.002476224151514758,0.010830916748574027
MVP,DCC,14,0.0014011042070970717,0.009552635330830412
HRP,DCC,14,0.0021107173144833563,0.010382404251699798
ERC,DCC,14,0.0025694925319174992,0.010813664820127352
Naive,N/A,15,0.005556656250067887,0.010752615538107236
MVP,Historical,15,0.0055421155603082705,0.008915376008164957
HRP,Historical,15,0.005712632356289357,0.009733213258378956
ERC,Historical,15,0.005594769005835462,0.01015008976057731
MVP,GARCH,15,0.004687920809502446,0.009490121197114223
HRP,GARCH,15,0.005388917776844145,0.010424977282732303
ERC,GARCH,15,0.005417896048872422,0.010820555329897112
