Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1451339763714099,0.1700693146395929,0.1452348410775325,1.178707039883048,-197.9704463378424,0.4349357012827438,0.0527278375866714,0.775704341135898,0.8827688888134537,1.095053674802352,-0.4377609583899903,0.3315370491356464,-0.0245709787979656,-0.91883053925141,26.681061448748466
ERC,GARCH,0.1451211031318311,0.1702055875579445,0.1502019021221431,1.14067677398249,-196.9804074603301,0.5915456241121216,0.0522061017012401,0.7751558360183352,0.882136183993382,1.094159449408057,-0.4395773136558499,0.3301378361064558,-0.0245856158696229,-0.9228767858561148,26.61585568723682
ERC,Historical,0.1476569428399521,0.1723874345660755,0.1634235692191969,1.0610049941786162,-196.52796910117817,0.5030396271088006,0.0108480519348759,0.7802838718373135,0.8859218609972752,1.1071627527600882,-0.4354642053194735,0.3390794031661575,-0.0248090197539611,-0.7974582874130972,25.86898238709701
HRP,DCC,0.1286580766202829,0.1601432261942532,0.133556191328848,1.2083139924884267,-197.9704463378424,,0.1374137472051345,0.7230540033960725,0.8367243349101289,1.0121500874514031,-0.3915479920287892,0.3285882682060164,-0.0231331396257522,-1.1377032156171558,30.47389323901278
HRP,GARCH,0.1292067673062198,0.1603508040183701,0.13819815468653,1.1695470395024703,-196.9804074603301,,0.1183570309504339,0.7253710548605246,0.8388986359807237,1.0153540911533905,-0.3979577222800898,0.3246746075586435,-0.0231413945081498,-1.1595115612037388,30.97443190372087
HRP,Historical,0.1341250873627604,0.1632153092859493,0.153273891561223,1.0722013583383057,-196.52796910117817,,0.0400112510462393,0.7420380463258532,0.8535908600562312,1.047880708964746,-0.4035571433823516,0.3323571136385093,-0.0233564672747343,-0.975313557224474,30.4284925136389
MVP,DCC,0.0928332805561307,0.1504045514997122,0.1146693607834854,1.3219267067672593,-197.9704463378424,,0.2882108574620173,0.5451696858234658,0.6661569018774594,0.7567130970179311,-0.410150417765634,0.2263395977062664,-0.0218176595729869,-1.1402512976625363,27.71817285910194
MVP,GARCH,0.0884590333173938,0.1513050415387989,0.1169788875900296,1.3036378118107501,-196.9804074603301,,0.297309974580267,0.5163238161281689,0.636592347317813,0.7157100692201548,-0.4402836535366162,0.2009137350588399,-0.0219400396729574,-1.1480125166480644,28.15912894759055
MVP,Historical,0.0991634237150744,0.1482002618392851,0.1336112015348854,1.1170660236713212,-196.52796910117817,,0.0206277253915778,0.5899827341323853,0.7127848719269165,0.8279189649428738,-0.3536808269976897,0.2803754576035364,-0.0211041154188005,-1.0780989358912212,30.92862359129191
Naive,,0.1620408012332475,0.1859390283053609,0.1786943326970635,1.040542391574215,-196.52796910117817,,0.0110007715933229,0.8034730397847994,0.9014254246710608,1.1469453282127071,-0.4632688726074598,0.3497770103163158,-0.0267401114108261,-0.6144371493561805,21.397008327825432
