Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
Naive,N/A,0,0.0028899980565609776,0.009479028386093586,
MVP,Historical,0,-0.004172755936259329,0.006608835519007977,
HRP,Historical,0,0.0010961481913920271,0.007948954229168886,
ERC,Historical,0,0.0021712832692482604,0.008662144974174765,0.4139688319724021
MVP,GARCH,0,0.003951778989661183,0.005933188373883386,
HRP,GARCH,0,0.0031363044468528186,0.006845488542496789,
ERC,GARCH,0,0.0025927929131761025,0.0073467773321979615,0.3264329158173451
MVP,DCC,0,0.003332004383041358,0.0060985772549812575,
HRP,DCC,0,0.0017984753315995177,0.007167988443034644,
ERC,DCC,0,0.0025403238200654384,0.007613296292207148,0.3361778455569962
Naive,N/A,1,0.011516437678113124,0.009437496082682925,
MVP,Historical,1,0.002810718518884219,0.006569497760019961,
HRP,Historical,1,0.008356537714909882,0.007907963965937117,
ERC,Historical,1,0.009486605994375714,0.008615141724903293,0.07446801645295852
MVP,GARCH,1,0.0036468888271512893,0.006061426987439249,
HRP,GARCH,1,0.0077042365301818955,0.00698195613814322,
ERC,GARCH,1,0.008804723330439052,0.007496725012572044,0.07217470586714526
MVP,DCC,1,0.004337604320323972,0.0062655846935351445,
HRP,DCC,1,0.00764028281224027,0.007349002131053068,
ERC,DCC,1,0.008900164843975537,0.007773961342425603,0.0720758444342242
Naive,N/A,2,-0.009987474977422039,0.009441214224128068,
MVP,Historical,2,-0.009177677545044689,0.006569428204025051,
HRP,Historical,2,-0.009853001036280621,0.007909533717572137,
ERC,Historical,2,-0.009934365378337943,0.008616710475048635,0.038934500544193194
MVP,GARCH,2,-0.007842774401449013,0.006093033868183132,
HRP,GARCH,2,-0.008941100017208735,0.00703849702236664,
ERC,GARCH,2,-0.009387493601329637,0.00762550772118694,0.03339278665782192
MVP,DCC,2,-0.008019939858551617,0.006318532008802854,
HRP,DCC,2,-0.009118541582862546,0.007410141669511768,
ERC,DCC,2,-0.009450118884377539,0.007911640893706448,0.03373587770099463
Naive,N/A,3,-0.004288945294922214,0.009446833745535767,
MVP,Historical,3,-0.007210537582540184,0.006576485422530559,
HRP,Historical,3,-0.004679805925995788,0.007917938998723232,
ERC,Historical,3,-0.004343323244462048,0.00862418390518483,0.12730365101772353
MVP,GARCH,3,-0.0031028168920094737,0.006131995543444667,
HRP,GARCH,3,-0.0032694558966240373,0.007072940792837509,
ERC,GARCH,3,-0.003837467423673681,0.0076447460697325505,0.12384037754616987
MVP,DCC,3,-0.002791527210158085,0.006362174450458242,
HRP,DCC,3,-0.003706192331421474,0.0074397981785941595,
ERC,DCC,3,-0.003768709856731298,0.007934515480261138,0.12573111732273853
Naive,N/A,4,0.0020585050281212327,0.009430135778598905,
MVP,Historical,4,0.0037930616376613733,0.006559844262674236,
HRP,Historical,4,0.0025266894877379433,0.007894537581938737,
ERC,Historical,4,0.002196552941273592,0.008602560136563075,0.13798651894318176
MVP,GARCH,4,0.0021340637708047276,0.006046378628558679,
HRP,GARCH,4,0.002108719088870654,0.006966733050902641,
ERC,GARCH,4,0.002103940776672515,0.007550481288992793,0.1366175223541677
MVP,DCC,4,0.0021231301750561063,0.006252821998110994,
HRP,DCC,4,0.002223955704727278,0.007324473719230158,
ERC,DCC,4,0.0021019629581620694,0.007829560735927906,0.1378717821117434
Naive,N/A,5,-0.00026734552658086983,0.009428500127387352,
MVP,Historical,5,-0.0014652747294347144,0.006560640324243017,
HRP,Historical,5,-0.0005230849391813241,0.007893180874887573,
ERC,Historical,5,-0.00037092896126415635,0.008601624230185883,0.992955098170939
MVP,GARCH,5,0.001033474124019289,0.00585313221421807,
HRP,GARCH,5,0.00028269161765232887,0.00676457705808956,
ERC,GARCH,5,-0.00012387798649515888,0.007328413481183388,2.484532446814241
MVP,DCC,5,0.0011278509026764977,0.00606347616416947,
HRP,DCC,5,0.00022882523925785983,0.007120436947404817,
ERC,DCC,5,-0.0001282764230561928,0.00760142023840075,2.4318879910572595
Naive,N/A,6,-0.002263949205255944,0.009422565634464208,
MVP,Historical,6,-0.002285268940681199,0.00655798036475708,
HRP,Historical,6,-0.002165911649322644,0.007889172970036934,
ERC,Historical,6,-0.002001648930289317,0.008596158549482315,0.2241084650890496
MVP,GARCH,6,0.0007012127958345364,0.005729316150955184,
HRP,GARCH,6,-0.0009393744087540583,0.006618797007038497,
ERC,GARCH,6,-0.0015343711272227543,0.007155356937990121,0.2843173613689897
MVP,DCC,6,0.00042704667170573497,0.005944329501487337,
HRP,DCC,6,-0.0013323301887928946,0.006976222603064779,
ERC,DCC,6,-0.001594418283446351,0.00742415830516767,0.2752792497776532
Naive,N/A,7,-0.011027144092034003,0.009410400336944754,
MVP,Historical,7,-0.003291005646406408,0.006554889641467479,
HRP,Historical,7,-0.008293522595699238,0.007882849550104458,
ERC,Historical,7,-0.009876375396268467,0.008585646219279012,0.11194216806987634
MVP,GARCH,7,-0.005031332277674466,0.005528485399541115,
HRP,GARCH,7,-0.009127489831658406,0.006457780018473388,
ERC,GARCH,7,-0.0098397400252519,0.0070456780442440265,0.10254937089202656
MVP,DCC,7,-0.0052203836118027685,0.0057496419613120055,
HRP,DCC,7,-0.008851544860734417,0.006807761515813182,
ERC,DCC,7,-0.009907791376728491,0.007313498824511204,0.10212762739675217
Naive,N/A,8,-0.003470391388336558,0.009414564385313412,
MVP,Historical,8,-0.004007369700782148,0.00655229508296455,
HRP,Historical,8,-0.0039000613046976003,0.00788117599664905,
ERC,Historical,8,-0.003686634157673337,0.008586856727824266,0.1379729631152795
MVP,GARCH,8,-0.0019792914846129108,0.005782484295485582,
HRP,GARCH,8,-0.0026601396673148754,0.006913035959930974,
ERC,GARCH,8,-0.002915109458014733,0.00774455536104806,0.14309888030491866
MVP,DCC,8,-0.0016336624096979105,0.00595053769159503,
HRP,DCC,8,-0.0027803334100945567,0.007270972085458375,
ERC,DCC,8,-0.0028995988682074016,0.008031165048371588,0.1422949456478398
Naive,N/A,9,-0.0028322758961075284,0.009415308441539962,
MVP,Historical,9,0.001405293806185746,0.006551813673540321,
HRP,Historical,9,-0.0006420082503726723,0.00788137925923207,
ERC,Historical,9,-0.0017112613758711536,0.008587570779269086,0.20195100040857433
MVP,GARCH,9,0.00010338976659967324,0.005655119754034102,
HRP,GARCH,9,1.4314359002270103e-05,0.006770470337137634,
ERC,GARCH,9,-0.0008105111952524046,0.007581212202937567,0.35044100328482186
MVP,DCC,9,-0.0001078924549401479,0.005805305950857608,
HRP,DCC,9,-0.00011615284545442618,0.007117428248609242,
ERC,DCC,9,-0.0008811534491508406,0.007859446630302221,0.31822836893606515
Naive,N/A,10,-0.019048738302561586,0.00941522353257712,
MVP,Historical,10,0.0027104171310842716,0.006551842613895039,
HRP,Historical,10,-0.01052568319343792,0.007881163040134434,
ERC,Historical,10,-0.014281549638355678,0.008587476638036743,0.07251632614265496
MVP,GARCH,10,-0.008463112919867104,0.005486179812036124,
HRP,GARCH,10,-0.013267819815851947,0.006569269122984362,
ERC,GARCH,10,-0.014904411459276764,0.007356445221093371,0.05982324016647163
MVP,DCC,10,-0.0075896976440420014,0.005632052656071479,
HRP,DCC,10,-0.01285101850299817,0.006904002307951853,
ERC,DCC,10,-0.01482736381370237,0.007626999276753933,0.06032675173538284
Naive,N/A,11,0.00044787323479650353,0.009435776963459342,
MVP,Historical,11,0.0020305605281705887,0.006551042258589368,
HRP,Historical,11,0.0017070885431102146,0.007881754114666347,
ERC,Historical,11,0.0012779996508885355,0.008593315561755693,0.4987871434929297
MVP,GARCH,11,0.0006182970832678592,0.005895608888419819,
HRP,GARCH,11,0.0008508212933087424,0.007075366486149103,
ERC,GARCH,11,0.0008501499564658815,0.008118997008667717,0.6260744784086566
MVP,DCC,11,0.0007620465653994701,0.005999756304596122,
HRP,DCC,11,0.001122040969345443,0.007383127297857012,
ERC,DCC,11,0.0009073973769076434,0.008410257188626775,0.5891998609275302
Naive,N/A,12,0.010216092669001083,0.009426188320496973,
MVP,Historical,12,0.014573406563672835,0.006548821102415559,
HRP,Historical,12,0.011409172272447005,0.00787404733709997,
ERC,Historical,12,0.01085988445051592,0.008584819692612811,0.060969513686020306
MVP,GARCH,12,0.011643897620584702,0.005720568355983953,
HRP,GARCH,12,0.009998845076950962,0.00688136226282245,
ERC,GARCH,12,0.009854190572209452,0.00790273105917555,0.05834376436361458
MVP,DCC,12,0.01250145904644263,0.005820201197683581,
HRP,DCC,12,0.010361354394317361,0.007150152678774696,
ERC,DCC,12,0.009980627974639406,0.008188331103095676,0.05827167982321319
Naive,N/A,13,-0.014729507666516262,0.009423555921730236,
MVP,Historical,13,-0.007888031056550358,0.006562489004933716,
HRP,Historical,13,-0.011007633581297572,0.007881098993169222,
ERC,Historical,13,-0.012810593861318331,0.008587347238873303,0.0390895318754574
MVP,GARCH,13,-0.0065437817811041694,0.00588017181029207,
HRP,GARCH,13,-0.008817228685220817,0.007008146156635098,
ERC,GARCH,13,-0.010955605438138019,0.007952513211900887,0.027582867628459615
MVP,DCC,13,-0.006302503528828402,0.006029126109789698,
HRP,DCC,13,-0.008870531667895747,0.007301176922007456,
ERC,DCC,13,-0.010963509371378808,0.008247471361933283,0.027871615932981018
Naive,N/A,14,-0.002363095063881171,0.009429306804300817,
MVP,Historical,14,-0.0036137269950398754,0.0065653712278001064,
HRP,Historical,14,-0.002917489909248858,0.007881220824650792,
ERC,Historical,14,-0.0027729475098926372,0.008590481971264897,0.13398123897653552
MVP,GARCH,14,-0.005577383333804311,0.005842975967690433,
HRP,GARCH,14,-0.004856703769503368,0.006962609697388086,
ERC,GARCH,14,-0.00409542717601717,0.007944163675338928,0.11099024669600613
MVP,DCC,14,-0.004641894512881488,0.005987385889453858,
HRP,DCC,14,-0.004529174292067492,0.007246749203793157,
ERC,DCC,14,-0.0038853484380519236,0.008237890105485215,0.10875936470357365
Naive,N/A,15,-0.017770315707401785,0.009428303019856343,
MVP,Historical,15,-0.01040586817548154,0.006565363931452245,
HRP,Historical,15,-0.01454213894510472,0.007880415092283315,
ERC,Historical,15,-0.016293030165298608,0.00859018019650125,0.05820880565189617
MVP,GARCH,15,-0.00865259838708755,0.005806176605691926,
HRP,GARCH,15,-0.011982601731523953,0.006953574460734924,
ERC,GARCH,15,-0.014363127194849007,0.007893079041304023,0.0472021695212789
MVP,DCC,15,-0.008463137867413656,0.005909074566695077,
HRP,DCC,15,-0.012736160609275718,0.007251701597305906,
ERC,DCC,15,-0.014458330387727453,0.00816826512353561,0.047483518956999184
Naive,N/A,16,-0.0041393170400949465,0.009445747670571934,
MVP,Historical,16,-0.00748776561132287,0.006571398222488516,
HRP,Historical,16,-0.005494917641008395,0.007893311726475803,
ERC,Historical,16,-0.004861808909118766,0.008605835994475444,0.12532449659385927
MVP,GARCH,16,-0.008646562568565505,0.005872521121443298,
HRP,GARCH,16,-0.006818469323258437,0.0070917028552498936,
ERC,GARCH,16,-0.005882629464382252,0.00815590278076321,0.08835594439809544
MVP,DCC,16,-0.008791721763953368,0.005976143852260815,
HRP,DCC,16,-0.006705287428506795,0.0074098353805544005,
ERC,DCC,16,-0.005894611443126829,0.008451348280354484,0.08911392186413282
Naive,N/A,17,-0.010000861692918573,0.00944604096941442,
MVP,Historical,17,-0.004781744101261224,0.006576195608739504,
HRP,Historical,17,-0.0072554693421515645,0.007895209443136588,
ERC,Historical,17,-0.008500143535175692,0.008607901510800334,0.0691802371728082
MVP,GARCH,17,-0.002389153020109321,0.005988017135793269,
HRP,GARCH,17,-0.004714635566056879,0.007123941208112579,
ERC,GARCH,17,-0.006537183871396676,0.008117696440653549,0.06644867931540553
MVP,DCC,17,-0.002615292701038925,0.0061162470080728774,
HRP,DCC,17,-0.005089686701825963,0.007471557104934347,
ERC,DCC,17,-0.006562849158011723,0.008416402452934178,0.06606355856353342
Naive,N/A,18,0.009663319492566226,0.009451113976320338,
MVP,Historical,18,0.008253306896559483,0.006576967645532745,
HRP,Historical,18,0.008197309530031937,0.007897792551479722,
ERC,Historical,18,0.00886712947275635,0.008610823453290155,0.05320588784742378
MVP,GARCH,18,0.008864709173589294,0.0058622127268598756,
HRP,GARCH,18,0.007902958221731895,0.0069802225104074285,
ERC,GARCH,18,0.0086152579665408,0.007970826243964514,0.05875505551185529
MVP,DCC,18,0.008915221803414978,0.005989763843458271,
HRP,DCC,18,0.008001828517383416,0.007328608045212711,
ERC,DCC,18,0.008558453125760746,0.008264712108714916,0.05980585590739945
Naive,N/A,19,-0.012152202428091431,0.009454363758639953,
MVP,Historical,19,-0.002765457643705294,0.006579794464626681,
HRP,Historical,19,-0.0074919454767975,0.007902166011970245,
ERC,Historical,19,-0.00967324093680193,0.008615004273259173,0.086728280125899
MVP,GARCH,19,-0.0017139021370550375,0.005893617027480713,
HRP,GARCH,19,-0.005214567587121294,0.0070416086023633254,
ERC,GARCH,19,-0.007653239249202348,0.007999873432204338,0.0766571513942851
MVP,DCC,19,-0.0014572269183744488,0.00603395790151612,
HRP,DCC,19,-0.005476565070518407,0.007399448975808565,
