Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1620228960538701,0.1399234500828798,0.1394001085573807,1.0037542404443944,-154.58811168323192,0.0002678452059575,0.5399420378316035,0.0319931474884441,1.0517907792172785,1.1433908168333393,1.5776937118320775,-0.2670324421265535,0.6067536017855212,-0.0175384935371459,0.0350876948624294,0.078022085760816
ERC,GARCH,0.1620125718643639,0.1398993888490838,0.1359968313478922,1.0286959443283534,-154.56552725337892,0.0002670577393739,0.6929693186027299,0.0319712945614966,1.0518849407537465,1.1434999835679445,1.57778213949527,-0.2666740340916682,0.6075303597375089,-0.0175383091238572,0.0348528893908701,0.0787637556312361
ERC,Historical,0.1681648910773709,0.1468669889009559,0.1470412517277214,0.9988148711690232,-151.5133058003825,0.0002709562182966,0.7644711556279268,0.0096586126336893,1.0447434177063817,1.132021697973372,1.5660824079363296,-0.280900940874109,0.5986626123574902,-0.0184431404443038,0.0338246441288442,0.0736552690184186
HRP,DCC,0.1449303175753222,0.1256038173084199,0.1246078176989336,1.007993074815681,-154.58811168323192,0.0002678452059575,,0.0711260778928837,1.038536474179622,1.1405829632847726,1.5561381280142388,-0.2358821105280318,0.6144184366117877,-0.0158116283703947,0.0312666796520049,0.1243836780233027
HRP,GARCH,0.1457607946002839,0.125848828280289,0.1217317726818683,1.0338207150665597,-154.56552725337892,0.0002670577393739,,0.0680683423954883,1.0425325951480011,1.144370103962008,1.5632809824385892,-0.2393450382492263,0.6089986058056712,-0.0158198066116733,0.0353689049051733,0.126068451750791
HRP,Historical,0.1561917023369525,0.1373424932570515,0.1364626369213297,1.0064475988121862,-151.5133058003825,0.0002709562182966,,0.0198299868384955,1.0322973529243396,1.1256260305744459,1.5464853777351246,-0.2565028406797901,0.6089277682968715,-0.0172659753141198,0.0336325299708983,0.0969547032401889
MVP,DCC,0.0993231438654709,0.1034798019646428,0.1017535512933519,1.016965016447575,-154.58811168323192,0.0002678452059575,,0.1322683790866953,0.8430679358966322,0.9669847170558359,1.24707079183837,-0.1770434147313994,0.5610101003539645,-0.0131566582010795,0.0088959342345606,0.1048416346536282
MVP,GARCH,0.1001828312194212,0.1036120153707056,0.1002257582006845,1.0337862963654578,-154.56552725337892,0.0002670577393739,,0.1309852168162859,0.8496722725912864,0.9734304181727316,1.256837445558237,-0.1739573083195623,0.5759046986136611,-0.0131812558394494,0.007670440335725,0.1181927032924208
MVP,Historical,0.1180600825589393,0.1173123462288912,0.1156167752195565,1.0146654411188587,-151.5133058003825,0.0002709562182966,,0.0087062980123002,0.9007933964663584,1.010086907827384,1.3397821807285286,-0.2119496850885258,0.5570193817916204,-0.0148561786629077,0.0339307926329978,0.1971930129968431
Naive,,0.1786598559516838,0.1564247730702485,0.1579883905104292,0.9901029598749064,-151.5133058003825,0.0002709562182966,,0.0101455629209328,1.0473758753355369,1.129320064461259,1.5706272420778566,-0.3058203022411471,0.5841988077390822,-0.0196291858959715,0.0363803760765523,0.0642782518126452
