Date,Historical,GARCH,DCC
2004-11-02,-138.26708381743236,-157.70593755220668,-157.70554303052154
2004-11-03,-161.4136737197886,-162.15780898812267,-162.15661384636994
2004-11-04,-165.17550752660784,-166.55147002228168,-166.55098009890747
2004-11-05,-156.18854585796004,-163.541390438566,-163.54087496806832
2004-11-08,-161.13717736952083,-170.12914839601007,-170.12826597565018
2004-11-09,-157.45161870453353,-159.5974511665525,-159.5966363349723
2004-11-10,-159.51180201858,-159.37203241204546,-159.3707879395935
2004-11-11,-147.21263419417573,-156.9468150432046,-156.94690664085522
2004-11-12,-163.63365156147134,-162.25432465455106,-162.25466878117192
2004-11-15,-143.08042179503835,-147.25345921528688,-147.25138863795945
2004-11-16,-155.01069544154944,-151.76689267033473,-151.76420891788922
2004-11-17,-160.22679087125547,-158.82409556311075,-158.82427237419654
2004-11-18,-155.8228712389256,-158.06821340442332,-158.06705708209492
2004-11-19,-158.51817648890523,-161.8029819116422,-161.80189068638398
2004-11-22,-159.14372110368777,-160.2585206105844,-160.25645183560272
2004-11-23,-160.08036364435114,-160.5757362898174,-160.5749384993071
2004-11-24,-152.05890244486068,-155.4321409403693,-155.43175987419718
2004-11-25,-158.4843197232192,-160.97029848117901,-160.96848212389793
2004-11-26,-156.1523786940664,-159.80437973512113,-159.80426659160835
2004-11-29,-158.3529804794102,-158.7722117370992,-158.77138709083053
2004-11-30,-137.58551117819104,-142.22253059162512,-142.222335609175
2004-12-01,-160.6311109851702,-161.57312882850368,-161.5733395916397
2004-12-02,-161.62880501403686,-165.00127582481863,-165.00020485233046
2004-12-03,-163.77028928935715,-162.38548882478705,-162.3875199059807
2004-12-06,-155.96284268451603,-155.46185743017642,-155.46031808908037
2004-12-07,-163.01300922306865,-163.41720575692116,-163.41570872084813
2004-12-08,-154.24390920643876,-161.21172280940854,-161.21472211832878
2004-12-09,-163.5689441912525,-162.98496740859784,-162.99184688426314
2004-12-10,-160.66621471046278,-160.61550762914223,-160.61458089449974
2004-12-13,-156.5864670446236,-159.85034483287566,-159.84896720278692
2004-12-14,-157.52852863395526,-158.73911061617943,-158.74244515580614
2004-12-15,-163.72039818613197,-162.54726544816464,-162.5458006816152
2004-12-16,-146.08483447998975,-148.99331298403354,-148.99192059213988
2004-12-17,-152.91972116740504,-155.43974355171258,-155.44270638557396
2004-12-20,-152.36392957964526,-154.28689462057096,-154.28519559277387
2004-12-21,-150.10917146377042,-154.63815724972432,-154.6351843817671
2004-12-22,-154.04792373549517,-153.70145096301349,-153.70115220032378
2004-12-23,-140.1622674234916,-140.4054340886962,-140.40205018553934
2004-12-24,-141.7588102992283,-140.931979456296,-140.93277887107027
2004-12-27,-142.8727060970567,-147.05091820724942,-147.04965671330538
2004-12-28,-136.92578290867496,-139.51012965674107,-139.50785433868964
2004-12-29,-139.87779513453265,-150.2574169396948,-150.25080268555178
