Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg L1 Dist,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1110579698393221,0.1287058438195877,0.1272122466899433,1.01127541363729,-157.36749838599488,0.0002316692967154,0.3671646769280646,0.5776732883938499,0.0327259879861814,0.7825516541431202,0.8827173261170507,1.156679858589791,-0.3021384501235263,0.3675731102543128,-0.0163862879472128,0.0372124595195559,0.1834188435976753
ERC,GARCH,0.1110474496678124,0.1287080803803385,0.1272145930983744,1.011274541033115,-157.36778178316592,0.0002316686220021,0.3674448330363352,0.5776639300285299,0.0326278717023299,0.7824666727985282,0.8826306354771929,1.1565433892127015,-0.3022440062741595,0.3674099315871413,-0.0163869438193122,0.0371870336409712,0.1834262021874062
ERC,Historical,0.110475042809353,0.1348817111435037,0.1331320486048218,1.0126736424237213,-154.38399604595372,0.0002341831985225,0.4302407758007965,0.5604437593299938,0.0090917245680704,0.7488657426386855,0.8444360980642618,1.1052570515153917,-0.3226934279743779,0.342352936974362,-0.0172387391831821,0.0408137753202748,0.2383872860160205
HRP,DCC,0.1096903553624513,0.1164925532233537,0.1150440679064004,1.0120817194533152,-157.36749838599488,0.0002316692967154,,1.621973786213923,0.0716165093486699,0.841156332974025,0.9518399853123513,1.2491365798079674,-0.2549867036188701,0.4301806870934181,-0.0146983054419888,0.0472319802833749,0.1338206439272342
HRP,GARCH,0.1097495218925097,0.1164956081760271,0.1150472401288475,1.012078852952255,-157.36778178316592,0.0002316686220021,,1.621969980176787,0.0687412739146545,0.8415950115911843,0.95227606399334,1.2497488460232813,-0.2517881186131351,0.4358804636891409,-0.0146986622566146,0.046730916265012,0.131984827075509
HRP,Historical,0.1073634379670607,0.126675880849805,0.1244748238512207,1.017183071708043,-154.38399604595372,0.0002341831985225,,1.6320381081638724,0.0157021657949669,0.7667425866686546,0.8685102311220496,1.1344909066124875,-0.2910949947872057,0.3688261216773748,-0.0160830444926753,0.0500292378222204,0.2028529569958306
MVP,DCC,0.0998785210693251,0.0980184367725343,0.0964445220649096,1.015809655136651,-157.36749838599488,0.0002316692967154,,1.3196406020930516,0.1525775710838844,0.8887923984235935,1.0203964207750054,1.3272800850681323,-0.1606189290695092,0.6218353070085646,-0.0122475772755663,0.0598821087668203,0.0624765570605458
MVP,GARCH,0.099897623698246,0.098017455433506,0.09644705935663,1.0157725544154024,-157.36778178316592,0.0002316686220021,,1.3196674412025962,0.152426728655579,0.8889772091032215,1.0205828941392572,1.3275768742309522,-0.1606057006354531,0.6220054662007062,-0.0122462003768987,0.0599637529101067,0.0622471451086683
MVP,Historical,0.098948324243949,0.1124002642787391,0.1086773996592817,1.0336909104309988,-154.38399604595372,0.0002341831985225,,1.2207188148737798,0.0090135653410061,0.7810421675144196,0.8957526191161828,1.1608519763816922,-0.2783744275367281,0.3554504812799086,-0.0142012145104687,0.0663067504060952,0.232596037899738
Naive,,0.1105187777580227,0.1459700795015961,0.1449150470425513,1.0068635217312745,-154.38399604595372,0.0002341831985225,,,0.0094691925021012,0.7029198030083204,0.7912217442798019,1.0337075550223198,-0.3631282694572417,0.3043518972599194,-0.0187944372656837,0.032680215696599,0.2806310322397993
