Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
Naive,N/A,0,0.010080126828728053,0.009067420951123985,
MVP,Historical,0,-0.002436574981297901,0.007085056501651491,
HRP,Historical,0,0.005068085316200399,0.007858103203627979,
ERC,Historical,0,0.007369156492742501,0.008387737454596826,0.08652296212528698
MVP,GARCH,0,-0.0019000032456677474,0.007037868039409155,
HRP,GARCH,0,0.005187434328611795,0.007825522143369838,
ERC,GARCH,0,0.007448405508400757,0.00833595771281581,0.08657938279104266
MVP,DCC,0,-0.0018992471038707937,0.007037687885865914,
HRP,DCC,0,0.005187309958462949,0.007825287309227552,
ERC,DCC,0,0.007448340256715813,0.00833574300940765,0.08658138892501899
Naive,N/A,1,-0.005374845453618771,0.009065163596749555,
MVP,Historical,1,-0.007590392620130837,0.00708310646592749,
HRP,Historical,1,-0.005384084437697556,0.007880305599370726,
ERC,Historical,1,-0.00535779727247232,0.008382765116544972,0.0898796217475651
MVP,GARCH,1,-0.007776813807502059,0.007006373030971382,
HRP,GARCH,1,-0.005452629013347976,0.007806979865762741,
ERC,GARCH,1,-0.0053953132576693985,0.008330253306739695,0.0889074074343863
MVP,DCC,1,-0.007776575139890163,0.0070061959440147,
HRP,DCC,1,-0.005452506299113424,0.0078066649513626515,
ERC,DCC,1,-0.005395052887716911,0.00832995758588532,0.0889133178680097
Naive,N/A,2,0.009255871509813884,0.009067285429921721,
MVP,Historical,2,0.004453051758948501,0.0070861265581188635,
HRP,Historical,2,0.00818650062395232,0.007882175549669497,
ERC,Historical,2,0.008703560596917681,0.008385191885105553,0.052039558308194
MVP,GARCH,2,0.004513281018909909,0.007020850241531993,
HRP,GARCH,2,0.00818921474121237,0.007839976682969447,
ERC,GARCH,2,0.008709951341034028,0.00835652069625226,0.0519188734754667
MVP,DCC,2,0.004513757844354149,0.007021013804441584,
HRP,DCC,2,0.008189114512803242,0.007839940315666555,
ERC,DCC,2,0.00871001142099237,0.0083565086156627,0.051920326037035384
Naive,N/A,3,-0.0016831691159182594,0.009068637983711412,
MVP,Historical,3,0.0004981659733436228,0.007086128195190707,
HRP,Historical,3,-1.0953514573475154e-05,0.007883800937322466,
ERC,Historical,3,-0.0009761696693940669,0.00838739218722593,0.4439686807206798
MVP,GARCH,3,0.0004914955859702808,0.006987591497871955,
HRP,GARCH,3,-0.00013949268139690219,0.007820889504595037,
ERC,GARCH,3,-0.0009742832897805531,0.00831886871917292,0.4423740875218544
MVP,DCC,3,0.0004914939820994668,0.006987593215698629,
HRP,DCC,3,-0.00013954474561417296,0.00782094934233191,
ERC,DCC,3,-0.0009741280889696835,0.008318967339771262,0.44242635098928124
Naive,N/A,4,-0.009945279348526959,0.009067432176931112,
MVP,Historical,4,-0.006784012974752285,0.0070859643002103975,
HRP,Historical,4,-0.007944646254350096,0.007883298659932656,
ERC,Historical,4,-0.008939267659473282,0.00838663798838915,0.048806948498505656
MVP,GARCH,4,-0.00679330763015451,0.0070084096741814105,
HRP,GARCH,4,-0.00791196260484106,0.007816805000573239,
ERC,GARCH,4,-0.008913911050312251,0.008332995060608134,0.04860161038912287
MVP,DCC,4,-0.006793054800534271,0.007008323513254003,
HRP,DCC,4,-0.007911887848079724,0.007816682903605177,
ERC,DCC,4,-0.008913867991549362,0.008332852685848846,0.048602370807654324
Naive,N/A,5,-9.486933510627349e-05,0.009060461033902822,
MVP,Historical,5,-0.002163213498399763,0.007078661553479353,
HRP,Historical,5,-0.0010501944550660447,0.007874119603597164,
ERC,Historical,5,-0.0005152993931396566,0.008377799415679798,0.8410570692902891
MVP,GARCH,5,-0.0016849852438467483,0.007013105965713412,
HRP,GARCH,5,-0.0008619859934256846,0.007844718222725536,
ERC,GARCH,5,-0.00047694853015201044,0.00834385571389641,0.900227023712184
MVP,DCC,5,-0.0016848874692476645,0.0070132844537333155,
HRP,DCC,5,-0.0009601613680064736,0.007822648474747814,
ERC,DCC,5,-0.000476893586754068,0.008344078680348081,0.9003171521171326
Naive,N/A,6,-0.011801671636440414,0.009054283836133006,
MVP,Historical,6,-0.01172705627611692,0.007074071034156978,
HRP,Historical,6,-0.011498668132523204,0.007867995911852362,
ERC,Historical,6,-0.012137065667265912,0.00837118897446503,0.06027999720908628
MVP,GARCH,6,-0.012308618932088677,0.0070230585522560365,
HRP,GARCH,6,-0.011776949425588268,0.007839386974672562,
ERC,GARCH,6,-0.012210403261654124,0.008320905241526344,0.06057995220865505
MVP,DCC,6,-0.01230742658131434,0.007022788041297039,
HRP,DCC,6,-0.01177674846569099,0.00783918688839981,
ERC,DCC,6,-0.012210245968516942,0.008320690129184426,0.06057975223268012
Naive,N/A,7,-0.000192143359421304,0.00905968919908676,
MVP,Historical,7,0.001749276609861905,0.0070846505135990796,
HRP,Historical,7,0.00020257178895199957,0.007849487072519803,
ERC,Historical,7,-0.00022946408256774298,0.008381094663914778,1.6464338288993028
MVP,GARCH,7,0.0017609028953469164,0.0070732493532527025,
HRP,GARCH,7,0.00017876534469607464,0.007869937305207733,
ERC,GARCH,7,-0.0002385856401940778,0.008404902096376498,1.6049079251587366
MVP,DCC,7,0.0017620202447434785,0.007073643781323638,
HRP,DCC,7,0.00017925492378134678,0.007870233595266026,
ERC,DCC,7,-0.0002379594307617694,0.008405306422644,1.6084457755750108
Naive,N/A,8,-0.00799275365703811,0.00905723722729647,
MVP,Historical,8,-0.0046297512930204565,0.007078052274228514,
HRP,Historical,8,-0.00600007334830166,0.00784483835956832,
ERC,Historical,8,-0.0067462013325435555,0.008376789028358271,0.08320844369007774
MVP,GARCH,8,-0.004648865474314867,0.0070296621169884735,
HRP,GARCH,8,-0.005992230891222361,0.007795657493752684,
ERC,GARCH,8,-0.006735436862103761,0.00832646438988545,0.08325921266622276
MVP,DCC,8,-0.004648829377611241,0.007029527534228955,
HRP,DCC,8,-0.005992253065901565,0.00779551807636595,
ERC,DCC,8,-0.006735491655088688,0.0083263143588827,0.08325804519253967
Naive,N/A,9,-0.012325054412588687,0.00904560619124385,
MVP,Historical,9,-0.006573861895488475,0.007072996324613283,
HRP,Historical,9,-0.010429321048391782,0.007825161951297312,
ERC,Historical,9,-0.011477637895895954,0.00836699519378159,0.05621402624171556
MVP,GARCH,9,-0.006698512460642236,0.0070349943881353435,
HRP,GARCH,9,-0.010440440258867145,0.007786632488259567,
ERC,GARCH,9,-0.011476859294012542,0.008327811824923438,0.056143389612219374
MVP,DCC,9,-0.006701227570391044,0.007034973222972983,
HRP,DCC,9,-0.010440614515251134,0.007786590912779881,
ERC,DCC,9,-0.011477205211609998,0.008327750805377563,0.056144747758317626
Naive,N/A,10,0.001776638690867527,0.009054874627970855,
MVP,Historical,10,0.0008585882128444577,0.00707656523699241,
HRP,Historical,10,0.0010589048443678806,0.007831383278596655,
ERC,Historical,10,0.001513321227943898,0.00837559562746477,0.4606692526784166
MVP,GARCH,10,0.0009536638947760245,0.007048306007898987,
HRP,GARCH,10,0.0010948649846547198,0.0078109262893687565,
ERC,GARCH,10,0.0015258751303681706,0.00835880846605091,0.4554729094233102
MVP,DCC,10,0.0009550473075323751,0.007048358191082048,
HRP,DCC,10,0.0010947162708347946,0.007811005672271288,
ERC,DCC,10,0.0015257973809654768,0.008359061056657397,0.455474316821742
Naive,N/A,11,-0.004096170101910879,0.009054895166587163,
MVP,Historical,11,0.0009007870658737094,0.0070765176598022225,
HRP,Historical,11,-0.0016833769427060385,0.007832003413194047,
ERC,Historical,11,-0.0028352712796964052,0.00837563147686258,0.28051960950680005
MVP,GARCH,11,0.0013038683955608477,0.007068926302279728,
HRP,GARCH,11,-0.0015307236985103723,0.007828541678136498,
