Date,Historical,GARCH,DCC
2003-11-14,-150.30934081814766,-149.89399636540057,-149.89585262543665
2003-11-17,-160.41582958580872,-160.54483237583122,-160.54336804071994
2003-11-18,-163.51243189531786,-163.5199688482902,-163.52015611838223
2003-11-19,-162.321540416868,-162.5342012730082,-162.53346177194953
2003-11-20,-161.93800908351503,-162.13245942262623,-162.1387156302267
2003-11-21,-160.5790959602755,-160.70062980838586,-160.70024002960074
2003-11-24,-141.57091754378567,-140.87302746077182,-140.87216748664022
2003-11-25,-159.987216378195,-159.82675447599107,-159.83577452511844
2003-11-26,-153.9274769883584,-153.95902564294943,-153.95752587473444
2003-11-27,-147.57253063219682,-147.57476459485824,-147.57798604086457
2003-11-28,-151.868039438013,-152.06702798609524,-152.06472652052798
2003-12-01,-133.57773531902623,-133.46967169769826,-133.486429113338
2003-12-02,-147.0432102972623,-147.0467011556142,-147.04478837532392
2003-12-03,-161.85851908075335,-162.1267957797077,-162.12425434310234
2003-12-04,-155.69077242239302,-155.65340242318825,-155.6542857957577
2003-12-05,-160.29400950105327,-160.24377823955697,-160.24348390145855
2003-12-08,-155.66098471626512,-155.49392654086782,-155.49389052960004
2003-12-09,-147.733098399598,-148.19393282226824,-148.19278030600668
2003-12-10,-153.6443614657564,-153.79499126457296,-153.79247346967907
2003-12-11,-151.60381473067153,-151.4381663712431,-151.43521329011378
2003-12-12,-167.88972118528545,-168.09849566722403,-168.09782531639922
2003-12-15,-159.6505928538092,-159.68221142669543,-159.68169596098716
2003-12-16,-157.6628472957434,-157.77879759613654,-157.77799214596547
2003-12-17,-141.35056222448378,-141.5241822572992,-141.52054857949997
2003-12-18,-159.6655367224346,-159.41537055595398,-159.41362416806422
2003-12-19,-147.64834324181996,-147.65861223594493,-147.66319553133295
2003-12-22,-159.11119095176502,-159.10858376394745,-159.10669233423576
2003-12-23,-145.2926075782835,-145.6419108023054,-145.6415548232027
2003-12-24,-166.530201795244,-166.65903365775205,-166.65814167998442
2003-12-25,-149.53026236598438,-149.51303798885985,-149.5110534142791
2003-12-26,-152.7688557274139,-152.76151593193103,-152.76149390440585
2003-12-29,-154.5137466804209,-155.20600549184815,-155.20328669496598
2003-12-30,-142.98296384366856,-143.36008668946673,-143.36402748055326
2003-12-31,-156.24068357684797,-155.94993642718416,-155.94833070801124
2004-01-01,-155.29278841673636,-155.33339363955636,-155.33378838579594
2004-01-02,-152.28575629278055,-152.3875605136021,-152.38529652215243
2004-01-05,-160.13292599956043,-160.16818421645152,-160.1674952503741
2004-01-06,-144.23653927645265,-143.6229333657307,-143.621663644652
2004-01-07,-167.35695673835522,-167.60850508007695,-167.60686061768453
2004-01-08,-151.42126782412248,-151.53570160593762,-151.53539443231136
