Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.1400969951210333,0.1605318825101,0.1462332148793308,1.103221145255755,-3146.448511507952,0.0001786245416354,0.0015911412604949,0.0966479017123302,0.8019254557530235,0.8975830590400297,1.1240939840789168,-0.3664128356637222,0.3823474002139169,-0.0239376923039455,-0.6391338377739535,16.824523493130787
ERC,GARCH,0.1410186062586802,0.1607798949116112,0.1574334123541932,1.0263623980550987,-3060.8164317631504,0.0001829285600095,0.0016020940110134,0.0968901947054072,0.8059700297589437,0.9014805224358139,1.1294473663875344,-0.3648368186322406,0.386525150579247,-0.023975707143146,-0.6493591011968427,16.506251640758453
ERC,Historical,0.1456615386606521,0.1627361947527201,0.1773170804885162,0.9219107657776746,-3130.7105741555215,0.0002269905201272,0.0016504771323064,0.0349998989141491,0.8231593390338182,0.9175224011372756,1.1585833655660065,-0.3687983068022555,0.3949626014382809,-0.0241896332074049,-0.5650634035978177,16.695373355902937
HRP,DCC,0.1315599453377245,0.1509314941221906,0.1361678318545354,1.1139354326324677,-3146.448511507952,0.0001786245416354,,0.2753133157921549,0.7931664047628267,0.8949171302253621,1.107027393127417,-0.3466938152939688,0.3794701247444294,-0.0225397809321003,-0.7221949292974813,17.0603645462893
HRP,GARCH,0.1322475676080545,0.1512526454306864,0.1463416226354993,1.038875796717672,-3060.8164317631504,0.0001829285600095,,0.2740340003365243,0.7958422520223253,0.8973780564463051,1.1095331426016375,-0.3508331413320722,0.3769528930645665,-0.0225973419328819,-0.7617116936307416,17.182314201544926
HRP,Historical,0.13825788222386,0.1548199330441512,0.165430305996265,0.9400192700970345,-3130.7105741555215,0.0002269905201272,,0.1880433684670684,0.8151992502095561,0.9143989857813595,1.1439576319890752,-0.3614884111470513,0.3824683667870546,-0.0230252627560418,-0.6207587614965002,17.614509838127276
MVP,DCC,0.096523128116662,0.1220040871292399,0.0910808322780509,1.3501981400025556,-3146.448511507952,0.0001786245416354,,0.8483743686102835,0.6911369015752925,0.8168696913257365,0.9451395009279312,-0.3223985613612252,0.2993906911653821,-0.0177033111383997,-1.4595107721578415,27.178545831966176
MVP,GARCH,0.0961258553578796,0.122261298343954,0.096176398442214,1.2800260189447763,-3060.8164317631504,0.0001829285600095,,0.8397143983766179,0.6868999280157586,0.8123706495337835,0.9475425928292666,-0.3010403209360018,0.3193122272093081,-0.0175522259924477,-1.2449416226950218,22.88772516206434
MVP,Historical,0.0879190088481927,0.1255719170577014,0.1138627173446914,1.1106259227811273,-3130.7105741555215,0.0002269905201272,,0.0960451273308598,0.6122172991033178,0.7343910205681209,0.8393805116745824,-0.3256533046184151,0.2699773274255944,-0.0180410878034744,-1.237224078614702,26.067172243422817
Naive,,0.1588452383924659,0.1777535940622229,0.1982218470758695,0.8967406806283449,-3130.7105741555215,0.0002269905201272,,0.0356738348563133,0.8324386884798308,0.9188131051771775,1.1767978655392437,-0.3831841284716529,0.4145402342890015,-0.0264211821224494,-0.456906543239371,14.661735738615828
