Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
Naive,N/A,0,0.0007110252789187504,0.01871852137485204,
MVP,Historical,0,0.0007456558881294072,0.009131284898801917,
HRP,Historical,0,0.0008588651219473487,0.014380617666611866,
ERC,Historical,0,0.0008111881424337134,0.016223245096101496,0.0006604964908651599
MVP,GARCH,0,0.0006998076662897022,0.008336221610403462,
HRP,GARCH,0,0.0008343596395226982,0.013861870092756036,
ERC,GARCH,0,0.000788653683536423,0.015428771929372921,0.000592000183283282
MVP,DCC,0,0.0008812017773553291,0.007888944938146325,
HRP,DCC,0,0.00081267527525608,0.012753308634483984,
ERC,DCC,0,0.0007932784077982017,0.014285067761557088,0.0005938091816713272
Naive,N/A,1,0.002679761588017766,0.018803582080364034,
MVP,Historical,1,0.00017284305297428452,0.009174021295394554,
HRP,Historical,1,0.0020534849489175426,0.014447273532476719,
ERC,Historical,1,0.00233805691084504,0.01629950762583544,0.0008613540766954421
MVP,GARCH,1,0.001286020969455196,0.007812650772205654,
HRP,GARCH,1,0.002074870540738844,0.012563417763855323,
ERC,GARCH,1,0.0023383347270155776,0.01388903181152584,0.0008223809089892021
MVP,DCC,1,0.0011674043689346777,0.007499889665374073,
HRP,DCC,1,0.002084020116474638,0.011700048180806963,
ERC,DCC,1,0.0023325362743232864,0.012989316368411016,0.0007931348593811225
Naive,N/A,2,-0.0006952355293444324,0.018835521942498386,
MVP,Historical,2,0.0001980747156644645,0.009212257821771125,
HRP,Historical,2,-0.0005477053316604182,0.01447143242247267,
ERC,Historical,2,-0.0005725429517809475,0.01633087714873097,0.0007857318073837648
MVP,GARCH,2,0.000738872703619314,0.00716250679983027,
HRP,GARCH,2,-0.0005350762667441855,0.01165407491675222,
ERC,GARCH,2,-0.0005822397549865305,0.012802972567729594,0.0007253306252415527
MVP,DCC,2,0.0006437797477768661,0.006715177492448544,
HRP,DCC,2,-0.0005274512372685188,0.010871843469416026,
ERC,DCC,2,-0.000570696245664821,0.011960473606394177,0.0006915795169759371
Naive,N/A,3,0.002934967799150514,0.01892087846218164,
MVP,Historical,3,0.002136045784134219,0.009257035971986223,
HRP,Historical,3,0.0026614910942583756,0.014549534470779049,
ERC,Historical,3,0.0027715404541617463,0.016413193570554492,0.0010408226442633573
MVP,GARCH,3,0.001346571873256225,0.007044819463038964,
HRP,GARCH,3,0.002514051295462696,0.011734996728410768,
ERC,GARCH,3,0.002690974354879894,0.012953954917912326,0.0008882501665746905
MVP,DCC,3,0.001451616098420403,0.006688018327331778,
HRP,DCC,3,0.002470951616801268,0.010894603443300926,
ERC,DCC,3,0.0026913063581713395,0.012114058499963387,0.0008788119665623772
Naive,N/A,4,0.0026893493654543826,0.018946855503813958,
MVP,Historical,4,5.610588575525444e-05,0.00925996774186263,
HRP,Historical,4,0.002058550386113816,0.014544459921312156,
ERC,Historical,4,0.0023684478134162147,0.016435776430365437,0.0013054530120797565
MVP,GARCH,4,-0.0009020157283705324,0.006442692974542472,
HRP,GARCH,4,0.0020114359387784133,0.01071165298135491,
ERC,GARCH,4,0.002326367703705291,0.011853488351358486,0.0012770107735290753
MVP,DCC,4,-0.0006021716991465555,0.006047096034489078,
HRP,DCC,4,0.001991966893514781,0.00990388872072628,
ERC,DCC,4,0.0023120404724073893,0.011067555841222865,0.0012970908289513627
Naive,N/A,5,0.0006434407663164776,0.018944339991323274,
MVP,Historical,5,0.0004232194474223953,0.00925722321935712,
HRP,Historical,5,0.0003610255505636237,0.014601380855083251,
ERC,Historical,5,0.0004936068773757644,0.01644055062663545,0.0008960188569541292
MVP,GARCH,5,-2.8059087885928654e-05,0.006417431690296835,
HRP,GARCH,5,0.0002050366019494818,0.010526908504337178,
ERC,GARCH,5,0.00039320279079203954,0.011577374343125432,0.0008274301971564175
MVP,DCC,5,-0.0002987753245887572,0.0059626495677664116,
HRP,DCC,5,0.00020674987823714094,0.009874589185124474,
ERC,DCC,5,0.00039385442030833513,0.010861195870464973,0.0008100895769587348
Naive,N/A,6,0.001865890819736778,0.01900089435473192,
MVP,Historical,6,0.0010763353071644697,0.009272433845827967,
HRP,Historical,6,0.0014214011934268415,0.014624223358250102,
ERC,Historical,6,0.0015826907872780289,0.016494056617224896,0.001872597974711241
MVP,GARCH,6,0.000277224580653193,0.006635300913616016,
HRP,GARCH,6,0.0014735574142720035,0.010579845395687596,
ERC,GARCH,6,0.0016605372278513612,0.011536022630138962,0.0018654433792492308
MVP,DCC,6,0.00024061688567793312,0.006216618211402814,
HRP,DCC,6,0.0014424725304196895,0.00991863757265857,
ERC,DCC,6,0.0016269433784836358,0.01089526267818558,0.0017954231093524006
Naive,N/A,7,0.0016491004854937966,0.019011437877795943,
MVP,Historical,7,0.0005365380527672143,0.009259711555139594,
HRP,Historical,7,0.0013475923548159202,0.014716640632160617,
ERC,Historical,7,0.0014875669282375474,0.01650057363662796,0.0011899908580244277
MVP,GARCH,7,0.0004364259957996262,0.005990522422708636,
HRP,GARCH,7,0.0013639317692405847,0.00959288050583441,
ERC,GARCH,7,0.001475236159421249,0.01043959015198957,0.0011363017726287164
MVP,DCC,7,0.0004226959456353078,0.0056210495553854585,
HRP,DCC,7,0.0013177472180447656,0.008968028230206123,
ERC,DCC,7,0.0014947681165203852,0.009818789683893226,0.0011294141342520086
Naive,N/A,8,0.0007219496514771451,0.01904945124700557,
MVP,Historical,8,0.0021730308574238457,0.009275076344134808,
HRP,Historical,8,0.001048796399756759,0.01464476036060596,
ERC,Historical,8,0.0008976219073971378,0.01653628706603845,0.0011125949394455346
MVP,GARCH,8,0.0012303926821910834,0.006334928646655879,
HRP,GARCH,8,0.000974168359000281,0.010324147796776859,
ERC,GARCH,8,0.0008598222456194699,0.01134736084271272,0.0010268064939116608
MVP,DCC,8,0.0009739206768450676,0.006046855163914992,
HRP,DCC,8,0.0010130764481307457,0.009587248697105888,
ERC,DCC,8,0.0008681563638793361,0.01064372240935508,0.00101093197707839
Naive,N/A,9,0.001039987025295087,0.019049272382058228,
MVP,Historical,9,0.0005339781948975943,0.009257780346198823,
HRP,Historical,9,0.0010520940814600917,0.014588235334633453,
ERC,Historical,9,0.0010215652734014175,0.016520065582613493,0.0010789434767546622
MVP,GARCH,9,0.0008742370942823322,0.006776239676592016,
HRP,GARCH,9,0.0009944629314596262,0.010850371296900996,
ERC,GARCH,9,0.0009769443426810378,0.011935911190949451,0.001005250109207417
MVP,DCC,9,0.0010143580887215303,0.006433592751688513,
HRP,DCC,9,0.000934552476131075,0.010100882588701685,
ERC,DCC,9,0.0009886054328081693,0.01119661448729088,0.0010310043683747518
Naive,N/A,10,0.00047102698794639986,0.0190599077187997,
MVP,Historical,10,0.0008578290330976773,0.009276989359978309,
HRP,Historical,10,0.0008515207443763378,0.014583540938547896,
ERC,Historical,10,0.0006967518411473607,0.016538592064204622,0.0016171328764553045
MVP,GARCH,10,0.0011258640562469505,0.006291865801842212,
HRP,GARCH,10,0.0007745973314090552,0.010007494474780559,
ERC,GARCH,10,0.0006210658996153569,0.010886636327307546,0.001454291513855982
MVP,DCC,10,0.0012554776671301112,0.0059739513241172885,
HRP,DCC,10,0.0007993979690707811,0.009358604099119832,
ERC,DCC,10,0.0006376514650896072,0.010218964591216977,0.001457554203448217
Naive,N/A,11,-0.0017659802957967882,0.019053341806749058,
MVP,Historical,11,-0.0007242809696009144,0.00927880468920116,
HRP,Historical,11,-0.001232236406569782,0.01461533966041855,
ERC,Historical,11,-0.0014519322194070073,0.016537864465636487,0.0009088007877290069
MVP,GARCH,11,-0.0006844448260104553,0.006161106854274038,
HRP,GARCH,11,-0.0013389088026317273,0.010025308131894528,
ERC,GARCH,11,-0.0015469222304126198,0.011038915446722215,0.0007980217891057086
MVP,DCC,11,-0.0005734624617720176,0.005801154890289523,
