Date,Historical,GARCH,DCC
2010-06-09,-3065.987150121249,-3067.5579594091187,-3066.1143969278237
2010-07-09,-2929.1336088981366,-2870.7625101019853,-2938.459708701742
2010-08-09,-3090.940362048839,-3076.1621468789162,-3120.9146879236723
2010-09-08,-3028.572747657293,-2953.110108432702,-3027.196717215709
2010-10-07,-2978.7239003420545,-2782.4201260459276,-2933.0956943250867
2010-11-05,-3091.1909843519375,-2988.926440527233,-3076.590828771044
2010-12-07,-3148.426094505853,-3087.572812862734,-3167.6155078103147
2011-01-06,-3006.538639177828,-2604.189617511852,-2800.5267619925426
2011-02-07,-3030.839821928204,-2794.8632803554146,-2941.7976769472853
2011-03-09,-3141.784765149807,-3048.196740281432,-3136.4407765218434
2011-04-07,-3032.22108634266,-2736.5272927533388,-2908.855065661568
2011-05-09,-3200.584780402066,-3151.467486139481,-3251.828754553292
2011-06-08,-3240.9464549109416,-3237.999862506962,-3286.598243670983
2011-07-08,-2955.5717420602923,-2579.514977675696,-2785.6406263485615
2011-08-08,-2905.6584728117346,-2754.9765803249743,-2871.079560414871
2011-09-07,-2912.386833532477,-2891.5386769884285,-2961.5042273317367
2011-10-06,-2818.9215867251155,-2833.027755768762,-2884.8430781984134
2011-11-04,-3083.1815678998587,,-3098.595644982457
2011-12-06,-3169.2627654061835,,-3198.022390848051
2012-01-06,-3041.5889724220046,-2840.6315019426124,-3022.5235737131907
2012-02-07,-3161.525697567883,-2969.005519804171,-3142.288434203804
2012-03-08,-3267.6277195572384,-3168.8462995272776,-3303.348312410549
2012-04-09,-3002.5092705813395,-2525.085245675079,-2884.793796921098
2012-05-08,-3163.8007697998114,-2944.4703542423485,-3155.3976280535758
2012-06-07,-3141.0079587622936,-3070.4133950655223,-3192.190331482577
2012-07-09,-2886.2150329905926,-2539.4796554136065,-2873.207117168573
2012-08-07,-3260.728089676913,-3209.3318730700867,-3315.03276605318
2012-09-06,-3200.8748097715043,-2823.6646296018826,-3153.159856614985
2012-10-05,-2988.4101411417246,-2341.0818755680443,-2801.099352690062
2012-11-07,-3186.4808527829528,-2983.327232789419,-3175.834105323315
2012-12-07,-3332.3688132649695,-3272.463254714232,-3369.2613598251105
2013-01-09,-3132.7737803528285,-2913.0669673243196,-3086.5572303846457
2013-02-08,-3235.869974220281,-3062.589209247979,-3208.6272266377114
2013-03-12,-3313.3744150231414,-3216.6709124530707,-3306.0254562169393
2013-04-11,-3016.654359891253,-2805.721412108133,-2871.174839545394
2013-05-10,-3228.3398727670037,-3137.173262540774,-3183.818287722119
2013-06-11,-3276.5928872096774,-3213.3880435479255,-3233.0683412615163
2013-07-11,-3083.1140146889966,-3025.168017581719,-3010.9362349723015
2013-08-09,-3424.8271560193416,-3402.1380843219445,-3405.0729466771254
2013-09-10,-3377.2114218305214,-3326.5940885322334,-3326.8475822395353
2013-10-09,-3012.8435104166206,-2827.6252277111093,-2847.927896640521
2013-11-07,-3319.4025692089667,-3257.1031316798044,-3270.069712666942
2013-12-09,-3399.844802581997,-3355.8860539824514,-3369.356787340307
2014-01-09,-3051.011930335488,-2821.657448355741,-2904.188801416489
2014-02-10,-3314.785025865159,-3285.1038053347356,-3270.5389030007714
2014-03-12,-3338.144248290766,-3269.364473551027,-3283.238557604044
2014-04-10,-3183.128011829003,-3046.3643657285756,-3099.164040186187
2014-05-12,-3447.8700817874897,-3495.0697547333302,-3481.776768285622
2014-06-11,-3523.048137106049,-3481.3364719745678,-3487.0707624344486
2014-07-11,-3315.5894665295414,-3083.5436519229856,-3143.1509768806445
2014-08-11,-3664.4029581709774,-3664.9034713984115,-3640.091551631915
2014-09-10,-3535.555154622997,-3441.8255855438083,-3479.2222471338164
2014-10-09,-2992.2454572296324,-2846.754367336699,-2877.3883294532557
2014-11-07,-3387.432419665753,-3388.427271921672,-3384.4746884403357
2014-12-09,-3478.922044501898,-3432.72046157112,-3445.7918474718144
2015-01-09,-3040.3425713754077,-2989.670761734148,-3019.52156340438
2015-02-10,-3338.1364068909193,-3321.4232984407145,-3306.295638752471
2015-03-12,-3487.3973156704524,-3472.7588920779153,-3482.025579833815
2015-04-13,-3237.785085838398,-3099.5335923544962,-3159.8857897011394
2015-05-12,-3590.766437154768,-3576.12262186835,-3581.7238786290495
2015-06-11,-3560.753122652643,-3502.2284840750444,-3541.706323307708
2015-07-13,-3080.321296809111,,-2913.7604780345673
2015-08-11,-3288.9192014975797,-3173.6653676189017,-3220.437636815434
2015-09-10,-3253.2316009472206,-3296.8192551160837,-3315.861067024184
2015-10-09,-2602.258093821677,-2635.6285012016315,-2682.116458263409
2015-11-09,-3184.2849640694094,-3300.0229274225494,-3298.0608699834834
2015-12-09,-3243.9839887899025,-3328.313908951162,-3274.305737158698
2016-01-11,-2010.8093275503306,-2384.640611669761,-2268.51602677975
2016-02-10,-2738.5210522907473,-3001.3314756715718,-2936.7270603046654
2016-03-11,-3475.649147007893,-3494.8320568975482,-3466.3032784078064
2016-04-12,-3181.605543596521,-3211.5245482280952,-3190.15919337997
2016-05-11,-3485.3505708599255,-3479.9194458289953,-3462.5099087017925
