Model,Covariance Type,Window Index,Mean Return,Forecasted Std
Naive,N/A,0,0.001672435066433827,0.015336757850697512
MVP,Historical,0,0.0005988606874693166,0.008142395116848226
HRP,Historical,0,0.0015038065588706333,0.012244843058290968
ERC,Historical,0,0.00165082078071835,0.013559320563446635
MVP,GARCH,0,0.0006995411149934476,0.005417492909105038
HRP,GARCH,0,0.0014099435271518312,0.007719275895686719
ERC,GARCH,0,0.0015860798072271395,0.008229415681079537
MVP,DCC,0,0.0009881882398824632,0.005254100305251641
HRP,DCC,0,0.0014332666159430894,0.007257950445633546
ERC,DCC,0,0.001603397901279674,0.007756571902604963
Naive,N/A,1,-0.00021313695655184378,0.015318867901864453
MVP,Historical,1,-0.00027284850113097527,0.00813694944234563
HRP,Historical,1,-0.00026731378788487966,0.012194146658745575
ERC,Historical,1,-0.0002611694852567208,0.013545006510637806
MVP,GARCH,1,0.00031916681377992405,0.005250548510647
HRP,GARCH,1,-2.0138412860338594e-05,0.007502094644590194
ERC,GARCH,1,-0.00011536805728260381,0.008023540725792585
MVP,DCC,1,0.00034215293576077244,0.005077612537115545
HRP,DCC,1,-3.372592653835139e-05,0.007097014350346254
ERC,DCC,1,-0.00012724933636627878,0.007555473316981578
Naive,N/A,2,-0.0002667754260229287,0.015325212166065463
MVP,Historical,2,-0.0011815918945749784,0.008131879479007965
HRP,Historical,2,-0.00040127788941990097,0.012202239526407031
ERC,Historical,2,-0.00025106024664934374,0.013549465632399497
MVP,GARCH,2,-0.0015013297108483693,0.00514875184530597
HRP,GARCH,2,-0.0005895660374294926,0.0073932493546278455
ERC,GARCH,2,-0.00039216424639448735,0.007902241758571418
MVP,DCC,2,-0.001254475638532384,0.004987651373360526
HRP,DCC,2,-0.0004961129178162399,0.006979473772892543
ERC,DCC,2,-0.00035755929443477303,0.007451299062785306
Naive,N/A,3,-0.0011708342461468609,0.01530230180750075
MVP,Historical,3,-0.00032219569357910414,0.008127161350380363
HRP,Historical,3,-0.0009731794350925917,0.012222415516764524
ERC,Historical,3,-0.0010931861535712819,0.013533873491785725
MVP,GARCH,3,-0.0007316841845457121,0.005486525503214073
HRP,GARCH,3,-0.001046222457939679,0.007937133720246218
ERC,GARCH,3,-0.0011562262931619502,0.008505930661104747
MVP,DCC,3,-0.0005772251632088853,0.0052777406325668
HRP,DCC,3,-0.0010788793201529354,0.007446861025988553
ERC,DCC,3,-0.0011441258767295617,0.00801135221951493
Naive,N/A,4,0.0035333690293470168,0.015315528654773532
MVP,Historical,4,0.0019448490305708094,0.008142749576312934
HRP,Historical,4,0.00318451257303682,0.01220964297943687
ERC,Historical,4,0.00332096231956651,0.013548846784597442
MVP,GARCH,4,0.0019572870372712267,0.0058860856963640846
HRP,GARCH,4,0.003129005886541216,0.008456993124087342
ERC,GARCH,4,0.0033020923263666043,0.00895548582625861
MVP,DCC,4,0.0017314544353921042,0.005674065244419817
HRP,DCC,4,0.0031298769995110618,0.007976481892697122
ERC,DCC,4,0.003284923450253502,0.00843874073496613
Naive,N/A,5,-0.00014649878513964837,0.015307029805166275
MVP,Historical,5,0.00016495268241808773,0.008126969110893304
HRP,Historical,5,9.755752254157761e-05,0.012194612939027974
ERC,Historical,5,-4.4292013917602345e-06,0.013543154512512402
MVP,GARCH,5,1.9782162954112966e-05,0.005461783601093939
HRP,GARCH,5,-1.4342339075957373e-05,0.0077633351167650765
ERC,GARCH,5,-0.00010628137028700422,0.00825251389778957
MVP,DCC,5,-7.66471597002697e-05,0.005295708057640299
HRP,DCC,5,-7.883758103664936e-06,0.007354441133505183
ERC,DCC,5,-9.462021311247866e-05,0.0077652969405065265
Naive,N/A,6,-0.0008426658371248296,0.015327704625689645
MVP,Historical,6,0.00029104175009562,0.008141913691708743
HRP,Historical,6,-0.00039192810209117866,0.012232638679662346
ERC,Historical,6,-0.0006243266845075623,0.013559829036010952
MVP,GARCH,6,0.0002655920263419152,0.005254606646849227
HRP,GARCH,6,-0.000523605762507068,0.007505990153609429
ERC,GARCH,6,-0.0006606120004869793,0.007972778576591764
MVP,DCC,6,0.00041623380560106785,0.005144272140338737
HRP,DCC,6,-0.0004124363828822765,0.007077544273514365
ERC,DCC,6,-0.0006718286983850181,0.00750689627261529
Naive,N/A,7,-0.0012438430082668285,0.015325886571495263
MVP,Historical,7,0.0009445368617150909,0.008150693852939064
HRP,Historical,7,-0.00045254515747693015,0.01224623401092615
ERC,Historical,7,-0.0008018524992322928,0.013560273108952772
MVP,GARCH,7,-8.607608330773036e-05,0.005662361538580388
HRP,GARCH,7,-0.0008197201597536806,0.007869812578634016
ERC,GARCH,7,-0.0009613509730178264,0.008315619500347649
MVP,DCC,7,-3.0916642711806966e-05,0.005458057215907074
HRP,DCC,7,-0.0008102898388453926,0.007439160194167395
ERC,DCC,7,-0.0009366362633254598,0.007820964294086801
Naive,N/A,8,-0.0007850520706088043,0.015334983205512055
MVP,Historical,8,0.0004867465592501761,0.008159884402900724
HRP,Historical,8,-0.0005004043468766638,0.012218883285377413
ERC,Historical,8,-0.0006302447323279502,0.013572286613980354
MVP,GARCH,8,-8.867242114933048e-05,0.006291512641216757
HRP,GARCH,8,-0.00047783430906572446,0.00892139915479994
ERC,GARCH,8,-0.0006197088744105722,0.00941139816536796
MVP,DCC,8,-0.00034801647558152933,0.005929957740058422
HRP,DCC,8,-0.0005714791599035221,0.008364503430885763
ERC,DCC,8,-0.0006141953813104587,0.008846437510920362
Naive,N/A,9,0.005555060502736935,0.015373527633514841
MVP,Historical,9,0.0029316145346093884,0.008180186181347969
HRP,Historical,9,0.005240291848770373,0.012278290308602176
ERC,Historical,9,0.005364489850037695,0.013606647069396162
MVP,GARCH,9,0.0036794802951920043,0.006716924048207886
HRP,GARCH,9,0.005272016589422031,0.009951304109168438
ERC,GARCH,9,0.005369646570368541,0.010684731550677843
MVP,DCC,9,0.0030032782377219227,0.0063848826850898144
HRP,DCC,9,0.005266406759661761,0.009268244125251016
ERC,DCC,9,0.005321935543569516,0.010033217606680076
Naive,N/A,10,0.0012132993478207446,0.015376657498176998
MVP,Historical,10,0.000828101052316111,0.008180179821783167
HRP,Historical,10,0.0010971796591374562,0.012302600881518761
ERC,Historical,10,0.0011163684397782155,0.013611848836403354
MVP,GARCH,10,0.0007157988343307871,0.006302038920192218
HRP,GARCH,10,0.0011263185011070476,0.00937722191874062
ERC,GARCH,10,0.001074271792999426,0.010117557007438722
MVP,DCC,10,0.0006688481232882911,0.006020234350930122
HRP,DCC,10,0.0011200166526922901,0.008752670433921627
ERC,DCC,10,0.0010740553809222423,0.009495196892708092
Naive,N/A,11,0.001902903133194875,0.015370568877932398
MVP,Historical,11,0.0012356196566375073,0.008178179851113411
HRP,Historical,11,0.0018970997585307607,0.0122625336777057
ERC,Historical,11,0.001895786898180009,0.013606944057997294
MVP,GARCH,11,0.0015683157140959567,0.005672269188885414
HRP,GARCH,11,0.001830802516447082,0.008468879687589567
ERC,GARCH,11,0.0018885629569302738,0.009112782714075143
MVP,DCC,11,0.0014479876861559573,0.005582228559643533
HRP,DCC,11,0.0017789708110164224,0.007972419213550639
ERC,DCC,11,0.0018615641419411587,0.008558596311801508
Naive,N/A,12,8.313204933185111e-05,0.015365230575657793
MVP,Historical,12,0.0007647470807708171,0.00817953241531783
HRP,Historical,12,0.00045782927111301836,0.012265924551799041
ERC,Historical,12,0.0002954004443921195,0.013601498109410973
MVP,GARCH,12,0.0006900861092220187,0.005541551001177417
HRP,GARCH,12,0.0004911219654410131,0.008178910131592134
ERC,GARCH,12,0.00035539867080582667,0.008885204777087641
MVP,DCC,12,0.000768084315209883,0.005433475767534128
HRP,DCC,12,0.0004591214454917576,0.0076883209707793295
ERC,DCC,12,0.00034737237518910264,0.008329236760348512
Naive,N/A,13,-0.0014444937916559988,0.015384144719694572
MVP,Historical,13,-0.0011781935066641261,0.008199418359305361
HRP,Historical,13,-0.0014006036444065278,0.012288895019208995
ERC,Historical,13,-0.0014172849148748742,0.013625957628800662
MVP,GARCH,13,-0.0009818199031289404,0.006728477417822489
HRP,GARCH,13,-0.0012756000673464015,0.009924601818011877
ERC,GARCH,13,-0.0013335255231438233,0.010658550446063012
MVP,DCC,13,-0.0008898329426011043,0.0065248919762668596
HRP,DCC,13,-0.0013012603349514444,0.0093534339479259
ERC,DCC,13,-0.001314113826100425,0.010003057735326419
Naive,N/A,14,0.000364181452694192,0.015386726803953369
MVP,Historical,14,0.0033256543307631824,0.008196716351666267
HRP,Historical,14,0.0014564947926648942,0.0122795744186679
ERC,Historical,14,0.0010311143582397559,0.013630852260675204
MVP,GARCH,14,0.001661203025263212,0.006532263392690715
HRP,GARCH,14,0.001036342314839287,0.009333567254585229
ERC,GARCH,14,0.0007580418071095606,0.009947910445415487
MVP,DCC,14,0.0023261749893311082,0.006283959594518107
HRP,DCC,14,0.0010241171833573182,0.008751009131700516
ERC,DCC,14,0.0008423326773803836,0.0093255648699856
Naive,N/A,15,0.0021348389134677147,0.015401126384263882
MVP,Historical,15,-4.35244375463861e-05,0.008214489274228865
HRP,Historical,15,0.0014409099080246095,0.012393918293266016
ERC,Historical,15,0.0018034004151628487,0.013649089728924594
MVP,GARCH,15,0.00037107419048882046,0.006680938155743384
HRP,GARCH,15,0.0014829529858727862,0.009373531863819649
ERC,GARCH,15,0.0017571575336564602,0.009950419717914733
MVP,DCC,15,0.0006121711640933303,0.006350619684738539
HRP,DCC,15,0.0014740639153289327,0.00872386798052019
ERC,DCC,15,0.0017339508245998662,0.009323839210693576
Naive,N/A,16,0.0024275819349567815,0.01541551689460391
MVP,Historical,16,0.0004728202298973248,0.008227536066335629
HRP,Historical,16,0.001947624434721553,0.012353306661084794
ERC,Historical,16,0.002043701882177099,0.013669667728384096
MVP,GARCH,16,0.0006698596038832982,0.007185887833365212
HRP,GARCH,16,0.0019456536517112274,0.01010805138743499
ERC,GARCH,16,0.002005059622348276,0.010816453238342969
MVP,DCC,16,0.00023005066242132548,0.006818574755224112
HRP,DCC,16,0.0019153013239910476,0.009493107626648081
ERC,DCC,16,0.001931102678439762,0.010135376762850616
Naive,N/A,17,-0.00029542445741188064,0.015415421813249251
MVP,Historical,17,7.863301104042379e-05,0.008238776144511222
HRP,Historical,17,-0.0003349811858868584,0.012324618373164866
ERC,Historical,17,-0.00029132056801700124,0.013673743937849087
MVP,GARCH,17,-0.0004518827460631758,0.0067775743964122994
HRP,GARCH,17,-0.00020818304989625672,0.00976155502946993
ERC,GARCH,17,-0.0002237601271332084,0.010427441294439361
MVP,DCC,17,-0.0003048769301001742,0.006480337672793712
HRP,DCC,17,-5.1282630851257756e-05,0.009152278947633168
ERC,DCC,17,-0.00024320192843493442,0.009779512641633034
Naive,N/A,18,0.0010989311920136004,0.015396078920188624
MVP,Historical,18,-0.0009274064641433077,0.008233864055441936
HRP,Historical,18,0.0009351781922686146,0.012322062155178651
ERC,Historical,18,0.0010428048976373109,0.013651830159546111
MVP,GARCH,18,0.0009774028289200325,0.006182456677541628
HRP,GARCH,18,0.001174300420608294,0.008958573725877253
ERC,GARCH,18,0.001171958169994696,0.009558319906872573
MVP,DCC,18,0.0006691733476224224,0.005980977329353816
HRP,DCC,18,0.0010699457937415184,0.008392353095177447
ERC,DCC,18,0.0011538796138002294,0.008963792558065689
Naive,N/A,19,-0.0013093701287757314,0.015379261082254228
MVP,Historical,19,0.0004817460409572579,0.00824305842984306
HRP,Historical,19,-0.0010095343413774429,0.012312224786804209
ERC,Historical,19,-0.0011885029731469351,0.01364504901259329
MVP,GARCH,19,-1.564690115053585e-05,0.006879724413835004
HRP,GARCH,19,-0.0010456996989958458,0.009690879884071843
ERC,GARCH,19,-0.001202607179781093,0.010170113106232736
MVP,DCC,19,2.327802231384272e-05,0.006626920568621875
HRP,DCC,19,-0.0010714753099069167,0.009114956821091638
ERC,DCC,19,-0.0011919974013997043,0.009551096529308826
Naive,N/A,20,0.0018395568722686874,0.015380254652690212
MVP,Historical,20,0.0005491698832027098,0.008254710042563972
HRP,Historical,20,0.0013136484665557467,0.012304154731016466
ERC,Historical,20,0.0015227350388948054,0.013648513232932735
MVP,GARCH,20,0.001429642637523315,0.006479004099711857
HRP,GARCH,20,0.0014029971746364763,0.009245080406637657
ERC,GARCH,20,0.0015502148176948086,0.00971817870083939
MVP,DCC,20,0.0012132253141236954,0.006318308044357403
HRP,DCC,20,0.0014044331693687264,0.008669815287456605
ERC,DCC,20,0.0015260489859619186,0.009122356411399744
Naive,N/A,21,-0.0017597151252780913,0.015377193158421194
MVP,Historical,21,-0.001926556483421806,0.008259062546894081
HRP,Historical,21,-0.001962137332165195,0.012318739199767071
ERC,Historical,21,-0.0017865186999699184,0.013646639590750962
MVP,GARCH,21,-0.0022484342720559642,0.0058309949532192856
HRP,GARCH,21,-0.0018701360128194158,0.008289735137534466
ERC,GARCH,21,-0.0017805758760269519,0.008855476347710655
MVP,DCC,21,-0.001550997077852515,0.005611114952923666
HRP,DCC,21,-0.0017957380881463332,0.007816165563116397
ERC,DCC,21,-0.0017567352221582989,0.00830000951858569
Naive,N/A,22,0.002136579147320611,0.015377755373389503
MVP,Historical,22,0.0020893726310014433,0.00825442748301066
HRP,Historical,22,0.0020430864773430903,0.012354170126620804
ERC,Historical,22,0.002035037849021965,0.013650700116119203
MVP,GARCH,22,0.0022171200085205336,0.005980288194622106
