Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg Turnover,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.09250300693534763,0.17333666049032395,0.1490861575013052,1.1626609968051962,0.09096662833029653,0.43427837674221703,0.5947573049090308,-0.5375074445893508,0.17209623395266424,-0.026444122823907366,-0.3612735545255243,14.743378410771323
ERC,GARCH,0.0930455386861,0.17400993719408653,0.15578793438763633,1.1169667142585615,0.08859050861816299,0.43607244863007877,0.5974470126753667,-0.5362586529013385,0.17350869432631538,-0.026542397492823878,-0.3571458467810963,14.59960966163427
ERC,Historical,0.09550804184952688,0.17695874251097957,0.17240052937159345,1.0264396702028757,0.031342291345404165,0.4442561911620853,0.6096894406366823,-0.5469751615889347,0.17461129600854441,-0.026989759720376736,-0.3508023098942911,14.125224682774528
HRP,DCC,0.08753817649007756,0.16194718747236372,0.13828810024244698,1.1710854888340905,0.2150519087642534,0.4231271279207555,0.5772288633534409,-0.5030150689185328,0.17402694650536413,-0.024729973290925644,-0.37448133435855624,16.028639916431505
HRP,GARCH,0.08881072154671621,0.16316751283507633,0.14495432733672947,1.1256477528679607,0.183050228715528,0.42810016321050687,0.5842724811252505,-0.49969513121987685,0.17772981163516188,-0.02490465152833223,-0.3779355407204811,15.537280323976026
HRP,Historical,0.09439004706191811,0.167673947419619,0.16255005574949,1.0315219311768526,0.061877795979046885,0.4501718596009966,0.6161940160973353,-0.5159805318247944,0.18293334969073805,-0.025601187973100653,-0.3757586519856339,14.556123208560832
MVP,DCC,0.07084098699473751,0.13897479478165242,0.11270080149415025,1.2331304918791188,0.5905862054968849,0.3589293655548444,0.4861989634540767,-0.4639690608268453,0.152684721840053,-0.020794449789875834,-0.2646083860083178,19.409037386571843
MVP,GARCH,0.0716417101048279,0.1406520586346787,0.11630525593173474,1.2093353607100463,0.6228899757331862,0.36152729420681196,0.4897257090570386,-0.45923691793065735,0.15600163512038345,-0.02098483107895698,-0.2480327566753798,20.802365427292028
MVP,Historical,0.09093904423573917,0.13967702757000075,0.1321230089530327,1.0571741339894354,0.05774458598124334,0.47292310903091084,0.6455594790374243,-0.4035782612939943,0.22533186981915482,-0.02059693043468655,-0.25492774683915703,19.010235558532113
Naive,N/A,0.09656512342799028,0.18808048885929365,0.18450678021698133,1.0193689827447512,0.031000729831923098,0.43684976949087956,0.60107570636821,-0.572388125746951,0.16870567205071807,-0.02867313605968601,-0.3322500287372397,13.018876070371006
