Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.09087530057193183,0.1731947221559612,0.14631376118326458,1.183721344836642,0.47014215692749883,0.5833965916037807,-0.5445517120547662,0.1668809381372258,-0.02644971620367562,-0.3913722524074898,15.188018127757664
ERC,GARCH,0.09162415792466239,0.1738154837548326,0.1528370410330464,1.1372601993599853,0.4730290848196544,0.5876688096144216,-0.5434282190743805,0.16860397511326428,-0.026535312933996382,-0.3826176697598587,15.021116951919856
ERC,Historical,0.09472258877203066,0.17675264632268456,0.17231995534118377,1.0257236079984138,0.48411495390195697,0.6047324511675789,-0.5481808612794559,0.1727944104997534,-0.026974974726955748,-0.3538995936253339,14.185728853318443
HRP,DCC,0.08863897085792716,0.16198680844276658,0.13525838800362808,1.1976100767844546,0.4783664609586554,0.583928315765109,-0.5095554191836718,0.17395354365955001,-0.02468309651996786,-0.42732805502104315,16.819751175694297
HRP,GARCH,0.08713044814317827,0.16284090729652104,0.1418444805049212,1.1480242778348457,0.4682032382330121,0.5717758059649822,-0.5082310552175199,0.17143865422762677,-0.02486795048616984,-0.444160617662206,16.213624103050474
HRP,Historical,0.09197481749395586,0.1674251229749426,0.16243526677815123,1.0307190445508756,0.486459775486133,0.5996371701304337,-0.5179247515913588,0.17758335976675574,-0.02559687937576233,-0.3945488575729773,14.659096308761226
MVP,DCC,0.08604959348000984,0.13874613220529539,0.10982966082488871,1.2632847189295322,0.5160797170992784,0.6038090688183151,-0.4530575209700739,0.18993083548367742,-0.020596344629177973,-0.5722990174625586,21.716466043728058
MVP,GARCH,0.08900488423915598,0.14019333625374023,0.11317865276368802,1.2386906261064767,0.5315798253877377,0.6240819223647674,-0.4525547318294735,0.19667208843303793,-0.020782758429243747,-0.548407512124009,21.488096806221932
MVP,Historical,0.0899821743888165,0.13850524123038932,0.1322522625742938,1.0472806932326233,0.5427286223833163,0.63955779570118,-0.39110992339321926,0.23006875818476494,-0.020484815378952047,-0.3238565018733655,18.160760265518853
Naive,N/A,0.09616571027971665,0.1879810085398608,0.18443154074576731,1.0192454489060865,0.4731399122987192,0.5986277506951838,-0.572388125746951,0.16800787080309015,-0.028673959225050945,-0.33360298889346995,13.033756017995449
