Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg L1 Dist,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.0765352136576704,0.1771130118106856,0.1488632605780293,1.1949072390377773,-149.80980179642893,0.0001181322305153,0.0205752830984148,0.29392265956054814,0.0871939403022429,0.4032227863825675,0.5052881298516946,0.5593064033451015,-0.5456007103884903,0.1402769684870355,-0.02724605157176,-0.3595866741330777,14.249620285078674
ERC,GARCH,0.0765507175528243,0.1771623408222438,0.1481471944073588,1.200967271405628,-148.97542998987214,0.0001197624361898,0.0206654863986619,0.297652464652479,0.0857159431559067,0.4032361789208514,0.5052731993993076,0.5594969348401349,-0.5415771582717179,0.1413477588255627,-0.0272420609178414,-0.3525576314074221,14.162766730212024
ERC,Historical,0.0799408415980331,0.1816946300378939,0.177479025229205,1.0279621082309391,-145.76811596420274,0.0001832528762134,0.0226980984175295,0.3161018982577773,0.02037720807544,0.4149714626115689,0.5144633132578754,0.577105769254974,-0.5507033534767103,0.1451613488339034,-0.0279255008071278,-0.3368717929927525,13.464035918405422
HRP,DCC,0.0754063966502469,0.1657909702195681,0.1381180805317649,1.2056339419725703,-149.80980179642893,0.0001181322305153,,0.4786708172209963,0.2037902813221381,0.4126844014768906,0.5217243199243733,0.5707809307651852,-0.5159073383747446,0.1461626750412169,-0.0254625203172349,-0.3975686862498455,15.871981826310268
HRP,GARCH,0.0753614430427085,0.1658110732325124,0.1379329235704132,1.2073398996540667,-148.97542998987214,0.0001197624361898,,0.47761511582391925,0.1746356052430905,0.4123925980667064,0.5214188091677329,0.5709235986405297,-0.5069839998943129,0.148646590540172,-0.0254354008865645,-0.3803987566649959,15.790750070335193
HRP,Historical,0.0792885077849896,0.172077849182846,0.1674102887945692,1.032056235776718,-145.76811596420274,0.0001832528762134,,0.5186218417305982,0.0355733945714498,0.4247232285631284,0.5297787727040245,0.5901927822431621,-0.5219718184887352,0.1519018938887421,-0.0264125906299708,-0.3491619271458727,14.449373141917526
MVP,DCC,0.0785777746495528,0.1412640955640182,0.1130356551685192,1.2538211640728711,-149.80980179642893,0.0001181322305153,,1.2092561069549697,0.6332302321012728,0.4784156760211731,0.6063789011452834,0.6630068522595767,-0.4353081010789511,0.180510710585883,-0.0212833663541123,-0.3930426505503699,20.35500942284913
MVP,GARCH,0.0752475084942014,0.1421998949357577,0.1128840569055268,1.2633846231828985,-148.97542998987214,0.0001197624361898,,1.2193284682503334,0.6384122289115332,0.4543922463208116,0.5815228484274615,0.6315524718717072,-0.4257705316181904,0.1767325423114994,-0.0213791983194902,-0.2772133331904368,20.123517158587585
MVP,Historical,0.0723295953865212,0.1435444455214853,0.1363759292435632,1.0558207380897031,-145.76811596420274,0.0001832528762134,,1.2492235209837403,0.0253174667198213,0.4326011212349752,0.5585155129552944,0.6013135735478466,-0.395951360746878,0.1826729304581423,-0.0214050282018213,-0.3627113997997707,18.11612378379956
Naive,,0.0802819152936487,0.1919637209852417,0.1889004764822974,1.020260753723843,-145.76811596420274,0.0001832528762134,,,0.020514862892682,0.404443771011005,0.498610932067782,0.5632581715115078,-0.5751020470058006,0.1395959477307145,-0.0294853079199901,-0.3129421465852898,12.315687145880576
