Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.0716965148790294,0.17993018080348389,0.14880872362025588,1.2091373168595054,-147.01284195499179,0.00023567894538563896,0.6573507042108364,0.03457222164088815,0.32429752280177443,0.44169467256583483,-0.5421248059065167,0.13225093944768254,-0.027808545896972334,-0.35768317498124197,13.98589533821049
ERC,GARCH,0.07257470558556878,0.18054985376053098,0.15689969726341396,1.150734239196214,-143.9656238149006,0.00023928520995899184,0.48738118902205674,0.03409475988912045,0.3280218488932987,0.4470677658888419,-0.539052981234033,0.1346337152600962,-0.02787691370809243,-0.347550857632356,13.747182006873462
ERC,Historical,0.0742382479479915,0.18507004143840056,0.17927536262291507,1.0323227839604148,-142.98505461146456,0.00027334937084046087,0.49837608096697716,0.0058697248783283005,0.3330869069185532,0.4550724595288423,-0.5510413355228699,0.13472355549797113,-0.028545181974776335,-0.3304931179429274,13.334293420127743
HRP,DCC,0.07054650486817815,0.1682210740485778,0.1373748663343606,1.2245404020204085,-147.01284195499179,0.00023567894538563896,,0.09185708417405247,0.32581477926137276,0.44158162472941603,-0.5095027808631543,0.138461471689447,-0.02601846852174381,-0.4151986584019294,15.434587181058884
HRP,GARCH,0.07201759955907261,0.16887577967355324,0.1451596154471971,1.1633799053083265,-143.9656238149006,0.00023928520995899184,,0.0710398914669853,0.3325737899085059,0.45125264793747877,-0.5045203894557699,0.14274467606107763,-0.026062408446479526,-0.403898375036033,15.235993098160431
HRP,Historical,0.07442950048647834,0.1761583080230426,0.16923750137900856,1.0408940488227538,-142.98505461146456,0.00027334937084046087,,0.008812638848642819,0.3393757743429174,0.4625763715032808,-0.5283292749284509,0.14087710830818143,-0.027166335841326356,-0.36024119927074527,14.30818121530535
MVP,DCC,0.07206169796525463,0.1428251563778105,0.11149685573745163,1.2809792297114595,-147.01284195499179,0.00023567894538563896,,0.2553722796134317,0.3542491190136064,0.4742158968620771,-0.42486361032439324,0.16961136754035924,-0.02164859998889316,-0.6871924336611964,18.632614635139785
MVP,GARCH,0.07090830464886744,0.14463967553208526,0.11538825995999391,1.2535042610247618,-143.9656238149006,0.00023928520995899184,,0.2829165077718124,0.3460997436914239,0.4651025743416653,-0.4169314175423925,0.1700718671354568,-0.021809626537874032,-0.5455495736601613,17.523704583135252
MVP,Historical,0.06766852162743642,0.1459272824683981,0.13778706527604648,1.0590782391369122,-142.98505461146456,0.00027334937084046087,,0.005065830483572605,0.3266561857109497,0.44310437825345067,-0.4128032678202671,0.1639243845736682,-0.021837363893941905,-0.2454537256859173,16.879606924501285
Naive,N/A,0.07358434711771467,0.1949654299058608,0.1905128522001601,1.0233715345410013,-142.98505461146456,0.00027334937084046087,,0.006033476132654426,0.32500584698289925,0.4451849051190291,-0.5723881257469512,0.12855673241245014,-0.03004108488794994,-0.30485454639746523,12.269549486184495
