Model,Covariance Type,Ann. Return,Ann. Std,Ann. Std (fcst),Real / Fcst Std,Avg QLIKE,Avg Cov RMSE,ERC RC RMSE,Avg Turnover,Ann. Sharpe,Ann. Sharpe (rf=0),Ann. Sortino,Max Drawdown,Calmar Ratio,CVaR (95%),Skewness,Excess Kurtosis
ERC,DCC,0.07175930599046665,0.18314725574387233,0.1508610237362125,1.2176627637307387,-143.66561021775516,0.00024022796697896373,0.4099732128744068,0.034571310311648194,0.3836799462625755,0.47031973311680497,0.5310061636836699,-0.5427686611942164,0.13220974444725606,-0.02839527914889199,-0.35817503195695166,13.598144419676766
ERC,GARCH,0.07249579289377017,0.18325020916709822,0.15010575849749333,1.2244000390972567,-142.4353851062255,0.000239345956362848,0.41601106659266623,0.03412344180361832,0.3873093170858416,0.473901098451947,0.536359731197198,-0.5361538255904528,0.1352145399949956,-0.028375094698343494,-0.3489257484487171,13.470203452173896
ERC,Historical,0.07434079424567686,0.18850421479318225,0.18071847178429956,1.0460962375020078,-139.57302866339515,0.0002769273063708027,0.5191516081877233,0.005887680031972828,0.39082710700268203,0.4750061606294514,0.5425150437327383,-0.5505419032272548,0.13503203627170624,-0.029167242873973917,-0.33114515431815345,12.96041446663654
HRP,DCC,0.0692729493781028,0.17144888199890498,0.13941552181380146,1.2336303414121068,-143.66561021775516,0.00024022796697896373,,0.08953497084394804,0.3841856178726434,0.476737292724149,0.5295022512496839,-0.504925924812547,0.13719428132714773,-0.026569603536010282,-0.41058663522868366,14.972607450498776
HRP,GARCH,0.07021722788545426,0.1720304137736056,0.1394494354490712,1.237521070577498,-142.4353851062255,0.000239345956362848,,0.07102333512176724,0.38859822050349874,0.48083942349480774,0.5360923141659045,-0.5057237663962632,0.1388450228191077,-0.026642048960915862,-0.4088240209709559,14.692120991247355
HRP,Historical,0.07304669013999687,0.17940207907839717,0.17065167068200718,1.0543926794843907,-139.57302866339515,0.0002769273063708027,,0.008131883568785993,0.3945751871331175,0.4830299268401027,0.5467666655698225,-0.526458232128166,0.138751159507396,-0.027779457011711327,-0.3620448193715383,13.890251590979476
MVP,DCC,0.06508622394343155,0.1454893895048564,0.11318760213478615,1.2908487045089423,-143.66561021775516,0.00024022796697896373,,0.2540921888077812,0.3974711641825946,0.5065369683877148,0.5426244520724421,-0.42359512400137,0.15365196683241578,-0.022129041178012607,-0.6869396454635763,18.1399078260315
MVP,GARCH,0.06557948798604385,0.14701560380573908,0.1131200254955563,1.3037512377672626,-142.4353851062255,0.000239345956362848,,0.2577038648484836,0.39792121063079267,0.5058639731718186,0.54743657934612,-0.40924406901856314,0.16024542064424932,-0.02221668421127612,-0.48341080834974903,17.66581117315326
MVP,Historical,0.06077411111523756,0.1499224023742918,0.13883650657152571,1.0816818568906803,-139.57302866339515,0.0002769273063708027,,0.0046896605042350496,0.3628313039555259,0.46867217550534757,0.5045452161150462,-0.4371757404222387,0.1390152872081601,-0.02258566686821895,-0.23039174051178046,16.052737538841196
Naive,N/A,0.07358902678270285,0.19825285046118138,0.1917903892683264,1.036625410624376,-139.57302866339515,0.0002769273063708027,,0.006039758661951554,0.3776158570038575,0.4576524873320073,0.5248237385885183,-0.5723881257469512,0.1285649080974053,-0.030643539201400626,-0.3064447876898924,11.974243955641514
