Model,Covariance Type,Window Index,Mean Return,Forecasted Std,RC RMSE
Naive,N/A,0,-3.585146148206153e-05,0.009536942801913405,
MVP,Historical,0,7.976358417922657e-05,0.007087144908063833,
HRP,Historical,0,-9.996169939563426e-05,0.008372494474535003,
ERC,Historical,0,-0.0001197366138262379,0.008901069455756225,0.02113620844129479
MVP,GARCH,0,1.4163915331388833e-05,0.0042359599789197405,
HRP,GARCH,0,0.00011140212196795174,0.005107882793502924,
ERC,GARCH,0,5.3652576142260155e-05,0.005520563303073728,0.020436786062620928
MVP,DCC,0,0.0001300932311094849,0.004297864236100666,
HRP,DCC,0,0.00012675480091124404,0.0051660612586304335,
ERC,DCC,0,1.5432391594294437e-05,0.00552015300045114,0.019516180769517256
Naive,N/A,1,0.0024402895587959605,0.009528964628778327,
MVP,Historical,1,0.003822574608234508,0.00707690174325141,
HRP,Historical,1,0.0028554125247228666,0.008357859178637135,
ERC,Historical,1,0.0025580781400568963,0.008891866203719793,0.03806065264410631
MVP,GARCH,1,0.002256483272382037,0.004050415006414943,
HRP,GARCH,1,0.002359398732417328,0.005021023022727603,
ERC,GARCH,1,0.002420001638992908,0.005462784772660279,0.028788017639687594
MVP,DCC,1,0.002277021135821644,0.004137992746539865,
HRP,DCC,1,0.0024225779985070695,0.005089309187421558,
ERC,DCC,1,0.0024336717721770928,0.005459542376835667,0.027756717531468633
Naive,N/A,2,0.0021243499920786226,0.009521381324032173,
MVP,Historical,2,0.0028143211807117653,0.007064979298446569,
HRP,Historical,2,0.002349827279105565,0.008356337002074247,
ERC,Historical,2,0.0021814239794911263,0.008884713378737301,0.02294661290579933
MVP,GARCH,2,0.000539107654078741,0.004061688908527976,
HRP,GARCH,2,0.001544737622489134,0.004914087484596124,
ERC,GARCH,2,0.0017874270417660876,0.005345381771852158,0.013543493034066826
MVP,DCC,2,0.0006054639373882509,0.0041348159174011065,
HRP,DCC,2,0.001586632655121778,0.004945779578073465,
ERC,DCC,2,0.0018104116112415802,0.005279406121452672,0.0137883523761116
Naive,N/A,3,0.0010533635097123462,0.00951815017787941,
MVP,Historical,3,9.305781437708438e-05,0.007062679252388302,
HRP,Historical,3,0.000875259608709078,0.008353938709804219,
ERC,Historical,3,0.0009406748960067324,0.008881236307179616,0.027888312675558538
MVP,GARCH,3,0.00022441612581464154,0.004073541060891033,
HRP,GARCH,3,0.0008118250495761537,0.005100899182826037,
ERC,GARCH,3,0.0009047127739962857,0.005681142569446539,0.019764563249222458
MVP,DCC,3,0.0002413786740370405,0.004114078993231472,
HRP,DCC,3,0.000773835802067624,0.004985394083057151,
ERC,DCC,3,0.0008931465567430074,0.005619619690010657,0.019057239047856087
Naive,N/A,4,-0.0046428276773527125,0.009497151011345687,
MVP,Historical,4,-0.00446501051709729,0.007057667237420247,
HRP,Historical,4,-0.0043832818152337305,0.008340007748586531,
ERC,Historical,4,-0.004481345836267215,0.008862936414275102,0.013956564566598724
MVP,GARCH,4,-0.004044812156480037,0.004042007968213052,
HRP,GARCH,4,-0.004377951374841515,0.004973893769757189,
ERC,GARCH,4,-0.004521291997240495,0.005479766550602665,0.016247830699653566
MVP,DCC,4,-0.004036966905414141,0.003977607989940017,
HRP,DCC,4,-0.004347571050490051,0.004806766149449609,
ERC,DCC,4,-0.004513990989844963,0.005399451347629994,0.016448009804945277
Naive,N/A,5,0.00031474162919590263,0.00952390164908658,
MVP,Historical,5,0.0003316757659683978,0.00709035661239408,
HRP,Historical,5,0.0002966552308442894,0.008373568509010387,
ERC,Historical,5,0.0003271069104025637,0.008892950771655436,0.024550795524974883
MVP,GARCH,5,0.0002451307161292049,0.006823993643679688,
HRP,GARCH,5,0.000256172970354962,0.007815241393693379,
ERC,GARCH,5,0.000279671396304515,0.008065274353509866,0.015871128702863353
MVP,DCC,5,0.00019317154619697964,0.007039202114082773,
HRP,DCC,5,0.00027178745333025225,0.008057282031108127,
ERC,DCC,5,0.0002820813662263499,0.008395416592278902,0.015150786472910108
Naive,N/A,6,0.0021270951091115764,0.009539299318225567,
MVP,Historical,6,0.0021088888751972347,0.0071288312044435415,
HRP,Historical,6,0.0022496753714803972,0.008403305753195157,
ERC,Historical,6,0.002259908440184566,0.008915242939168386,0.015657221452557806
MVP,GARCH,6,0.0024976502675334356,0.0067273051038552936,
HRP,GARCH,6,0.0022096595502744234,0.00760387560436712,
ERC,GARCH,6,0.002215646209548261,0.007806580719834248,0.009696111364277239
MVP,DCC,6,0.0028659419034276603,0.006999603733501159,
HRP,DCC,6,0.0022368120415557913,0.007918359230556468,
ERC,DCC,6,0.0022303835636344415,0.00821646485893316,0.01025062669763277
Naive,N/A,7,0.002733274398437491,0.009540971110043544,
MVP,Historical,7,0.001170647260101354,0.007137682613775053,
HRP,Historical,7,0.002428951146195657,0.008409795890159048,
ERC,Historical,7,0.002643627594863218,0.008919416032711304,0.016220278929459944
MVP,GARCH,7,0.002695136405431897,0.0058562407550707485,
HRP,GARCH,7,0.0026614857436394026,0.006686322241422506,
ERC,GARCH,7,0.002735501434711951,0.006924882543211505,0.015555034466972066
MVP,DCC,7,0.0028122904118489276,0.006099583610469286,
HRP,DCC,7,0.002742249495659599,0.006981715251909248,
ERC,DCC,7,0.0027451147112931727,0.007301410165533558,0.015605391002611968
Naive,N/A,8,0.002361880449267917,0.009537833247049633,
MVP,Historical,8,0.0017746164007972798,0.007137262567951049,
HRP,Historical,8,0.00215720876461043,0.008409734357643757,
ERC,Historical,8,0.0022546731552900434,0.008918302758569589,0.01991370212788038
MVP,GARCH,8,0.0016933950488050465,0.005204514353705724,
