Date,Historical,GARCH,DCC
2008-11-28,-93.01852842597506,-107.32378548856447,-112.37273001788748
2008-12-01,68.98502686220888,-102.07334747859456,-110.28296838084655
2008-12-02,-79.6472143446168,-106.59576153811497,-114.98090331594737
2008-12-03,-84.20363939127336,-105.94298274282883,-113.83025913483242
2008-12-04,-84.25758752033902,-103.20049912814035,-107.90420905182242
2008-12-05,-84.7646223884178,-107.24518153264289,-113.21893005417945
2008-12-08,-80.50776790646013,-106.50681046209861,-113.77742518960059
2008-12-09,-86.83900036293632,-105.77933303175496,-111.8655167637575
2008-12-10,-104.1406537295135,-109.53664451896218,-116.38177606002698
2008-12-11,-40.11592059257498,-108.99841966214376,-116.55500897835537
2008-12-12,-36.28653707410167,-107.99661002804986,-111.54917675216169
2008-12-15,-132.91226901443645,-113.63203214693638,-121.31513831374131
2008-12-16,-86.6649973058412,-111.71981001467955,-120.10784837864401
2008-12-17,-118.14159390593093,-110.98573840321406,-117.35337086037255
2008-12-18,-75.01942573842511,-109.84321024148012,-115.75421995260066
2008-12-19,-122.7334529396523,-115.47048683725689,-121.89117094294988
2008-12-22,-128.85006241811317,-116.63062067721864,-123.91818406988824
2008-12-23,-135.16479431317464,-117.31274994185253,-124.28312080840777
2008-12-24,-131.20795118517066,-119.56928020164574,-127.02014523812704
2008-12-25,-148.52454616022416,-122.23912066516826,-131.12132913409482
2008-12-26,-140.8809179332936,-122.20561560876754,-130.1761861462713
2008-12-29,-131.1412576737952,-122.94160208745578,-130.8657198652475
2008-12-30,-131.24227001681513,-122.23992037240599,-129.0599009995441
2008-12-31,-135.38122831368494,-122.9128092452157,-129.8608715802916
2009-01-01,-148.54295434535254,-127.1182457351354,-131.8968780444764
2009-01-02,-120.01435202700335,-116.9128597770779,-122.43976867869311
2009-01-05,-132.96913312753756,-124.40470051047575,-128.94186630752978
2009-01-06,-97.112766265998,-118.99102443092899,-120.3501729496815
2009-01-07,-127.14899637452483,-123.97016085158296,-130.50805735644278
2009-01-08,-132.1706853095571,-125.23685925246406,-130.88453446101326
2009-01-09,-131.35975649064812,-125.60500837195428,-131.0581286709287
2009-01-12,-101.24508819387053,-121.8314113217453,-127.89815677548066
2009-01-13,-114.03401078838172,-117.0145614266116,-112.7676038430274
2009-01-14,-117.84351750872814,-121.56578912439038,-125.39533319025401
2009-01-15,-78.36815221850316,-114.03134728778578,-114.46454296240506
2009-01-16,-114.6994844220442,-119.2211991927101,-123.56334454382637
2009-01-19,-148.47740079192968,-131.79367398112595,-140.08754648858454
2009-01-20,-33.43865301829378,-105.3845292994638,-106.14723506087549
2009-01-21,-53.52773256294313,-114.93308515413676,-117.77560814460603
2009-01-22,-110.2110373198671,-121.7976426039541,-125.9285013599736
2009-01-23,-101.74964184850151,-117.85626839051311,-121.07372247678451
2009-01-26,-120.7112707291275,-116.07058823150334,-116.0597894452889
2009-01-27,-124.96820067459296,-123.24193715995186,-125.7112925441542
2009-01-28,-102.88182220150304,-126.12122639806739,-133.1772910975461
2009-01-29,-105.69997146598654,-123.59844918510053,-127.53460227544065
2009-01-30,-119.1138631515295,-114.48555592922455,-115.64372895736946
2009-02-02,-115.09753992742048,-120.40748856691302,-119.64832340628155
2009-02-03,-101.01638464117039,-115.24699075680418,-118.37151178408328
2009-02-04,-114.08443849276452,-117.10208131734616,-117.54228894235223
2009-02-05,-108.645630307669,-121.7092369061712,-121.20740077805141
2009-02-06,-116.17354056923013,-125.46011563194745,-130.59429592721065
2009-02-09,-132.60799572662765,-126.00584307096057,-131.54280463648612
2009-02-10,-109.69099099290072,-122.04149287721658,-129.24880146507118
2009-02-11,-110.41011478327998,-120.75101263192579,-120.12773548817944
