"Date","Historical","GARCH","DCC"
"2002-02-25",-135.175216848301,-136.522164556664,-136.875345182536
"2002-02-26",-137.188753163042,-138.432198228384,-138.539626370357
"2002-02-27",-137.179514111929,-140.16946354199,-140.627389951455
"2002-02-28",-133.617222167807,-134.40613292514,-135.593045753561
"2002-03-01",-129.520095311293,-129.058062108434,-132.993741558828
"2002-03-04",-127.967725638352,-128.422505711106,-129.380905260405
"2002-03-05",-124.232484775653,-121.621671910364,-121.666326730525
"2002-03-06",-136.644941755535,-138.973502089055,-139.854524650066
"2002-03-07",-140.926463858288,-142.126956182905,-142.927037420706
"2002-03-08",-135.46937558964,-137.673709831747,-137.832706529207
"2002-03-11",-139.876226343128,-143.002841396924,-143.743201329666
"2002-03-12",-136.326497861522,-139.04104015644,-139.3526480969
"2002-03-13",-137.661510280147,-140.069016158303,-141.699034325892
"2002-03-14",-139.823373223321,-143.05681903606,-143.125089657229
"2002-03-15",-139.58245913352,-140.987478450774,-141.818482235153
"2002-03-18",-138.772264200775,-142.225337882957,-142.300879495445
"2002-03-19",-140.873056232523,-145.180574994415,-145.48108245382
"2002-03-20",-134.961129365162,-133.494725909271,-134.057029074843
"2002-03-21",-129.247193038255,-126.707847277293,-128.431576069329
"2002-03-22",-137.606817816414,-139.515369995988,-139.353235218429
"2002-03-25",-140.859363984695,-145.377746342141,-145.843639538186
"2002-03-26",-130.590425756965,-130.541853330402,-130.507384683867
"2002-03-27",-137.27958491665,-139.898782477535,-141.023436207205
"2002-03-28",-140.377637091131,-144.343617198064,-143.802322442075
"2002-03-29",-144.365619958689,-150.882482972746,-151.225010036614
"2002-04-01",-135.989376877885,-137.645856738547,-136.941350461504
"2002-04-02",-136.664532001817,-140.290550768145,-140.579114382373
"2002-04-03",-138.796613635887,-144.000886305244,-144.346493117559
"2002-04-04",-129.748128457373,-124.590608317277,-125.424524224596
"2002-04-05",-134.850465082249,-138.155453684552,-138.412474444457
"2002-04-08",-135.813342837728,-139.630154777496,-139.028036853303
"2002-04-09",-132.972769946079,-133.526752292184,-135.68757160561
"2002-04-10",-137.389241326721,-140.131827269969,-139.208913243614
"2002-04-11",-139.590587400067,-143.300070119887,-143.684413293416
"2002-04-12",-130.035354789217,-132.552831293034,-132.420500366331
"2002-04-15",-135.305517075694,-138.540130693909,-139.096272229123
"2002-04-16",-133.754540446584,-132.748297266843,-133.461431825807
"2002-04-17",-126.515695855133,-126.074509141942,-126.311869612441
"2002-04-18",-136.139532701649,-138.67552936216,-138.509979922579
"2002-04-19",-136.771722646685,-137.379383939822,-138.629477000712
"2002-04-22",-133.25003839082,-134.56398614704,-134.092872825736
"2002-04-23",-132.45847666421,-133.040789907929,-133.647650582726
"2002-04-24",-136.755455960994,-140.644970365022,-141.010475799019
"2002-04-25",-135.533132564043,-138.784725809487,-138.417167706556
"2002-04-26",-134.470724521499,-136.832420599543,-137.510562298261
"2002-04-29",-137.889070400299,-141.065530627759,-141.381742621955
"2002-04-30",-128.545287438937,-127.093494018615,-125.624425185661
"2002-05-01",-131.287735408731,-128.671277704852,-128.84808703722
"2002-05-02",-133.246978916028,-135.199417546009,-134.281858505054
"2002-05-03",-139.745321074944,-141.545701512111,-142.545645787708
"2002-05-06",-129.513726947667,-130.423952789959,-130.332317497849
"2002-05-07",-135.997047281786,-137.1533091317,-137.157392801672
"2002-05-08",-116.993440072003,-108.002195673602,-114.298330290688
"2002-05-09",-136.981851727354,-139.00562274678,-139.275755013524
"2002-05-10",-138.236288404516,-138.882995213641,-139.22091622191
"2002-05-13",-134.248749745994,-136.351725374655,-138.0429312207
"2002-05-14",-130.614896071594,-128.866060438055,-130.90199403409
"2002-05-15",-134.559013981891,-136.218587146846,-136.509789923659
"2002-05-16",-128.935094872821,-126.60985227071,-126.81421823095
"2002-05-17",-136.225383306917,-137.419924007498,-137.094593224532
"2002-05-20",-134.621607413778,-137.309712028602,-137.762740982039
"2002-05-21",-135.932888521791,-136.34061835616,-137.445103331744
"2002-05-22",-135.886990146608,-138.389326618873,-138.88178687766
"2002-05-23",-137.646648062582,-138.645931332088,-138.59197065877
"2002-05-24",-138.359268133776,-141.234675717223,-142.511589365745
"2002-05-27",-144.426965600135,-148.192458109038,-148.697375586924
"2002-05-28",-141.475415481401,-144.200179702182,-144.605386439456
"2002-05-29",-137.644112150529,-140.66887155818,-141.450995988821
"2002-05-30",-136.138517002406,-137.881858835555,-138.807151450115
"2002-05-31",-136.879842858603,-137.391547227773,-138.20107181434
"2002-06-03",-131.286726266477,-132.723409646699,-133.346239899968
"2002-06-04",-134.471891633805,-136.277696254257,-137.60480452481
"2002-06-05",-136.578002412063,-139.133466416696,-140.242440037586
"2002-06-06",-127.051495318438,-128.355007553822,-128.908294277139
"2002-06-07",-131.4779762309,-131.255661303196,-131.47404201264
"2002-06-10",-136.745050485435,-137.797315673489,-137.021445683217
"2002-06-11",-127.661531109971,-131.775495860334,-132.819282743104
"2002-06-12",-126.207963418081,-122.565978559041,-124.859393363403
"2002-06-13",-134.682951380013,-135.289561346529,-135.464524725211
"2002-06-14",-137.546554590715,-139.52968688878,-139.780879082977
"2002-06-17",-130.210251607564,-130.901757391657,-132.36912610434
"2002-06-18",-136.387135418555,-137.248351519721,-138.749436857223
"2002-06-19",-133.157291419114,-133.905473092884,-136.796964888568
"2002-06-20",-130.831142915519,-131.128443742602,-130.975150111996
"2002-06-21",-130.76002079733,-132.58828342774,-132.750975428079
"2002-06-24",-132.737888015343,-133.565098011161,-134.337046325589
"2002-06-25",-114.164161153923,-105.807803478114,-107.396925026862
"2002-06-26",-128.807651074342,-130.214367266179,-131.328182555159
"2002-06-27",-126.957382739763,-127.153763490354,-126.392052645253
"2002-06-28",-118.156224219311,-118.481278061038,-119.623532396227
"2002-07-01",-122.40386077498,-126.977941351893,-125.968874923119
"2002-07-02",-120.452698334209,-123.402429140263,-121.98274981365
"2002-07-03",-127.340522142309,-124.229153871069,-123.105508516363
"2002-07-04",-144.241816733719,-143.63472319553,-144.349374796853
"2002-07-05",-127.849423948795,-128.040403048146,-130.147734654123
"2002-07-08",-134.332226824398,-132.305210943506,-134.112860024728
"2002-07-09",-123.18390098534,-123.280179893749,-124.052010444811
"2002-07-10",-91.4794713075099,-106.966629812547,-107.973654808586
"2002-07-11",-90.4567160684562,-109.731170849647,-108.830880020603
"2002-07-12",-120.825674035236,-124.330326078957,-124.180508392809
"2002-07-15",-124.818836539803,-125.149264573168,-125.892384915357
"2002-07-16",-111.182152664245,-113.379524791051,-112.859567028026
"2002-07-17",-123.334574682839,-126.282831799773,-125.64499172998
"2002-07-18",-50.7320761880553,-69.5707379107649,-59.5450728133965
"2002-07-19",-81.9170032670223,-87.5404885290237,-91.6410208249214
"2002-07-22",-81.7508541332967,-89.7349628003041,-84.7677579639468
"2002-07-23",-33.9317331681854,-86.0029774202154,-84.96847075604
"2002-07-24",-79.1115738910059,-105.933162550527,-110.543849112619
"2002-07-25",-95.7980676631375,-102.460066728423,-102.160101028145
"2002-07-26",-106.020480335948,-117.717962584802,-118.334606906451
"2002-07-29",-59.5621146048008,-107.752480790706,-108.842740516783
"2002-07-30",-91.0630773682078,-113.450363058225,-114.223508766081
"2002-07-31",-114.807460060319,-117.387241728526,-118.024620245121
"2002-08-01",-111.121747596469,-112.79720121451,-113.988628141463
"2002-08-02",-116.092072611213,-118.299087593017,-118.369925817853
"2002-08-05",-114.95820001423,-116.685940042641,-118.05645658677
"2002-08-06",-126.464870171823,-120.358500170886,-122.015475878377
"2002-08-07",-133.197151465583,-123.5665470678,-124.858697199513
"2002-08-08",-121.124268895071,-118.942839718527,-119.566772922596
"2002-08-09",-132.063577668174,-124.93197554046,-126.25795619167
"2002-08-12",-132.691373917459,-125.301909161559,-126.249318210139
"2002-08-13",-123.974288923063,-122.688954721129,-123.227914501492
"2002-08-14",-106.325027218707,-109.923294256733,-111.353156358617
"2002-08-15",-115.518455408923,-119.848101950978,-118.827381545479
"2002-08-16",-123.550752507963,-120.445388697269,-119.751369957553
"2002-08-19",-135.932426097675,-129.564243146976,-130.769072559526
"2002-08-20",-137.654060918071,-131.432456029761,-132.727368559628
"2002-08-21",-132.263588103767,-126.215806504148,-127.548332674694
"2002-08-22",-133.569505919737,-132.392752951619,-132.850118417304
"2002-08-23",-136.846753921489,-133.09410179891,-134.650457211612
"2002-08-26",-135.633152753977,-131.692548986361,-132.623851652158
"2002-08-27",-131.936750559135,-130.376355934585,-131.330606111961
"2002-08-28",-131.382080217927,-129.770311225508,-130.245964977118
"2002-08-29",-137.722665853088,-134.871521902519,-135.678085916822
"2002-08-30",-139.077729758181,-137.02910301419,-138.160734297214
"2002-09-02",-143.011339561025,-142.070273861073,-143.420557134143
"2002-09-03",-123.156710813223,-120.283466092991,-122.266978680099
"2002-09-04",-128.116480723238,-129.156088717026,-129.686887454308
"2002-09-05",-130.447047192089,-127.343502125593,-128.931344310932
"2002-09-06",-132.816014101873,-131.542102337886,-132.476690902797
"2002-09-09",-132.189662817196,-130.085396286363,-131.388836040002
"2002-09-10",-130.491649657846,-128.128907745446,-128.302416768773
"2002-09-11",-140.683898193573,-138.953186625878,-140.369568861831
"2002-09-12",-130.408463558019,-129.308044893021,-131.703593634789
"2002-09-13",-120.201164968799,-119.096871394971,-118.54124160053
"2002-09-16",-134.179050393673,-132.318925432363,-133.734245666014
"2002-09-17",-129.769868156068,-128.987651253244,-130.173957355117
"2002-09-18",-131.769705027799,-133.460981084277,-133.81896543664
"2002-09-19",-107.937063719686,-108.789152371844,-109.911894405295
"2002-09-20",-134.310478944586,-133.635372613241,-134.335542311478
"2002-09-23",-126.46360725514,-125.374655719469,-124.77244604667
"2002-09-24",-121.390267259296,-117.337794468247,-116.048334140089
"2002-09-25",-98.5404116348291,-108.022887244469,-105.679058869123
"2002-09-26",-114.979141730787,-114.219620648921,-112.595898378057
"2002-09-27",-123.351779338875,-122.741198325663,-123.620403372674
"2002-09-30",-125.980308912985,-123.854475327628,-124.992148771339
"2002-10-01",-120.217351130307,-120.796207699527,-122.272510930641
"2002-10-02",-128.215299681476,-128.000201618164,-129.321264932875
"2002-10-03",-116.134350895975,-120.695241917243,-120.618220484288
"2002-10-04",-124.058391106501,-123.99044279527,-123.589487483977
"2002-10-07",-110.422707589444,-118.429982018706,-118.422879031771
"2002-10-08",-80.1599252940294,-101.738458394841,-99.5244405024294
"2002-10-09",-55.0052806958572,-104.428414584582,-103.92297835395
"2002-10-10",-91.2739814298507,-120.662869239508,-122.246575390458
"2002-10-11",-113.414269040145,-120.149378389405,-122.019674071246
"2002-10-14",-119.13214406156,-120.074800087539,-121.907811717145
"2002-10-15",-102.687089146947,-114.590180761285,-117.116690679017
"2002-10-16",-105.487574194379,-106.148330655411,-106.362980416907
"2002-10-17",-96.6314819156769,-114.436191993879,-111.575208931865
"2002-10-18",-131.962433360136,-125.226053310966,-126.395528393706
"2002-10-21",-107.040753156384,-110.572293638511,-111.06239099615
"2002-10-22",-118.269825898387,-120.547350812062,-121.471713715561
"2002-10-23",-127.176197539382,-124.047896778358,-125.813563691137
"2002-10-24",-131.832641571046,-125.699166558564,-126.714918454065
"2002-10-25",-129.214280504154,-126.64323913356,-128.222928507754
"2002-10-28",-122.888728464706,-115.979609562473,-118.444759840396
