"Model","Covariance Type","Window Index","Mean Return","Forecasted Std","RC RMSE"
"Naive","N/A",0,0.00220126526099312,0.00981858034914116,NA
"MVP","Historical",0,0.00244027651654341,0.00573777731723437,NA
"HRP","Historical",0,0.00220336178557614,0.00715817656797506,NA
"ERC","Historical",0,0.00221188065829878,0.00849706085716016,0.017870617259077
"MVP","GARCH",0,0.00226871331325595,0.00554767357799856,NA
"HRP","GARCH",0,0.00210429216257397,0.00678069829649609,NA
"ERC","GARCH",0,0.00215564630990213,0.00777021549083968,0.0156025546875259
"MVP","DCC",0,0.00229743814047032,0.00571848594968524,NA
"HRP","DCC",0,0.0020547085150597,0.00726410473027655,NA
"ERC","DCC",0,0.0021464516487192,0.00810328713725272,0.0151966067417559
"Naive","N/A",1,0.000292388219052334,0.00985513154321431,NA
"MVP","Historical",1,0.000268222298197553,0.00562645043779465,NA
"HRP","Historical",1,0.000354482282435403,0.00705999144556096,NA
"ERC","Historical",1,0.000391007361798431,0.00849707893118598,0.0124782904027916
"MVP","GARCH",1,0.0005231575067011,0.0052095162319618,NA
"HRP","GARCH",1,0.000428539637106648,0.00644958572194163,NA
"ERC","GARCH",1,0.000405458487731804,0.00752606366635851,0.0137379774954219
"MVP","DCC",1,0.000539872032390812,0.00536580877456876,NA
"HRP","DCC",1,0.000411721298591024,0.00686461929247417,NA
"ERC","DCC",1,0.000424079558754514,0.00775816414809592,0.0143343552566464
"Naive","N/A",2,-0.000420440177216538,0.00982818793957262,NA
"MVP","Historical",2,-1.03623706812253e-05,0.005594204688677,NA
"HRP","Historical",2,-0.000297952686719938,0.00711534673382295,NA
"ERC","Historical",2,-0.000449260716295098,0.00846951753444156,0.025206397581252
"MVP","GARCH",2,4.43961822481674e-05,0.00529550763536675,NA
"HRP","GARCH",2,-0.000320722599401016,0.00661174731289176,NA
"ERC","GARCH",2,-0.000450401231513007,0.0076279721472373,0.0258163369233854
"MVP","DCC",2,3.26497688522174e-05,0.00541789355951586,NA
"HRP","DCC",2,-0.000392434035968042,0.00685674312089196,NA
"ERC","DCC",2,-0.000459780058129371,0.00787337551020615,0.0252100896214791
"Naive","N/A",3,-0.00241746782782505,0.0098988661804737,NA
"MVP","Historical",3,-0.000530719486900755,0.0056450537159912,NA
"HRP","Historical",3,-0.00133003130797723,0.00709004303243567,NA
"ERC","Historical",3,-0.00194067286712588,0.00852532828920308,0.0171469832876522
"MVP","GARCH",3,-0.000326827986729227,0.00523061637866074,NA
"HRP","GARCH",3,-0.00122007107707439,0.00658053076716656,NA
"ERC","GARCH",3,-0.00183874806041298,0.00785648768843225,0.0160092069680823
"MVP","DCC",3,-0.000406959884966998,0.0053149173941039,NA
"HRP","DCC",3,-0.00124233690469822,0.00687082227863273,NA
"ERC","DCC",3,-0.00181305782274431,0.0080967935923607,0.0156986162619291
"Naive","N/A",4,-0.00808599759568619,0.00998329690593309,NA
"MVP","Historical",4,-0.00750580129139595,0.0056784409636965,NA
"HRP","Historical",4,-0.0081425883102261,0.00725277084669379,NA
"ERC","Historical",4,-0.00833609434938182,0.00861064645428431,0.0230833716605449
"MVP","GARCH",4,-0.00793018251535136,0.00527891896997185,NA
"HRP","GARCH",4,-0.00831824737122887,0.00677147216094682,NA
"ERC","GARCH",4,-0.00839819619168216,0.00803431903011544,0.0246660690124352
"MVP","DCC",4,-0.00791846341655653,0.00538726190993256,NA
"HRP","DCC",4,-0.00821218736037807,0.00716101289778475,NA
"ERC","DCC",4,-0.00837604671733523,0.00843187259999833,0.0237951813606616
"Naive","N/A",5,0.00465948689412586,0.0103007990402443,NA
"MVP","Historical",5,0.00395736490608421,0.0060680581184629,NA
"HRP","Historical",5,0.00459117785850978,0.00766462264450903,NA
"ERC","Historical",5,0.00475053324460517,0.00903612861849907,0.018770973551614
"MVP","GARCH",5,0.0032477335599412,0.00832635783165788,NA
"HRP","GARCH",5,0.00408167087858694,0.0102674557912564,NA
"ERC","GARCH",5,0.00442307608468154,0.011730702134567,0.0200887854800224
"MVP","DCC",5,0.00295251030629874,0.00857461994945894,NA
"HRP","DCC",5,0.0038823489176054,0.0113451878966539,NA
"ERC","DCC",5,0.00435027994433289,0.0126559397749867,0.0189189104798303
"Naive","N/A",6,-0.00291410469404038,0.0109510585354436,NA
"MVP","Historical",6,-0.00117231139982643,0.0067616501430346,NA
