Model,Covariance Type,Window Index,Mean Return,Forecasted Std
Naive,N/A,0,0.006568156152443052,0.009818580349141163
MVP,Historical,0,0.003253512864050212,0.0057399594279004375
HRP,Historical,0,0.004625223860033322,0.007158176567975058
ERC,Historical,0,0.005732514244738585,0.008497060914062321
MVP,GARCH,0,0.0033336448523346406,0.005680533321279996
HRP,GARCH,0,0.004750732832882317,0.006733833630118225
ERC,GARCH,0,0.005695710500888493,0.007519972853860381
MVP,DCC,0,0.0029848438550636553,0.005840918228633338
HRP,DCC,0,0.004890220297498566,0.007197337889964137
ERC,DCC,0,0.005677404922670364,0.007841100490375282
Naive,N/A,1,0.0052730600469702935,0.009830437787472753
MVP,Historical,1,0.003947961786678286,0.005740496775494592
HRP,Historical,1,0.003944498239865447,0.007162237419344539
ERC,Historical,1,0.004472885338456305,0.008503863617260911
MVP,GARCH,1,0.002439399603925144,0.005451762694622639
HRP,GARCH,1,0.0032919502065676793,0.006567903606229339
ERC,GARCH,1,0.004071713232789936,0.0074912997896222815
MVP,DCC,1,0.002343013155792409,0.005642504364013952
HRP,DCC,1,0.0033651128779403675,0.007059177969296933
ERC,DCC,1,0.004047667799882271,0.007850671122079655
Naive,N/A,2,0.0008256481775400767,0.009859666307357802
MVP,Historical,2,0.001527506846814139,0.005716152424241435
HRP,Historical,2,0.0016447815975729522,0.007199080127672168
ERC,Historical,2,0.0013345676683702832,0.008508568287020145
MVP,GARCH,2,0.001981742596178766,0.005100253424258856
HRP,GARCH,2,0.0020220559163584475,0.00637698159270017
ERC,GARCH,2,0.001567525907853864,0.007545488332686225
MVP,DCC,2,0.00218721349081799,0.0052172694271330035
HRP,DCC,2,0.002023841359081977,0.006779515443235019
ERC,DCC,2,0.0016159630674533459,0.007863589622596527
Naive,N/A,3,-0.0012493022701306992,0.009844142506531723
MVP,Historical,3,0.002440712936881421,0.005625014595247697
HRP,Historical,3,0.00044497925839542785,0.007138677358064663
ERC,Historical,3,-0.00041851565015259143,0.008488625052752745
MVP,GARCH,3,0.002630790995888493,0.00503028651356508
HRP,GARCH,3,0.0003667772732258817,0.006237616875827369
ERC,GARCH,3,-0.00043496676606361343,0.007262496227262245
MVP,DCC,3,0.002708277073907523,0.0051498638783508115
HRP,DCC,3,5.11380586514619e-05,0.006631192922338613
ERC,DCC,3,-0.00046392620726461544,0.007543482222547749
Naive,N/A,4,0.0011752158201531985,0.009849342959877506
MVP,Historical,4,0.00047402550944585485,0.005628608403440539
HRP,Historical,4,0.0010122200768899075,0.007055649534464098
ERC,Historical,4,0.001245491367686859,0.00849192604053865
MVP,GARCH,4,0.0007097765340905721,0.005065575580898431
HRP,GARCH,4,0.0010493399324328074,0.0062267011388454025
ERC,GARCH,4,0.001216993180053633,0.007211511865109831
MVP,DCC,4,0.0007869127059928213,0.005217879091674952
HRP,DCC,4,0.0012100810622133389,0.0066042976022712375
ERC,DCC,4,0.0012342168019958823,0.007418964648838367
Naive,N/A,5,-0.002969749105094244,0.009836702866252076
MVP,Historical,5,-4.34353804958704e-05,0.005621115110236237
HRP,Historical,5,-0.0017120218935528918,0.007046567726046663
ERC,Historical,5,-0.0025422765251170722,0.008479574074735409
MVP,GARCH,5,-0.00012881247395816093,0.004927493457741613
HRP,GARCH,5,-0.0019907386078139616,0.006025924248903942
ERC,GARCH,5,-0.00263128846129482,0.0069724351777094426
MVP,DCC,5,-4.3419666279450935e-05,0.005071183055147407
HRP,DCC,5,-0.002091895275838201,0.0063648404137532635
ERC,DCC,5,-0.002605097610913755,0.007187041392077063
Naive,N/A,6,0.0022625460390228542,0.009840004535446752
MVP,Historical,6,0.0034538294062665177,0.005612232773124182
HRP,Historical,6,0.0030094652937424533,0.0071301841190929355
ERC,Historical,6,0.0024186918177563814,0.008481076102290151
MVP,GARCH,6,0.0036660613754046717,0.004941736152196501
HRP,GARCH,6,0.003067204796433614,0.006064575461454619
ERC,GARCH,6,0.0025012698929911233,0.006929618145236827
MVP,DCC,6,0.0037429733863978978,0.005058456519900385
HRP,DCC,6,0.003104120298830392,0.006225663009203776
ERC,DCC,6,0.002562766213959887,0.007090631692133127
Naive,N/A,7,0.0014956489492686034,0.009850760587091428
MVP,Historical,7,-0.0016131445289404775,0.005596774576435613
HRP,Historical,7,5.330876931528557e-05,0.007031535199563592
ERC,Historical,7,0.0012327451636935404,0.0084876346477588
MVP,GARCH,7,-0.0009158093771034651,0.005236116476884314
HRP,GARCH,7,0.0005039463881550144,0.006395375338338757
ERC,GARCH,7,0.001338152474871059,0.0073798008111431515
MVP,DCC,7,-0.0009166552817595427,0.00541618703878714
HRP,DCC,7,0.0004268836712027005,0.006859474594699812
ERC,DCC,7,0.0013068919272045873,0.007644045293715531
Naive,N/A,8,-0.006287372135334521,0.009824567998665075
MVP,Historical,8,-0.0028713899252811818,0.005594407995883178
HRP,Historical,8,-0.004376200185275435,0.007023486220668954
ERC,Historical,8,-0.0054794726772097015,0.008467817783640386
MVP,GARCH,8,-0.002878502505261964,0.005247456502815586
HRP,GARCH,8,-0.004671283591173611,0.006376209056414342
ERC,GARCH,8,-0.005594778010628268,0.007309445548250917
MVP,DCC,8,-0.0029888223292016923,0.005374677512028627
HRP,DCC,8,-0.004800234355525361,0.006644366124489955
ERC,DCC,8,-0.005588122596878396,0.007547009338984495
Naive,N/A,9,0.0014371637962063226,0.009837146255672445
MVP,Historical,9,0.004372295708465462,0.0056081151520238435
HRP,Historical,9,0.0030736688798970466,0.00712848472503447
ERC,Historical,9,0.0022246051159354636,0.008478201833625007
MVP,GARCH,9,0.004537960191754409,0.005348585331922612
HRP,GARCH,9,0.002909886730620169,0.006499837773061749
ERC,GARCH,9,0.0021713380679030405,0.007322293075762146
MVP,DCC,9,0.0044755804226317055,0.005482169473965303
HRP,DCC,9,0.002757166135120553,0.006725502318140596
ERC,DCC,9,0.0021798127234435804,0.007560715003017027
Naive,N/A,10,-0.003264646047786518,0.009830830577422886
MVP,Historical,10,-0.006153148484717277,0.005621704205790159
HRP,Historical,10,-0.00473112236693298,0.007137325114391872
ERC,Historical,10,-0.003957564029700643,0.008477503792444503
MVP,GARCH,10,-0.005745922794479058,0.005304455890039506
HRP,GARCH,10,-0.004523891827225103,0.006473131012179427
ERC,GARCH,10,-0.003907887334461049,0.007304217881147531
MVP,DCC,10,-0.005836177124536606,0.005425092008768754
HRP,DCC,10,-0.004520040756330114,0.0066752224782741
ERC,DCC,10,-0.003921130195343524,0.0075233997689473885
Naive,N/A,11,0.006345868646635023,0.009884804179406965
MVP,Historical,11,0.0029986959919500013,0.00564774715283266
HRP,Historical,11,0.0039533702743971225,0.007086467583545329
ERC,Historical,11,0.0046967276087804405,0.008518885205112212
MVP,GARCH,11,0.00275413789517065,0.005513574245243777
HRP,GARCH,11,0.003783722943852489,0.0067661814265452865
ERC,GARCH,11,0.00456580362150778,0.007851685255671212
MVP,DCC,11,0.002698241454706411,0.005669859617516654
HRP,DCC,11,0.00402631344250495,0.0071454984115655006
ERC,DCC,11,0.004550786560129434,0.008164720523201389
Naive,N/A,12,-0.002686909787114197,0.009904255011768195
MVP,Historical,12,0.00039697606995287363,0.0056475227216549115
HRP,Historical,12,-0.0007950337557695386,0.007092454674599087
ERC,Historical,12,-0.0014859876072632196,0.008529741832888987
MVP,GARCH,12,-0.0006266646950359642,0.00517177458841175
HRP,GARCH,12,-0.0010893359901531523,0.006497441291896277
ERC,GARCH,12,-0.0015867171423449577,0.007749061434080661
MVP,DCC,12,-0.0005831930440102634,0.005293867203574299
HRP,DCC,12,-0.0009657251630452062,0.006791521373322878
ERC,DCC,12,-0.0015378913837143025,0.008003454028044341
Naive,N/A,13,-0.00197174989325784,0.009903656716287628
MVP,Historical,13,2.6490589105592628e-05,0.005660491867710959
HRP,Historical,13,-0.0008614663690654667,0.0071079993435277725
ERC,Historical,13,-0.0015969387875350114,0.008536717116774699
MVP,GARCH,13,0.0009959506586751149,0.005295672898442948
HRP,GARCH,13,-0.0006632170063769722,0.006564493149909442
ERC,GARCH,13,-0.0014703662693335254,0.007674167008384873
MVP,DCC,13,0.0008062174924229124,0.005399883448199276
HRP,DCC,13,-0.0007475659181604451,0.006884720019876278
ERC,DCC,13,-0.0014634144893657143,0.007950243342450989
Naive,N/A,14,-0.0060012091447217,0.009906901937646675
MVP,Historical,14,-0.002038918785184875,0.005655161402605987
HRP,Historical,14,-0.00414034521443106,0.007103735755605511
ERC,Historical,14,-0.0054363467385544414,0.008538478147779678
MVP,GARCH,14,-0.002039655522116334,0.00504086345324235
HRP,GARCH,14,-0.004292543294798921,0.00621175484063817
ERC,GARCH,14,-0.005403864355857319,0.00723838412022313
MVP,DCC,14,-0.0023133805368564437,0.005111177948972988
HRP,DCC,14,-0.0044628536429833655,0.006480183919466756
ERC,DCC,14,-0.005416539158444123,0.007470138613513194
Naive,N/A,15,-0.003562158781355955,0.009946262952373022
MVP,Historical,15,-0.0015926650530036588,0.0056715996084539845
HRP,Historical,15,-0.0024688807773617216,0.007137332705880879
ERC,Historical,15,-0.0029604861442026173,0.008580118106824455
MVP,GARCH,15,-0.0018134942244240695,0.005379850043719014
HRP,GARCH,15,-0.0025685008938438015,0.006694762230829323
ERC,GARCH,15,-0.0030071940972967786,0.007819068779131442
MVP,DCC,15,-0.0017749881877088733,0.0054628399256793705
HRP,DCC,15,-0.002715946308635028,0.007163962328296821
ERC,DCC,15,-0.003013243904740881,0.008094760977828437
Naive,N/A,16,-0.001324189612132666,0.009944304272291721
MVP,Historical,16,0.0005752932537754938,0.005666835256078118
HRP,Historical,16,-8.430949134581086e-05,0.007226550989507041
ERC,Historical,16,-0.0005950756315398206,0.008576956114575467
MVP,GARCH,16,0.0004026571535393885,0.005107107529646887
HRP,GARCH,16,-6.983202447654932e-05,0.006472418937216296
ERC,GARCH,16,-0.0005736894743599272,0.007588083261598913
MVP,DCC,16,0.00043807290427509617,0.005162134178548513
HRP,DCC,16,-0.00011962624358672868,0.006850534946417746
ERC,DCC,16,-0.0005163623632529673,0.00788462239389103
Naive,N/A,17,-0.0005663233380096791,0.00997948858571538
MVP,Historical,17,0.0003146407294238901,0.005676151709711351
HRP,Historical,17,-0.000448565028008208,0.00724523888004608
ERC,Historical,17,-0.0006815388610713956,0.008604016769885241
MVP,GARCH,17,-0.0011462621706996013,0.005176190404525772
HRP,GARCH,17,-0.0008969818158333125,0.006657509940975129
ERC,GARCH,17,-0.0008612592960245229,0.007956618717349439
MVP,DCC,17,-0.0013347839999569128,0.005273139459560465
