Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev
HRP,GARCH,1,0.15551827637947466,0.0013606498633278515,0.00874913158121543
HRP,Historical,1,0.14647043251770722,0.0012834469427401485,0.008762498482995802
MVP,GARCH,1,0.2149209398983964,0.0018647806803985289,0.008676589080989975
MVP,Historical,1,0.10996353485480445,0.0008881190190079969,0.00807648662968744
ERC,GARCH,1,0.16920438680413277,0.0015382809344265645,0.009091259177619574
ERC,Historical,1,0.16193057617443934,0.0014710052722972143,0.0090841724092464
Naive,N/A,1,0.18474955985835248,0.001836060631339656,0.009938105577882642
HRP,GARCH,2,-0.02261458970608973,-0.0003763785593374434,0.016643174350233336
HRP,Historical,2,-0.028114038605536816,-0.00047393654572423533,0.016857647254951754
MVP,GARCH,2,0.09468295721902391,0.0013833689990740351,0.014610538577433507
MVP,Historical,2,0.05398129205429782,0.0006218890022072458,0.011520454189605359
ERC,GARCH,2,-0.002368868081220192,-3.990208435679542e-05,0.016844367431487386
ERC,Historical,2,-0.002423136963104596,-4.0285557071165094e-05,0.016625373507385247
Naive,N/A,2,0.004433475862843743,8.135312570311346e-05,0.018349739170775935
HRP,GARCH,3,0.09370094745100783,0.0013164474654868026,0.014049457356609077
HRP,Historical,3,0.07097992058631653,0.0010044517852692923,0.014151210327825162
MVP,GARCH,3,0.17070843369051034,0.0018936296935263889,0.01109277176638787
MVP,Historical,3,0.11210893936941144,0.0009025283855382011,0.008050458693256116
ERC,GARCH,3,0.06528917276590548,0.000981291643891598,0.015029929195305049
ERC,Historical,3,0.05416244954922702,0.0008159151289081666,0.015064221350745961
Naive,N/A,3,0.05194214350280117,0.0008754066666134765,0.016853495207918536
HRP,GARCH,4,-0.22736507526687647,-0.0031664187192127317,0.013926583559484914
HRP,Historical,4,-0.21712641760969378,-0.0030534743865367592,0.014063117791708246
MVP,GARCH,4,-0.1622379416480501,-0.0018393396015244457,0.011337296213450525
MVP,Historical,4,-0.1269553636201981,-0.0013266462696741085,0.010449706352249337
ERC,GARCH,4,-0.22360736279569732,-0.003345938582021589,0.014963454423809214
ERC,Historical,4,-0.21180328433811788,-0.0032430349117235145,0.015311542131454432
Naive,N/A,4,-0.19445035893977108,-0.0034959754076371334,0.01797875522934866
HRP,GARCH,5,0.024643284991232337,0.00032855806695815707,0.013332559643531796
HRP,Historical,5,0.033127118617215276,0.00045815585399194966,0.013830235562771171
MVP,GARCH,5,-0.32412675005420427,-0.0023135414210458723,0.00713776761917668
MVP,Historical,5,-0.12349093304223577,-0.0012814046990486283,0.010376508359608624
ERC,GARCH,5,0.04635103567638394,0.0007746016489288441,0.016711636269294994
ERC,Historical,5,-0.021413084577503353,-0.00045712458221087727,0.021347909057956724
Naive,N/A,5,0.06838877901597225,0.0011680017025640723,0.01707885005947079
HRP,GARCH,6,-0.09313724494721422,-0.001729909924027123,0.01857377169581894
HRP,Historical,6,-0.1086413135495133,-0.0020484148524739475,0.018854842467827693
MVP,GARCH,6,-0.05918898789304576,-0.0007996807345559743,0.013510633701001846
MVP,Historical,6,-0.11301133845164911,-0.0018341650424643806,0.016229920533585324
ERC,GARCH,6,-0.12301904907021978,-0.0026832391945510537,0.02181157483195509
ERC,Historical,6,-0.2297952392554447,-0.006504464412584137,0.028305479407054433
Naive,N/A,6,-0.11803634457815172,-0.0026860862699292954,0.022756433872372597
HRP,GARCH,7,0.1253441255347008,0.0019173123630096905,0.015296387882804234
HRP,Historical,7,0.13637423482409733,0.002148819153912076,0.015756782479357162
MVP,GARCH,7,0.14801871030837727,0.0022320136103464432,0.015079266706866587
MVP,Historical,7,0.05450747267660781,0.0006218177148470686,0.01140793517498611
ERC,GARCH,7,0.0976125997841136,0.001645589913002998,0.016858376035906144
ERC,Historical,7,0.10755305640116941,0.0018775648574839783,0.017457103687325465
Naive,N/A,7,0.09738753066644994,0.0019672556358994306,0.02020028254579363
HRP,GARCH,8,-0.4864164644549475,-0.01707640860294168,0.03510655960644054
HRP,Historical,8,-0.48757766238375566,-0.017032128344594805,0.034932134219039346
MVP,GARCH,8,-0.3596184166866893,-0.009855324349983537,0.02740494894778929
MVP,Historical,8,-0.2553252308392095,-0.007543328853623295,0.029544000915341144
ERC,GARCH,8,-0.5521693711813124,-0.020405550758940766,0.03695523841767081
ERC,Historical,8,-0.48895853185721416,-0.01854374107457854,0.03792497699987714
Naive,N/A,8,-0.5013699576769138,-0.020348117318076675,0.04058503507541458
HRP,GARCH,9,0.10127832451750898,0.002699268892147884,0.026651989998918622
HRP,Historical,9,0.08862124386886303,0.002524767380847176,0.028489414847112638
MVP,GARCH,9,0.044288787939924246,0.0009372970335795982,0.021163302884942337
MVP,Historical,9,-0.15318446533381383,-0.0023762388120106373,0.015512270169383212
ERC,GARCH,9,0.09788648705824972,0.0029555362523043965,0.030193506183806895
ERC,Historical,9,0.09256246343739155,0.002917453266846474,0.031518751322125456
Naive,N/A,9,0.08285134573799297,0.002969908577287845,0.03584623219856694
HRP,GARCH,10,0.11672742393217718,0.005110472348486542,0.043781248453284724
HRP,Historical,10,0.1317538004841649,0.005946805296886205,0.04513574010793665
MVP,GARCH,10,0.022329563799031026,0.0006976029542245758,0.031241226228290574
MVP,Historical,10,-0.23904149738438685,-0.005567647313185396,0.023291551358684933
ERC,GARCH,10,0.1503277026546747,0.007259465132130806,0.04829093376625922
ERC,Historical,10,0.15871372439716513,0.007885259081102334,0.04968227612988443
Naive,N/A,10,0.1901937377240334,0.010479076940901161,0.055096855797145405
HRP,GARCH,11,-0.030812316664928355,-0.00041508410203854816,0.013471369470605605
HRP,Historical,11,-0.039445417232488324,-0.0005472275330864533,0.013873031938314542
MVP,GARCH,11,-0.2617342751842444,-0.002625093180504335,0.010029611821594382
MVP,Historical,11,-0.06264185023806296,-0.0005464501486425485,0.008723403707997597
ERC,GARCH,11,-0.07574169828666344,-0.001184468479559195,0.015638261437923892
ERC,Historical,11,-0.08407684099632093,-0.0013455989114836094,0.016004394260513317
Naive,N/A,11,-0.11839070909281478,-0.0022280704076769915,0.018819639013482475
HRP,GARCH,12,0.3033341984061709,0.008128117077485252,0.026795913946377824
HRP,Historical,12,0.30562688607675637,0.008336877341567442,0.02727795793290805
MVP,GARCH,12,0.2653201490129812,0.005860198254658007,0.02208727183539795
MVP,Historical,12,0.22218547130849678,0.004312579538735289,0.01940981790275307
ERC,GARCH,12,0.3044218756531759,0.009600696336984928,0.031537471860014696
ERC,Historical,12,0.3049712016024563,0.009700243649031468,0.031807080793406106
Naive,N/A,12,0.30782281583951854,0.011629119732978031,0.03777861527665577
HRP,GARCH,13,0.29089088712053507,0.0028770323645285253,0.009890417651125603
HRP,Historical,13,0.2943432603119955,0.0029331184400247816,0.009964958725114886
MVP,GARCH,13,0.0222731110678961,0.00021485088664940805,0.00964620011970796
MVP,Historical,13,0.1540357351408651,0.0013943918578903068,0.009052392009004538
ERC,GARCH,13,0.22774777440285962,0.002692254846123355,0.011821212537344342
ERC,Historical,13,0.23103255369394485,0.0027455196883844736,0.011883691906126523
Naive,N/A,13,0.17863315148413406,0.0025387560427671606,0.014212121443721209
HRP,GARCH,14,0.13271657737922982,0.0019003698655551255,0.014319008997082031
HRP,Historical,14,0.13216962548515163,0.0019155270355295487,0.014492944415165536
MVP,GARCH,14,0.0778696386427875,0.0012816569141317676,0.016459006828208497
MVP,Historical,14,0.054579697427465684,0.001024179461822076,0.018764843157717596
ERC,GARCH,14,0.14736078963827318,0.0023334541165445357,0.01583497294139418
ERC,Historical,14,0.14656660439070665,0.0023328966727834155,0.015916972918090865
Naive,N/A,14,0.1565456630690505,0.0027742095781393343,0.017721408078329594
HRP,GARCH,15,0.1871441119888325,0.0026208785552377743,0.014004600665150345
HRP,Historical,15,0.17852938645214544,0.0025290054761378114,0.014165765795737542
MVP,GARCH,15,0.3065079088174001,0.003256107821758874,0.010623242428953692
MVP,Historical,15,0.22970512416359942,0.0020434266587826527,0.008895868850219004
ERC,GARCH,15,0.19584723704387264,0.0031024603805222917,0.015841226189100107
ERC,Historical,15,0.19114467064417245,0.0030177193633445193,0.01578761967662802
Naive,N/A,15,0.20414713293477108,0.0036230858114426495,0.017747424415704604
HRP,GARCH,16,-0.02815327017152762,-0.0006706425368074781,0.023821123895074972
HRP,Historical,16,-0.02572915950328429,-0.0006172184643896671,0.02398906440417846
MVP,GARCH,16,-0.07181882107730855,-0.0013330240915969784,0.01856092973403253
MVP,Historical,16,-0.13600051112440184,-0.001726955631922143,0.012698155452831122
ERC,GARCH,16,-0.034698735039320236,-0.0009323663655561023,0.026870327246787375
ERC,Historical,16,-0.032663045525326666,-0.0008738818496679095,0.026754450958662395
Naive,N/A,16,-0.04163457800208144,-0.001269370308978149,0.030488367359330252
HRP,GARCH,17,0.30811320435284,0.0036630314137181172,0.011888589524788258
HRP,Historical,17,0.30189725658124217,0.0036598091182005717,0.012122697501942014
MVP,GARCH,17,0.059722683230266846,0.000876302574598418,0.014672860079305962
MVP,Historical,17,-0.07882100215891279,-0.0010883547710363961,0.013807928613266546
ERC,GARCH,17,0.2947978870064909,0.0038825302724657495,0.013170142811709716
ERC,Historical,17,0.29380847080441513,0.00391088770027897,0.013311010705618501
Naive,N/A,17,0.27823964511480204,0.004125926876058317,0.01482868077392765
HRP,GARCH,18,0.3048005884732123,0.0022127968523360194,0.007259818176271315
HRP,Historical,18,0.32495265129954765,0.0023144218080854047,0.007122335512049495
MVP,GARCH,18,0.3620985921364637,0.0026574220558289474,0.007338946114508635
MVP,Historical,18,0.11548202502498223,0.0008831973673498158,0.007647920679939183
ERC,GARCH,18,0.3361658109072216,0.0026968483357484425,0.008022375411914645
ERC,Historical,18,0.34601105416631384,0.002725327248266282,0.007876416708225528
Naive,N/A,18,0.37957971078403036,0.0034053206285840705,0.008971292542349813
HRP,GARCH,19,0.23524685195891684,0.0017342333560838013,0.007371972639135104
HRP,Historical,19,0.27483985355135626,0.002050469581228317,0.007460597707112256
MVP,GARCH,19,0.14843903474026443,0.0011039800848872017,0.007437262623129578
MVP,Historical,19,0.3804978917847884,0.00384422374915629,0.01010314073259203
ERC,GARCH,19,0.2223901021386594,0.0019170327231749949,0.008620135090273632
ERC,Historical,19,0.24098151510660593,0.002061510822087806,0.008554642961622307
Naive,N/A,19,0.19898169576180763,0.001981720894909313,0.009959312525316627
HRP,GARCH,20,0.06740602677898687,0.0008435699047930027,0.012514754912923854
HRP,Historical,20,0.08161744094071562,0.0010315201624536122,0.012638477151015756
MVP,GARCH,20,0.13500409667119564,0.0016944604341137077,0.0125511778967759
MVP,Historical,20,0.3699427089436855,0.0035595750602768596,0.00962196300730099
ERC,GARCH,20,0.0511186977048852,0.0006857050439179891,0.013413977168914832
ERC,Historical,20,0.06155791823774108,0.00083190077745802,0.013514114857574613
Naive,N/A,20,0.023887022727628257,0.00034517818043087187,0.014450448026393477
HRP,GARCH,21,-0.12065138962863836,-0.0034647566611362736,0.02871708872811742
HRP,Historical,21,-0.11538664259247476,-0.0031934378742860684,0.027675975334205075
MVP,GARCH,21,-0.1575636128327636,-0.0036305828675424518,0.02304201333207506
MVP,Historical,21,0.04421583093364727,0.0007254459838248304,0.01640692866121808
ERC,GARCH,21,-0.1257085823327419,-0.0038802424278466807,0.03086696513350177
ERC,Historical,21,-0.12111276979335243,-0.0036609873698648663,0.03022792209369328
Naive,N/A,21,-0.13139314549231582,-0.004363284243636122,0.03320785287000605
HRP,GARCH,22,0.2351190921619748,0.004553665192480473,0.019367483731790817
HRP,Historical,22,0.23691907063418163,0.0044954355627671895,0.01897456186508697
MVP,GARCH,22,0.22155752101492032,0.0025942109888783533,0.011708972807579173
MVP,Historical,22,0.03325778431424287,0.0006023260998002897,0.018110830658744137
ERC,GARCH,22,0.20463511827685216,0.004625192326376824,0.022602143587687487
ERC,Historical,22,0.2063713113740887,0.004585856072405003,0.02222138359189003
Naive,N/A,22,0.18259048031858313,0.004735142575078861,0.025933129519222487
HRP,GARCH,23,0.1742598773248746,0.002324845574581287,0.013341255659482944
HRP,Historical,23,0.17051200465963767,0.002285357030098054,0.013402909869366085
MVP,GARCH,23,-0.03494273097671742,-0.00031259500651649355,0.00894592373803804
MVP,Historical,23,-0.1200498856189382,-0.0009128644625635227,0.007604042751536915
ERC,GARCH,23,0.17445767285517588,0.0026525331384100567,0.015204450999481277
ERC,Historical,23,0.17306158553729079,0.0026309310517377313,0.015202282144646284
Naive,N/A,23,0.18498322605371428,0.0032289246552070043,0.017455229450206524
HRP,GARCH,24,0.09638971761433522,0.000926870497863703,0.009615864853678723
HRP,Historical,24,0.0935103307735597,0.0008997620828508628,0.009622060743530949
MVP,GARCH,24,0.1983170167121807,0.0014051150546483266,0.007085196610675034
MVP,Historical,24,0.13336678860459142,0.0009719592655579928,0.0072878658602156
ERC,GARCH,24,0.0830827942036165,0.0009005077153172421,0.010838678741476945
ERC,Historical,24,0.08089271422711097,0.0008730246509021406,0.010792376782550198
Naive,N/A,24,0.06965757318159198,0.0008650815624898193,0.012419059737189203
HRP,GARCH,25,0.09910568625308144,0.001429502283699008,0.014424018820156861
HRP,Historical,25,0.09398085454269023,0.0013569346483517024,0.014438415727911083
MVP,GARCH,25,0.19315980781918596,0.0015993035705420555,0.008279691249429798
MVP,Historical,25,0.1595815421313808,0.0013101424904602618,0.008209862324689428
ERC,GARCH,25,0.06522135964141981,0.0010806831917140112,0.016569467390061998
ERC,Historical,25,0.06321867189716358,0.001049379305584252,0.01659919884573428
Naive,N/A,25,0.03175026399482239,0.0006021298093680962,0.01896456071881126
HRP,GARCH,26,0.25757654604590036,0.0017495891501578176,0.00679250179030679
HRP,Historical,26,0.267678476596919,0.001808783575436881,0.006757299273488545
MVP,GARCH,26,-0.1516617764182766,-0.0008935205397149163,0.005891534180970065
MVP,Historical,26,-0.31625232915832285,-0.0029337130963358934,0.009276494829757323
ERC,GARCH,26,0.25073352218574724,0.001927493372378125,0.0076874179231216175
ERC,Historical,26,0.2555730427615037,0.001957538553760855,0.007659409351664665
Naive,N/A,26,0.23821149569253194,0.0021380845627916915,0.008975572554027339
HRP,GARCH,27,0.014224183670593986,0.00011860086876493835,0.008337973658911963
HRP,Historical,27,0.012197067114945465,0.0001018711400000122,0.00835210129123469
MVP,GARCH,27,0.051149968139887,0.000475850286933445,0.009303041707319746
MVP,Historical,27,-0.017545072756639978,-0.00014346677136448707,0.008177040548902352
ERC,GARCH,27,0.029553805304527756,0.0002638637222485251,0.008928248647834876
ERC,Historical,27,0.02837586234219934,0.00025393514020733706,0.008948984074739319
Naive,N/A,27,0.055981319582298114,0.0005490663584444373,0.009808028151913338
HRP,GARCH,28,0.448616726586212,0.004132567232752409,0.009211799266156522
HRP,Historical,28,0.4435772012421397,0.004078312508595058,0.009194143651149445
MVP,GARCH,28,0.47755218121208876,0.004199633939046664,0.008794083880817911
MVP,Historical,28,0.33671350641033654,0.003485276837167234,0.01035086734216089
ERC,GARCH,28,0.4319740491904995,0.004330985874325829,0.010026032541635099
ERC,Historical,28,0.4308563147253761,0.004321743091956055,0.010030590116128842
Naive,N/A,28,0.4157396292442745,0.004676044366548892,0.011247530996861998
HRP,GARCH,29,0.5405063243989207,0.0033210816686218706,0.00614439002599116
